ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,url,author,language,cited_by,dblp_key
000026,article,10.1080/07421222.1984.11517703,Journal of Management Information Systems,Information Systems Planning and Development: Strategic Postures and Methodologies,1984,1,2,45--63,https://www.tandfonline.com/doi/abs/10.1080/07421222.1984.11517703,"Kottemann, Jeffrey E. and Konsynski, Benn R.",,,
000027,article,10.1080/07421222.2016.1205920,Journal of Management Information Systems,Special Section: When Machine Meets Society: Social Impacts of Information and Information Economics,2016,33,2,542--545,https://www.tandfonline.com/doi/full/10.1080/07421222.2016.1205920,"Clemons, Eric K. and Dewan, Rajiv M. and Kauffman, Robert J. and Weber, Thomas A.",,,
000028,article,10.1080/07421222.2018.1522909,Journal of Management Information Systems,Distant but Fair: Intra-Team Justice Climate and Performance in Dispersed Teams,2018,35,4,1031--1059,https://www.tandfonline.com/doi/full/10.1080/07421222.2018.1522909,"Magni, Massimo and Ahuja, Manju K. and Maruping, Likoebe M.",,,
000029,article,10.1080/07421222.2020.1790187,Journal of Management Information Systems,The Effectiveness of Abstract Versus Concrete Fear Appeals in Information Security,2020,37,3,723--757,https://www.tandfonline.com/doi/full/10.1080/07421222.2020.1790187,"Schuetz, Sebastian W. and Benjamin Lowry, Paul and Pienta, Daniel A. and Bennett Thatcher, Jason",,,
000030,article,10.1080/07421222.2016.1205918,Journal of Management Information Systems,Examining Hacker Participation Length in Cybercriminal Internet-Relay-Chat Communities,2016,33,2,482--510,https://www.tandfonline.com/doi/full/10.1080/07421222.2016.1205918,"Benjamin, Victor and Zhang, Bin and Nunamaker, Jay F. and Chen, Hsinchun",,,
000031,article,10.1080/07421222.2019.1599499,Journal of Management Information Systems,Threshold Effects on Backer Motivations in Reward-Based Crowdfunding,2019,36,2,546--573,https://www.tandfonline.com/doi/full/10.1080/07421222.2019.1599499,"Li, Gen and Wang, Jing",,,
000032,article,10.2753/MIS0742-1222280108,Journal of Management Information Systems,User Acceptance of Agile Information Systems: A Model and Empirical Test,2011,28,1,235--272,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222280108,"Hong, Weiyin and Thong, James Y. L. and Chasalow, Lewis C. and Dhillon, Gurpreet",,,
000033,article,10.1080/07421222.2015.1063281,Journal of Management Information Systems,Industry-Level Analysis of Information Technology Return and Risk: What Explains the Variation?,2015,32,2,71--103,https://www.tandfonline.com/doi/full/10.1080/07421222.2015.1063281,"Ren, Fei and Dewan, Sanjeev",,,
000034,article,10.1080/07421222.1989.11517848,Journal of Management Information Systems,"The Effects of Task Differences on the Work Satisfaction, Job Characteristics, and Role Perceptions of Programmer/Analysts",1989,6,1,41--58,https://www.tandfonline.com/doi/abs/10.1080/07421222.1989.11517848,"Goldstein, David K.",,,
000035,article,10.1080/07421222.2016.1267512,Journal of Management Information Systems,Special Issue: Designing Tools to Answer Great Information Systems Research Questions,2016,33,4,938--941,https://www.tandfonline.com/doi/full/10.1080/07421222.2016.1267512,"Giboney, Justin Scott and Briggs, Robert O. and Nunamaker, Jay F.",,,
000036,article,10.1080/07421222.1994.11518047,Journal of Management Information Systems,Special Section: Information Technology and IT Organizational Impact,1994,11,3,3--6,https://www.tandfonline.com/doi/abs/10.1080/07421222.1994.11518047,"Nunamaker, Jay F. and Sprague, Ralph H.",,,
000037,article,10.1080/07421222.1989.11517859,Journal of Management Information Systems,The Information Center Career,1989,6,2,93--104,https://www.tandfonline.com/doi/abs/10.1080/07421222.1989.11517859,"Rainer, Rex Kelly and Carr, Houston H. and Snyder, Charles A. and Frolick, Mark N.",,,
000038,article,10.2753/MIS0742-1222250100,Journal of Management Information Systems,Editorial Introduction,2008,25,1,5--12,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222250100,"Zwass, Vladimir",,,
000039,article,10.1080/07421222.2003.11045762,Journal of Management Information Systems,"Codifiability, Relationship-Specific Information Technology Investment, and Optimal Contracting",2003,20,2,77--98,https://www.tandfonline.com/doi/abs/10.1080/07421222.2003.11045762,"LEVI, MOTI and KLEINDORFER, PAUL R. and WU, D.J.",,,
000040,article,10.1080/07421222.1996.11518120,Journal of Management Information Systems,Special Section: Strategic and Competitive Information Systems,1996,13,2,5--7,https://www.tandfonline.com/doi/abs/10.1080/07421222.1996.11518120,"Clemons, Eric K. and Weber, Bruce W.",,,
000041,article,10.1080/07421222.2015.1138361,Journal of Management Information Systems,Editorial Introduction,2015,32,4,1--3,https://www.tandfonline.com/doi/full/10.1080/07421222.2015.1138361,"Zwass, Vladimir",,,
000042,article,10.1080/07421222.2013.11046206,Journal of Management Information Systems,"Index to Journal of Management Information Systems Volume 29, 2012-13",2013,29,4,291--295,https://www.tandfonline.com/doi/abs/10.1080/07421222.2013.11046206,,,,
000043,article,10.1080/07421222.2018.1551763,Journal of Management Information Systems,Special Section: Engineering Artifacts and Processes of Information Systems,2019,36,1,11--13,https://www.tandfonline.com/doi/full/10.1080/07421222.2018.1551763,"Giboney, Justin S. and Briggs, Robert and Nunamaker, Jr., Jay",,,
000044,article,10.2753/MIS0742-1222290110,Journal of Management Information Systems,Cost-Sensitive Learning via Priority Sampling to Improve the Return on Marketing and CRM Investment,2012,29,1,341--374,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222290110,"Cui, Geng and Wong, Man Leung and Wan, Xiang",,,
000045,article,10.1080/07421222.2017.1296744,Journal of Management Information Systems,What Leads to Prosocial Behaviors on Social Networking Services: A Tripartite Model,2017,34,1,40--70,https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1296744,"Kuem, Jungwon and Ray, Soumya and Siponen, Mikko and Kim, Sung S.",,,
000046,article,10.1080/07421222.2021.1990609,Journal of Management Information Systems,Special Issue: Fake News on the Internet,2021,38,4,893--897,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1990609,"Dennis, Alan R. and Galletta, Dennis F. and Webster, Jane",,,
000047,article,10.1080/07421222.2021.1990606,Journal of Management Information Systems,Editorial Introduction,2021,38,4,889--892,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1990606,"Zwass, Vladimir",,,
000048,article,10.2753/MIS0742-1222240110,Journal of Management Information Systems,Intrusion Prevention in Information Systems: Reactive and Proactive Responses,2007,24,1,329--353,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222240110,"Yue, Wei T. and Cakanyildirim, Metin",,,
000049,article,10.2753/MIS0742-1222230400,Journal of Management Information Systems,Editorial Introduction,2007,23,4,5--6,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222230400,"Zwass, Vladimir",,,
000050,article,10.1080/07421222.1991.11517908,Journal of Management Information Systems,Editorial Introduction,1991,8,1,3--4,https://www.tandfonline.com/doi/abs/10.1080/07421222.1991.11517908,"Zwass, Vladimir",,,
000051,article,10.1080/07421222.1986.11517769,Journal of Management Information Systems,"Plant Management, the Locus of Decision Making, and the Information Services Department",1986,3,3,34--48,https://www.tandfonline.com/doi/abs/10.1080/07421222.1986.11517769,"Lucas, Henry C. and Palley, Michael A.",,,
000052,article,10.1080/07421222.1991.11517926,Journal of Management Information Systems,"Special Issue: Decision Support Systems for Teams, Groups, and Organizations",1991,8,3,3--5,https://www.tandfonline.com/doi/abs/10.1080/07421222.1991.11517926,"Nunamaker, Jay F.",,,
000053,article,10.1080/07421222.2004.11045813,Journal of Management Information Systems,CABSYDD: Case-Based System for Database Design,2004,21,3,281--314,https://www.tandfonline.com/doi/abs/10.1080/07421222.2004.11045813,"CHOOBINEH, JOOBIN and LO, AMBER W.",,,
000054,article,10.1080/07421222.2020.1831773,Journal of Management Information Systems,The Gender Bias Tug-of-War in a Co-creation Community: Core-Periphery Tension on Wikipedia,2020,37,4,1047--1072,https://www.tandfonline.com/doi/full/10.1080/07421222.2020.1831773,"Young, Amber G. and Wigdor, Ariel D. and Kane, Gerald C.",eng,,
000055,article,10.1080/07421222.2000.11518267,Journal of Management Information Systems,Information Technology Value through Different Normative Lenses,2000,16,4,99--119,https://www.tandfonline.com/doi/abs/10.1080/07421222.2000.11518267,"Lee, Byungtae and Menon, Nirup M.",,,
000056,article,10.1080/07421222.1993.11518000,Journal of Management Information Systems,Diagnosing the Human Threats to Information Technology Implementation: A Missing Factor in Systems Analysis Illustrated in a Case Study,1993,10,2,55--73,https://www.tandfonline.com/doi/abs/10.1080/07421222.1993.11518000,"Levine, Harold G. and Rossmoore, Don",,,
000057,article,10.1080/07421222.1992.11517963,Journal of Management Information Systems,A Method to Identify Candidates for Knowledge Acquisition,1992,9,2,161--178,https://www.tandfonline.com/doi/abs/10.1080/07421222.1992.11517963,"Stein, Eric W.",,,
000058,article,10.1080/07421222.2015.1138365,Journal of Management Information Systems,Platform Desertion by App Developers,2015,32,4,40--77,https://www.tandfonline.com/doi/full/10.1080/07421222.2015.1138365,"Tiwana, Amrit",,,
000059,article,10.2753/MIS0742-1222270208,Journal of Management Information Systems,Net Neutrality and Vertical Integration of Content and Broadband Services,2010,27,2,243--276,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222270208,"Guo, Hong and Bandyopadhyay, Subhajyoti and Cheng, Hsing Kenneth and Yang, Yu-Chen",,,
000060,article,10.1080/07421222.1998.11518214,Journal of Management Information Systems,Enhancing User Understanding in a Decision Support System: A Theoretical Basis and Framework,1998,15,2,199--220,https://www.tandfonline.com/doi/abs/10.1080/07421222.1998.11518214,"Steiger, David M.",,,
000061,article,10.1080/07421222.2017.1297172,Journal of Management Information Systems,Winning Back Technology Disadopters: Testing a Technology Readoption Model in the Context of Mobile Internet Services,2017,34,1,102--140,https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1297172,"Xu, Xin and Thong, James Y.L. and Tam, Kar Yan",,,
000062,article,10.1080/07421222.1993.11517988,Journal of Management Information Systems,Comparing the Modeling Performance of Regression and Neural Networks as Data Quality Varies: A Business Value Approach,1993,10,1,11--32,https://www.tandfonline.com/doi/abs/10.1080/07421222.1993.11517988,"Bansal, Arun and Kauffman, Robert J. and Weitz, Rob R.",,,
000063,article,10.1080/07421222.1994.11518038,Journal of Management Information Systems,"Segmentation, Differentiation, and Flexible Pricing: Experiences with Information Technology and Segment-Tailored Strategies",1994,11,2,9--36,https://www.tandfonline.com/doi/abs/10.1080/07421222.1994.11518038,"Clemons, Eric K. and Weber, Bruce W.",,,
000064,article,10.1080/07421222.1995.11518084,Journal of Management Information Systems,Management of Information Systems Outsourcing: A Bidding Perspective,1995,12,2,131--159,https://www.tandfonline.com/doi/abs/10.1080/07421222.1995.11518084,"Chaudhury, A. and Nam, Kichan and Rao, H. Raghav",,,
000065,article,10.1080/07421222.1986.11517771,Journal of Management Information Systems,An Automated Software Design Methodology Using CAPO,1986,3,3,71--100,https://www.tandfonline.com/doi/abs/10.1080/07421222.1986.11517771,"Karimi, Jahangir",,,
000066,article,10.1080/07421222.2002.11045690,Journal of Management Information Systems,Critical Factors for Assimilation of Object-Oriented Programming Languages,2002,18,3,125--156,https://www.tandfonline.com/doi/abs/10.1080/07421222.2002.11045690,,,,
000067,article,10.1080/07421222.2012.11046158,Journal of Management Information Systems,"Index to Journal of Management Information Systems Volume 28, 2011-12",2012,28,4,339--344,https://www.tandfonline.com/doi/abs/10.1080/07421222.2012.11046158,,,,
000068,article,10.1080/07421222.1995.11518092,Journal of Management Information Systems,Incompletely Specified Probabilistic Networks,1995,12,3,81--96,https://www.tandfonline.com/doi/abs/10.1080/07421222.1995.11518092,"Roehrig, Stephen F.",,,
000069,article,10.1080/07421222.1987.11517795,Journal of Management Information Systems,Transaction Processing and Consistency Control of Replicated Copies during Failures in Distributed Databases,1987,4,2,93--112,https://www.tandfonline.com/doi/abs/10.1080/07421222.1987.11517795,"Bhargava, Bharat",,,
000070,article,10.1080/07421222.1989.11517839,Journal of Management Information Systems,Social Determinants of Information Systems Use,1989,5,4,55--71,https://www.tandfonline.com/doi/abs/10.1080/07421222.1989.11517839,"Robertson, David C.",,,
000071,article,10.1080/07421222.1985.11517719,Journal of Management Information Systems,About This Issue,1985,2,1,3--4,https://www.tandfonline.com/doi/abs/10.1080/07421222.1985.11517719,"Zwass, Vladimir",,,
000072,article,10.1080/07421222.1986.11517752,Journal of Management Information Systems,Controlling the Use and Evolution of Database Systems: A Prolog-Based Approach,1986,3,1,5--31,https://www.tandfonline.com/doi/abs/10.1080/07421222.1986.11517752,"Rozenshtein, David and Minsky, Naftaly",,,
000073,article,10.1080/07421222.2003.11045832,Journal of Management Information Systems,Editorial Introduction,2005,22,1,,https://www.tandfonline.com/doi/abs/10.1080/07421222.2003.11045832,"Zwass, Vladimir",,,
000074,article,10.1080/07421222.1999.11518257,Journal of Management Information Systems,Linguini: Language Identification for Multilingual Documents,1999,16,3,71--101,https://www.tandfonline.com/doi/abs/10.1080/07421222.1999.11518257,"Prager, John M.",,,
000075,article,10.1080/07421222.1988.11517814,Journal of Management Information Systems,Object-Oriented Systems Analysis and Design: Methodology and Application,1988,5,1,25--35,https://www.tandfonline.com/doi/abs/10.1080/07421222.1988.11517814,"McIntyre, Scott C. and Higgins, Lexis F.",,,
000076,article,10.1080/07421222.2021.1958541,Journal of Management Information Systems,Special Section: Improving New Digital Market Mechanisms,2021,38,3,574--578,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1958541,"Kauffman, Robert J. and Weber, Thomas A.",,,
000077,article,10.1080/07421222.1986.11517741,Journal of Management Information Systems,From the Editor-in-Chief,1986,2,4,3--3,https://www.tandfonline.com/doi/abs/10.1080/07421222.1986.11517741,"Zwass, Vladimir",,,
000078,article,10.1080/07421222.1984.11517696,Journal of Management Information Systems,Designing Financial Information Systems for Auditability,1984,1,1,50--62,https://www.tandfonline.com/doi/abs/10.1080/07421222.1984.11517696,"Lockman, Abe and Minsky, Naftaly",,,
000079,article,10.1080/07421222.2021.1962598,Journal of Management Information Systems,The Comparative Performance of Online Referral Channels in E-Commerce,2021,38,3,828--854,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1962598,"Duan, Wenjing and Zhang, Jie",,,
000080,article,10.1080/07421222.2015.1095013,Journal of Management Information Systems,Barriers to Interorganizational Knowledge Transfer in Post-Hospital Care Transitions: Review and Directions for Information Systems Research,2015,32,3,48--74,https://www.tandfonline.com/doi/full/10.1080/07421222.2015.1095013,"Lim, Shi Ying and Jarvenpaa, Sirkka L. and Lanham, Holly J.",,,
000081,article,10.1080/07421222.2021.1987622,Journal of Management Information Systems,Sustainability of Rewards-Based Crowdfunding: A Quasi-Experimental Analysis of Funding Targets and Backer Satisfaction,2021,38,3,612--646,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1987622,"Wessel, Michael and Gleasure, Rob and Kauffman, Robert J.",,,
000082,article,10.1080/07421222.1987.11517784,Journal of Management Information Systems,On the Plausibility and Scope of Expert Systems in Management,1987,4,1,25--41,https://www.tandfonline.com/doi/abs/10.1080/07421222.1987.11517784,"Dhar, Vasant",,,
000083,article,10.1080/07421222.2000.11045636,Journal of Management Information Systems,Distributing Multimedia Content to Balance Quality of Service and Cost,2000,17,1,141--165,https://www.tandfonline.com/doi/abs/10.1080/07421222.2000.11045636,,,,
000084,article,10.1080/07421222.1996.11518108,Journal of Management Information Systems,"Index to Journal of Management Information Systems Volume 12, 1995–1996",1996,12,4,241--243,https://www.tandfonline.com/doi/abs/10.1080/07421222.1996.11518108,,,,
000085,article,10.1080/07421222.2003.11045778,Journal of Management Information Systems,Editorial Introduction,2003,20,3,5--8,https://www.tandfonline.com/doi/abs/10.1080/07421222.2003.11045778,,,,
000086,article,10.2753/MIS0742-1222250400,Journal of Management Information Systems,Editorial Introduction,2009,25,4,5--8,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222250400,"Zwass, Vladimir",,,
000087,article,10.1080/07421222.1991.11517905,Journal of Management Information Systems,Should “Personal” Computers Be Personally Allocated?,1991,7,4,91--106,https://www.tandfonline.com/doi/abs/10.1080/07421222.1991.11517905,"Gogan, Janis L.",,,
000088,article,10.1080/07421222.1997.11518178,Journal of Management Information Systems,Collaborative Business Engineering with Animated Electronic Meetings,1997,14,3,141--164,https://www.tandfonline.com/doi/abs/10.1080/07421222.1997.11518178,"De Vreede, Gert-Jan",,,
000089,article,10.2753/MIS0742-1222290300,Journal of Management Information Systems,Editorial Introduction,2012,29,3,5--8,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222290300,"Zwass, Vladimir",,,
000090,article,10.1080/07421222.2000.11045639,Journal of Management Information Systems,Managing the Costs of Informational Privacy: Pure Bundling as a Strategy in the Individual Health Insurance Market,2000,17,2,29--57,https://www.tandfonline.com/doi/abs/10.1080/07421222.2000.11045639,"Thatcher, Matt E. and Clemons, Erik K.",,,
000091,article,10.1080/07421222.2007.11045926,Journal of Management Information Systems,"Index to Journal of Management Information Systems Volume 23, 2006-7",2007,23,4,273--277,https://www.tandfonline.com/doi/abs/10.1080/07421222.2007.11045926,,,,
000092,article,10.1080/07421222.2005.11045824,Journal of Management Information Systems,Special Section: Context-Driven Information Access and Deployment,2005,21,4,7--9,https://www.tandfonline.com/doi/abs/10.1080/07421222.2005.11045824,"BRIGGS, ROBERT O. and VREEDE, GERT-JAN DE and NUNAMAKER Jr., JAY F. and SPRAGUE Jr., RALPH H. and NUNAMAKER Jr., JAY F.",,,
000093,article,10.2753/MIS0742-1222280410,Journal of Management Information Systems,Methodology Mashups: An Exploration of Processes Used to Maintain Software,2012,28,4,271--304,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222280410,"Edberg, Dana and Ivanova, Polina and Kuechler, William",,,
000094,article,10.1080/07421222.2017.1334463,Journal of Management Information Systems,Editorial Introduction,2017,34,2,307--309,https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1334463,"Zwass, Vladimir",,,
000095,article,10.1080/07421222.2004.11045799,Journal of Management Information Systems,Information Exploitation and Interorganizational Systems Ownership,2004,21,2,109--135,https://www.tandfonline.com/doi/abs/10.1080/07421222.2004.11045799,"HAN, KUNSOO and KAUFFMAN, ROBERT J. and NAULT, BARRIE R.",,,
000096,article,10.1080/07421222.2020.1759340,Journal of Management Information Systems,Editorial Introduction,2020,37,2,309--312,https://www.tandfonline.com/doi/full/10.1080/07421222.2020.1759340,"Zwass, Vladimir",,,
000097,article,10.1080/07421222.1987.11517802,Journal of Management Information Systems,Motivation Norms of Knowledge Engineers Compared to Those of Software Engineers,1987,4,3,82--93,https://www.tandfonline.com/doi/abs/10.1080/07421222.1987.11517802,"Couger, J. Daniel and McIntyre, Scott C.",,,
000098,article,10.1080/07421222.1994.11518042,Journal of Management Information Systems,A Form-Based Approach to Natural Language Query Processing,1994,11,2,109--135,https://www.tandfonline.com/doi/abs/10.1080/07421222.1994.11518042,"Adam, Nabil R. and Gangopadhyay, Aryya and Clifford, James",,,
000099,article,10.1080/07421222.1988.11517827,Journal of Management Information Systems,The Quality of User Documentation an Instrument Validation,1988,5,2,99--108,https://www.tandfonline.com/doi/abs/10.1080/07421222.1988.11517827,"Torkzadeh, Gholamreza",,,
000100,article,10.1080/07421222.2016.1172440,Journal of Management Information Systems,Impact of Network Structure on Malware Propagation: A Growth Curve Perspective,2016,33,1,296--325,https://www.tandfonline.com/doi/full/10.1080/07421222.2016.1172440,"Guo, Hong and Cheng, Hsing Kenneth and Kelley, Ken",,,
000101,article,10.1080/07421222.1995.11518093,Journal of Management Information Systems,On Automated Discovery of Models Using Genetic Programming: Bargaining in a Three-Agent Coalitions Game,1995,12,3,97--125,https://www.tandfonline.com/doi/abs/10.1080/07421222.1995.11518093,"Dworman, Garett and Kimbrough, Steven O. and Laing, James D.",,,
000102,article,10.1080/07421222.2019.1598682,Journal of Management Information Systems,Editorial Introduction,2019,36,2,351--354,https://www.tandfonline.com/doi/full/10.1080/07421222.2019.1598682,"Zwass, Vladimir",,,
000103,article,10.1080/07421222.2017.1394044,Journal of Management Information Systems,Promoting the System Integration of Renewable Energies: Toward a Decision Support System for Incentivizing Spatially Diversified Deployment,2017,34,4,994--1022,https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1394044,"Piel, Jan-Hendrik and Hamann, Julian F.H. and Koukal, André and Breitner, Michael H.",,,
000104,article,10.1080/07421222.2021.1962597,Journal of Management Information Systems,The Relationship Between Online Referral Marketing and Price Promotion: Evidence from a Large E-Commerce Platform,2021,38,3,855--888,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1962597,"Cao, Zike and Chu, Junhong and Hui, Kai-Lung and Xu, Hong",,,
000105,article,10.1080/07421222.1999.11518233,Journal of Management Information Systems,Choosing Data-Mining Methods for Multiple Classification: Representational and Performance Measurement Implications for Decision Support,1999,16,1,37--62,https://www.tandfonline.com/doi/abs/10.1080/07421222.1999.11518233,"Spangler, William E. and May, Jerrold H. and Vargas, Luis G.",,,
000106,article,10.2753/MIS0742-1222220411,Journal of Management Information Systems,Exploring Attribute Correspondences Across Heterogeneous Databases by Mutual Information,2006,22,4,305--336,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222220411,"ZHAO, HUIMIN and SOOFI, EHSAN S.",,,
000107,article,10.1080/07421222.1989.11517838,Journal of Management Information Systems,Toward the Design of Robust Information Systems,1989,5,4,33--54,https://www.tandfonline.com/doi/abs/10.1080/07421222.1989.11517838,"El Sawy, Omar A. and Nanus, Burt",,,
