ID,ENTRYTYPE,doi,journal,title,year,volume,number,dblp_key,metadata_source,author,file,grobid-version,note,pages,url,language
000036,article,10.1057/PALGRAVE.EJIS.3000357,European Journal of Information Systems,"'Requirements-Uncertainty' - Is it best formulated as a latent, aggregate or profile construct?",2000,9,2,https://dblp.org/rec/journals/ejis/Moynihan00,DBLP,"Moynihan, Tony",,,,,,
000037,article,10.1057/PALGRAVE.EJIS.3000378,European Journal of Information Systems,Towards an enterprise architecture for public administration using a top-down approach,2000,9,4,https://dblp.org/rec/journals/ejis/PeristerasT00,DBLP,"Peristeras, Vassilios and Tarabanis, Konstantinos A.",,,,,,
000038,article,10.1057/PALGRAVE.EJIS.3000361,European Journal of Information Systems,Business environment and internet commerce benefit - a small business perspective,2000,9,2,https://dblp.org/rec/journals/ejis/Poon00,DBLP,"Poon, S.",,,,,,
000039,article,10.1057/PALGRAVE.EJIS.3000345,European Journal of Information Systems,Packaged software - implications of the differences from custom approaches to software development,2000,9,1,https://dblp.org/rec/journals/ejis/Sawyer00,DBLP,"Sawyer, Steven",,,,,,
000040,article,10.1057/PALGRAVE.EJIS.3000380,European Journal of Information Systems,Editorial,2000,9,4,https://dblp.org/rec/journals/ejis/Smithson00,DBLP,"Smithson, Steve",,,,,,
000041,article,10.1057/PALGRAVE.EJIS.3000353,European Journal of Information Systems,Doing research in Business and Management - An Introduction to process and method,2000,9,3,https://dblp.org/rec/journals/ejis/Work00,DBLP,"Work, Brent",,,,,,
000042,article,10.1057/PALGRAVE.EJIS.3000388,European Journal of Information Systems,Design and delivery of information,2001,10,1,https://dblp.org/rec/journals/ejis/Korn01,DBLP,"Korn, J.",,,,,,
000043,article,10.1057/PALGRAVE.EJIS.3000372,European Journal of Information Systems,Outsourcing information systems - drawing lessons from a banking case study,2001,10,1,https://dblp.org/rec/journals/ejis/BaldwinIL01,DBLP,"Baldwin, Lynne P. and Irani, Zahir and Love, Peter E. D.",,,,,,
000044,article,10.1057/PALGRAVE.EJIS.3000379,European Journal of Information Systems,Information systems strategies in knowledge-based SMEs - the role of core competencies,2001,10,1,https://dblp.org/rec/journals/ejis/DuhanLP01,DBLP,"Duhan, Stephen and Levy, Margi and Powell, Philip",,,,,,
000045,article,10.1057/PALGRAVE.EJIS.3000408,European Journal of Information Systems,"Information systems evaluation - past, present and future",2001,10,4,https://dblp.org/rec/journals/ejis/IraniL01,DBLP,"Irani, Zahir and Love, Peter E. D.",,,,,,
000046,article,10.1057/PALGRAVE.EJIS.3000384,European Journal of Information Systems,Transforming failure into success through organisational learning - an analysis of a manufacturing information system,2001,10,1,https://dblp.org/rec/journals/ejis/IraniSL01,DBLP,"Irani, Zahir and Sharif, Amir M. and Love, Peter E. D.",,,,,,
000047,article,10.1057/PALGRAVE.EJIS.3000395,European Journal of Information Systems,Crossing boundaries and conscripting participation - representing and integrating knowledge in a paper machinery project,2001,10,2,https://dblp.org/rec/journals/ejis/KarstenLHK01,DBLP,"Karsten, Helena and Lyytinen, Kalle and Hurskainen, Markku and Koskelainen, Timo",,,,,,
000048,article,10.1057/PALGRAVE.EJIS.3000389,European Journal of Information Systems,"Editorial Volume 10, Issue 1",2001,10,1,https://dblp.org/rec/journals/ejis/OKeefeP01,DBLP,"O'Keefe, Bob and Paul, Ray J.",,,,,,
000049,article,10.1057/PALGRAVE.EJIS.3000394,European Journal of Information Systems,Organisational learning - a critical systems thinking discipline,2001,10,3,https://dblp.org/rec/journals/ejis/PanagiotidisE01,DBLP,"Panagiotidis, Petros and Edwards, John S.",,,,,,
000050,article,10.1057/PALGRAVE.EJIS.3000407,European Journal of Information Systems,A framework for the ex-ante evaluation of ERP software,2001,10,4,https://dblp.org/rec/journals/ejis/Stefanou01,DBLP,"Stefanou, Constantinos J.",,,,,,
000051,article,10.1057/PALGRAVE.EJIS.3000401,European Journal of Information Systems,An investigation of the factors affecting the successful treatment of organisational issues in systems development projects,2001,10,3,https://dblp.org/rec/journals/ejis/DohertyK01,DBLP,"Doherty, Neil F. and King, Malcolm",,,,,,
000052,article,10.1057/PALGRAVE.EJIS.3000400,European Journal of Information Systems,Editorial,2001,10,2,https://dblp.org/rec/journals/ejis/Edwards01,DBLP,"Edwards, John",,,,,,
000053,article,10.1057/PALGRAVE.EJIS.3000402,European Journal of Information Systems,The process of global knowledge integration - a case study of a multinational investment bank's Y2K program,2001,10,3,https://dblp.org/rec/journals/ejis/HuangNP01,DBLP,"Huang, Jimmy C. and Newell, Sue and Pan, Shan Ling",,,,,,
000054,article,10.1057/PALGRAVE.EJIS.3000399,European Journal of Information Systems,Transfer of knowledge in knowledge management systems - unexplored issues and suggested studies,2001,10,2,https://dblp.org/rec/journals/ejis/Huber01,DBLP,"Huber, George P.",,,,,,
000055,article,10.1057/PALGRAVE.EJIS.3000405,European Journal of Information Systems,Understanding IS evaluation as a complex social process - a case study of a UK local authority,2001,10,4,https://dblp.org/rec/journals/ejis/JonesH01,DBLP,"Jones, Steven and Hughes, Jim",,,,,,
000056,article,10.1057/PALGRAVE.EJIS.3000383,European Journal of Information Systems,Measuring Information Technology Investment Payoff - a Contemporary Approach,2001,10,1,https://dblp.org/rec/journals/ejis/Land01,DBLP,"Land, Frank",,,,,,
000057,article,10.1057/PALGRAVE.EJIS.3000398,European Journal of Information Systems,Knowledge management and the politics of knowledge - illustrations from complex products and systems,2001,10,2,https://dblp.org/rec/journals/ejis/MarshallB01,DBLP,"Marshall, Nick and Brady, Tim",,,,,,
000058,article,10.1057/PALGRAVE.EJIS.3000396,European Journal of Information Systems,'Memories are made of this' - explicating organisational knowledge and memory,2001,10,2,https://dblp.org/rec/journals/ejis/RandallHORT01,DBLP,"Randall, Dave W. and Hughes, John A. and O'Brien, Jon and Rouncefield, Mark and Tolmie, Peter",,,,,,
000059,article,10.1057/PALGRAVE.EJIS.3000409,European Journal of Information Systems,The impact of information technology on financial performance - the importance of strategic choice,2001,10,4,https://dblp.org/rec/journals/ejis/Shin01,DBLP,"Shin, Namchul",,,,,,
000060,article,10.1057/PALGRAVE.EJIS.3000406,European Journal of Information Systems,ERP software implementation - an integrative framework,2001,10,4,https://dblp.org/rec/journals/ejis/Al-MudimighZA01,DBLP,"Al-Mudimigh, Abdullah and Zairi, Mohamed and Al-Mashari, Majed",,,,,,
000061,article,10.1057/PALGRAVE.EJIS.3000387,European Journal of Information Systems,Handbook of Action Research Participative Inquiry and Practice,2001,10,3,https://dblp.org/rec/journals/ejis/Alexander01,DBLP,"Alexander, Ian",,,,,,
000062,article,10.1057/PALGRAVE.EJIS.3000403,European Journal of Information Systems,"Managing Industrial Knowledge; Creation, Transfer and Utilization",2001,10,3,https://dblp.org/rec/journals/ejis/Alexander01a,DBLP,"Alexander, Ian",,,,,,
000063,article,10.1057/PALGRAVE.EJIS.3000356,European Journal of Information Systems,Oracle8i Data Warehousing,2001,10,1,https://dblp.org/rec/journals/ejis/Alshawi01,DBLP,"Alshawi, Sarmad",,,,,,
000064,article,10.1057/PALGRAVE.EJIS.3000391,European Journal of Information Systems,The Component-based Business - Plug and Play,2001,10,3,https://dblp.org/rec/journals/ejis/Cook01,DBLP,"Cook, David E.",,,,,,
000065,article,10.1057/PALGRAVE.EJIS.3000393,European Journal of Information Systems,Exploring the supply-side of IT outsourcing - evaluating the emerging role of application service providers,2001,10,3,https://dblp.org/rec/journals/ejis/CurrieS01,DBLP,"Currie, Wendy L. and Seltsikas, Philip",,,,,,
000066,article,10.1057/PALGRAVE.EJIS.3000392,European Journal of Information Systems,Market-oriented Technology Management - Innovating for Profit in Entrepreneurial Times,2001,10,3,https://dblp.org/rec/journals/ejis/Elliott01,DBLP,"Elliott, Geoffrey",,,,,,
000067,article,10.1057/PALGRAVE.EJIS.3000381,European Journal of Information Systems,From contexts to constructs - the use of grounded theory in operationalising contingent process models,2001,10,1,https://dblp.org/rec/journals/ejis/Galal-Edeen01,DBLP,"Galal-Edeen, Galal H.",,,,,,
000068,article,10.1057/PALGRAVE.EJIS.3000386,European Journal of Information Systems,Handbook on Electronic Commerce,2001,10,1,https://dblp.org/rec/journals/ejis/Hollocks01,DBLP,"Hollocks, Brian W.",,,,,,
000069,article,10.1057/PALGRAVE.EJIS.3000385,European Journal of Information Systems,Model-based design and evaluation of interactive applications,2001,10,3,https://dblp.org/rec/journals/ejis/Magoulas01,DBLP,"Magoulas, George D.",,,,,,
000070,article,10.1057/PALGRAVE.EJIS.3000390,European Journal of Information Systems,Managing Electronic Services; A Public Sector Perspective,2001,10,3,https://dblp.org/rec/journals/ejis/Preston01,DBLP,"Preston, Hugh",,,,,,
000071,article,10.1057/PALGRAVE.EJIS.3000397,European Journal of Information Systems,What is knowledge and can it be managed?,2001,10,2,https://dblp.org/rec/journals/ejis/Sutton01,DBLP,"Sutton, D. C.",,,,,,
000072,article,10.1057/PALGRAVE.EJIS.3000424,European Journal of Information Systems,The organisational learning effects of management accounting information under advanced manufacturing technology,2002,11,2,https://dblp.org/rec/journals/ejis/Choe02,DBLP,"Choe, J.-M.",,,,,,
000073,article,10.1057/PALGRAVE.EJIS.3000420,European Journal of Information Systems,"Pre-project partnering impact on an information system project, project team and project manager",2002,11,2,https://dblp.org/rec/journals/ejis/JiangKD02,DBLP,"Jiang, James J. and Klein, Gary and Discenza, Richard",,,,,,
000074,article,10.1057/PALGRAVE.EJIS.3000428,European Journal of Information Systems,(IS)3 - Is Information Systems an intellectual subject?,2002,11,2,https://dblp.org/rec/journals/ejis/Paul02,DBLP,"Paul, R. J.",,,,,,
000075,article,10.1057/PALGRAVE.EJIS.3000431,European Journal of Information Systems,Personality traits and effectiveness of presentation of product information in e-business systems,2002,11,3,https://dblp.org/rec/journals/ejis/JahngJR02,DBLP,"Jahng, Jungjoo and Jain, Hemant K. and Ramamurthy, Keshavamurthy",,,,,,
000076,article,10.1057/PALGRAVE.EJIS.3000419,European Journal of Information Systems,"Editorial Volume 11, Issue 1",2002,11,1,https://dblp.org/rec/journals/ejis/OKeefeP02,DBLP,"O'Keefe, Bob and Paul, Ray J.",,,,,,
000077,article,10.1057/PALGRAVE.EJIS.3000441,European Journal of Information Systems,Editorial,2002,11,4,https://dblp.org/rec/journals/ejis/OKeefeP02a,DBLP,"O'Keefe, Bob and Paul, Ray J.",,,,,,
000078,article,10.1057/PALGRAVE.EJIS.3000426,European Journal of Information Systems,Information Systems and Global Diversity,2002,11,4,https://dblp.org/rec/journals/ejis/Preston02,DBLP,"Preston, Hugh",,,,,,
000079,article,10.1057/PALGRAVE.EJIS.3000423,European Journal of Information Systems,Requirements engineering - exploring the influence of power and Thai values,2002,11,2,https://dblp.org/rec/journals/ejis/Thanasankit02,DBLP,"Thanasankit, Theerasak",,,,,,
000080,article,10.1057/PALGRAVE.EJIS.3000417,European Journal of Information Systems,"Women in the information technology profession - a literature review, synthesis and research agenda",2002,11,1,https://dblp.org/rec/journals/ejis/Ahuja02,DBLP,"Ahuja, Manju K.",,,,,,
000081,article,10.1057/PALGRAVE.EJIS.3000438,European Journal of Information Systems,Do I really have to? User acceptance of mandated technology,2002,11,4,https://dblp.org/rec/journals/ejis/BrownMMB02,DBLP,"Brown, Susan A. and Massey, Anne P. and Montoya-Weiss, Mitzi M. and Burkman, James R.",,,,,,
000082,article,10.1057/PALGRAVE.EJIS.3000416,European Journal of Information Systems,Review - Information Security Management - Global Changes in the New Millennium,2002,11,1,https://dblp.org/rec/journals/ejis/Cook02,DBLP,"Cook, David E.",,,,,,
000083,article,10.1057/PALGRAVE.EJIS.3000430,European Journal of Information Systems,Benchmarking information technology practices in small firms,2002,11,4,https://dblp.org/rec/journals/ejis/Cragg02,DBLP,"Cragg, Paul B.",,,,,,
000084,article,10.1057/PALGRAVE.EJIS.3000415,European Journal of Information Systems,Exploring relationships in information technology outsourcing - the interaction approach,2002,11,1,https://dblp.org/rec/journals/ejis/KernW02,DBLP,"Kern, Thomas and Willcocks, Leslie P.",,,,,,
000085,article,10.1057/PALGRAVE.EJIS.3000421,European Journal of Information Systems,Role of GSS on collaborative problem-based learning - a study on knowledge externalisation,2002,11,2,https://dblp.org/rec/journals/ejis/KwokLHP02,DBLP,"Kwok, Ron Chi-Wai and Lee, Jae-Nam and Huynh, Minh Q. and Pi, Shih-Ming",,,,,,
000086,article,10.1057/PALGRAVE.EJIS.3000429,European Journal of Information Systems,Managing document categories in e-commerce environments - an evolution-based approach,2002,11,3,https://dblp.org/rec/journals/ejis/WeiHD02,DBLP,"Wei, Chih-Ping and Hu, Paul Jen-Hwa and Dong, Yuan-Xin",,,,,,
000087,article,10.1057/PALGRAVE.EJIS.3000418,European Journal of Information Systems,Vicious and virtuous cycles in ERP implementation - a case study of interrelations between critical success factors,2002,11,1,https://dblp.org/rec/journals/ejis/AkkermansH02,DBLP,"Akkermans, Henk and van Helden, Kees",,,,,,
000088,article,10.1057/PALGRAVE.EJIS.3000432,European Journal of Information Systems,The development of two tools for measuring the easiness and usefulness of transactional Web sites,2002,11,3,https://dblp.org/rec/journals/ejis/Aladwani02,DBLP,"Aladwani, Adel M.",,,,,,
000089,article,10.1057/PALGRAVE.EJIS.3000425,European Journal of Information Systems,"Culture, power and politics in ICT outsourcing in higher education institutions",2002,11,2,https://dblp.org/rec/journals/ejis/AllenKM02,DBLP,"Allen, D. and Kern, T. and Mattison, D.",,,,,,
000090,article,10.1057/PALGRAVE.EJIS.3000433,European Journal of Information Systems,For the Special Issue on 'Personal Aspects of E-Business',2002,11,3,https://dblp.org/rec/journals/ejis/Chau02,DBLP,"Chau, Patrick Y. K.",,,,,,
000091,article,10.1057/PALGRAVE.EJIS.3000404,European Journal of Information Systems,Review - Qualitative Research in IS - Issues and Trends,2002,11,1,https://dblp.org/rec/journals/ejis/Hollocks02,DBLP,"Hollocks, Brian W.",,,,,,
000092,article,10.1057/PALGRAVE.EJIS.3000422,European Journal of Information Systems,IT alignment in small firms,2002,11,2,https://dblp.org/rec/journals/ejis/HussinKC02,DBLP,"Hussin, Husnayati and King, Malcolm and Cragg, Paul B.",,,,,,
000093,article,10.1057/PALGRAVE.EJIS.3000411,European Journal of Information Systems,Developing a frame of reference for ex-ante IT/IS investment evaluation,2002,11,1,https://dblp.org/rec/journals/ejis/IraniL02,DBLP,"Irani, Zahir and Love, Peter E. D.",,,,,,
000094,article,10.1057/PALGRAVE.EJIS.3000436,European Journal of Information Systems,The Golden Circle - a way of arguing and acting about technology in the London Ambulance Service,2002,11,4,https://dblp.org/rec/journals/ejis/Mcgrath02,DBLP,"McGrath, Kathy",,,,,,
000095,article,10.1057/PALGRAVE.EJIS.3000413,European Journal of Information Systems,The role of boundaries in knowledge processes,2002,11,1,https://dblp.org/rec/journals/ejis/Merali02,DBLP,"Merali, Yasmin",,,,,,
000096,article,10.1057/PALGRAVE.EJIS.3000427,European Journal of Information Systems,Editorial,2002,11,2,https://dblp.org/rec/journals/ejis/OKeefe02,DBLP,"O'Keefe, Bob",,,,,,
000097,article,10.1057/PALGRAVE.EJIS.3000414,European Journal of Information Systems,Knowledge Management and Business Model Innovation,2002,11,4,https://dblp.org/rec/journals/ejis/Pagano02,DBLP,"Pagano, Rosane",,,,,,
000098,article,10.1057/PALGRAVE.EJIS.3000434,European Journal of Information Systems,"Online auctions, messaging, communication and social facilitation - a simulation and experimental evidence",2002,11,3,https://dblp.org/rec/journals/ejis/RafaeliN02,DBLP,"Rafaeli, Sheizaf and Noy, Avi",,,,,,
000099,article,10.1057/PALGRAVE.EJIS.3000437,European Journal of Information Systems,Re-conceptualising failure - social shaping meets IS research,2002,11,4,https://dblp.org/rec/journals/ejis/WilsonH02,DBLP,"Wilson, Melanie and Howcroft, Debra",,,,,,
000100,article,10.1057/PALGRAVE.EJIS.3000410,European Journal of Information Systems,Patterns of software quality management in TickIT certified firms,2002,11,1,https://dblp.org/rec/journals/ejis/Work02,DBLP,"Work, Brent Lyle",,,,,,
000101,article,10.1057/PALGRAVE.EJIS.3000471,European Journal of Information Systems,(IS)4 - is information systems interesting in itself?,2003,12,3,https://dblp.org/rec/journals/ejis/Perry03,DBLP,"Perry, Mark J.",,,,,,
000102,article,10.1057/PALGRAVE.EJIS.3000464,European Journal of Information Systems,Review - Information Systems - an Introduction to Informatics in Organisations,2003,12,3,https://dblp.org/rec/journals/ejis/Brooks03,DBLP,"Brooks, Laurence D.",,,,,,
000103,article,10.1057/PALGRAVE.EJIS.3000454,European Journal of Information Systems,Using resource-based theory to interpret the successful adoption and use of information systems and technology in manufacturing small and medium-sized enterprises,2003,12,2,https://dblp.org/rec/journals/ejis/CaldeiraW03,DBLP,"Caldeira, Mário M. and Ward, John M.",,,,,,
000104,article,10.1057/PALGRAVE.EJIS.3000470,European Journal of Information Systems,Electronic window dressing - impression management with Websites,2003,12,4,https://dblp.org/rec/journals/ejis/WinterSH03,DBLP,"Winter, Susan J. and Saunders, Carol Stoak and Hart, Paul J.",,,,,,
000105,article,10.1057/PALGRAVE.EJIS.3000444,European Journal of Information Systems,"Review - Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions",2003,12,1,https://dblp.org/rec/journals/ejis/Fitzerald03,DBLP,"Fitzerald, Gury",,,,,,
000106,article,10.1057/PALGRAVE.EJIS.3000458,European Journal of Information Systems,"Review - Information Systems Outsourcing - Enduring Themes, Emergent Patterns and Future Directions",2003,12,2,https://dblp.org/rec/journals/ejis/Fitzgerald03,DBLP,"Fitzgerald, Guy",,,,,,
000107,article,10.1057/PALGRAVE.EJIS.3000473,European Journal of Information Systems,"Information systems - a subject with a particular perspective, no more, no less",2003,12,3,https://dblp.org/rec/journals/ejis/Fitzgerald03a,DBLP,"Fitzgerald, Guy",,,,,,
000108,article,10.1057/PALGRAVE.EJIS.3000465,European Journal of Information Systems,Disciplining Information Systems - Truth and its Regimes,2003,12,3,https://dblp.org/rec/journals/ejis/Introna03,DBLP,"Introna, Lucas D.",,,,,,
000109,article,10.1057/PALGRAVE.EJIS.3000460,European Journal of Information Systems,Business use of Internet-based information systems - the case of Korea,2003,12,3,https://dblp.org/rec/journals/ejis/Lee03,DBLP,"Lee, Sangjae",,,,,,
000110,article,10.1057/PALGRAVE.EJIS.3000439,European Journal of Information Systems,"SMEs, co-opetition and knowledge sharing - the role of information systems",2003,12,1,https://dblp.org/rec/journals/ejis/LevyLP03,DBLP,"Levy, Margi and Loebbecke, Claudia and Powell, Philip",,,,,,
000111,article,10.1057/PALGRAVE.EJIS.3000449,European Journal of Information Systems,Development of a measure for the information technology infrastructure construct,2003,12,2,https://dblp.org/rec/journals/ejis/LewisB03,DBLP,"Lewis, Bruce R. and Byrd, Terry Anthony",,,,,,
000112,article,10.1057/PALGRAVE.EJIS.3000442,European Journal of Information Systems,Rethinking competence systems for knowledge-based organizations,2003,12,1,https://dblp.org/rec/journals/ejis/LindgrenSL03,DBLP,"Lindgren, Rikard and Stenmark, Dick and Ljungberg, Jan",,,,,,
000113,article,10.1057/PALGRAVE.EJIS.3000462,European Journal of Information Systems,Identifying software project risks in Nigeria - an International Comparative Study,2003,12,3,https://dblp.org/rec/journals/ejis/MursuLSK03,DBLP,"Mursu, Anja and Lyytinen, Kalle and Soriyan, Hettie Abimbola and Korpela, Mikko",,,,,,
