ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,url,author,language,dblp_key,metadata_source
000030,article,10.1057/PALGRAVE.EJIS.3000457,European Journal of Information Systems,Visualizing Argumentation - Software Tools for Collaborative and Educational Sense-making,2003,12,2,163--164,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000457,"Alexander, Ian",,,
000031,article,10.1057/PALGRAVE.EJIS.3000469,European Journal of Information Systems,Designing Collaborative Systems. A Practical Guide to Ethnography,2003,12,3,247--248,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000469,"Alexander, Ian",,,
000032,article,10.1057/S41303-017-0057-Y,European Journal of Information Systems,An empirical study on the susceptibility to social engineering in social networking sites - the case of Facebook,2017,26,6,661--687,https://www.tandfonline.com/doi/full/10.1057/s41303-017-0057-y,"Algarni, Abdullah and Xu, Yue and Chan, Taizan",,,
000033,article,10.1057/EJIS.2013.8,European Journal of Information Systems,Information sharing and interoperability - the case of major incident management,2014,23,4,418--432,https://www.tandfonline.com/doi/full/10.1057/ejis.2013.8,"Allen, David K and Karanasios, Stan and Norman, Alistair",,,
000034,article,10.1057/EJIS.2010.6,European Journal of Information Systems,How well do shopbots represent online markets? A study of shopbots' vendor coverage strategy,2010,19,3,257--272,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.6,"Allen, Gove and Wu, Jianan",,,
000035,article,10.1057/PALGRAVE.EJIS.3000356,European Journal of Information Systems,Oracle8i Data Warehousing,2001,10,1,67--67,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000356,"Alshawi, Sarmad",,,
000036,article,10.1057/PALGRAVE.EJIS.3000499,European Journal of Information Systems,Possibilities for cross-fertilization between interpretive approaches and other methods for analyzing information systems,2004,13,3,173--185,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000499,"Alter, Steven",,,
000037,article,10.1057/EJIS.2008.37,European Journal of Information Systems,Defining information systems as work systems - implications for the IS field,2008,17,5,448--469,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.37,"Alter, Steven",,,
000038,article,10.1057/EJIS.2012.39,European Journal of Information Systems,The pursuit of trust inad hocvirtual teams - how much electronic portrayal is too much?,2013,22,6,619--636,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.39,"Altschuller, Shoshana and Benbunan-Fich, Raquel",,,
000039,article,10.1080/0960085X.2020.1808540,European Journal of Information Systems,Effects of structural and trait competitiveness stimulated by points and leaderboards on user engagement and performance growth - A natural experiment with gamification in an informal learning environment,2020,29,6,704--730,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1808540,"Amo, Laura and Liao, Ruochen and Kishore, Rajiv and Rao, Hejamadi R.",,,
000040,article,10.1057/PALGRAVE.EJIS.3000599,European Journal of Information Systems,Activity-based design,2006,15,1,9--25,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000599,"Andersen, Peter Bøgh",,,
000041,article,10.1057/EJIS.2015.21,European Journal of Information Systems,How users perceive and respond to security messages - a NeuroIS research agenda and empirical study,2016,25,4,364--390,https://www.tandfonline.com/doi/full/10.1057/ejis.2015.21,"Brinton Anderson, Bonnie and Vance, Anthony and Kirwan, C Brock and Eargle, David and Jenkins, Jeffrey L",,,
000042,article,10.1080/0960085X.2018.1425658,European Journal of Information Systems,Thanks to Reviewers,2018,27,1,124--126,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1425658,,,,
000043,article,10.1080/0960085X.2019.1565656,European Journal of Information Systems,Thanks to Reviewers,2019,28,1,114--118,https://www.tandfonline.com/doi/full/10.1080/0960085X.2019.1565656,,,,
000044,article,10.1057/EJIS.2009.49,European Journal of Information Systems,Competing pressures of risk and absorptive capacity potential on commitment and information sharing in global supply chains,2010,19,2,134--152,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.49,"Arnold, Vicky and Benford, Tanya and Hampton, Clark and Sutton, Steve G",,,
000045,article,10.1057/PALGRAVE.EJIS.3000509,European Journal of Information Systems,"Decision support systems evolution - framework, case study and research agenda",2004,13,4,247--259,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000509,"Arnott, David",,,
000046,article,10.1057/PALGRAVE.EJIS.3000476,European Journal of Information Systems,Assessing the benefits from e-business transformation through effective enterprise management,2003,12,4,297--308,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000476,"Ash, Colin G and Burn, Janice M",,,
000047,article,10.1057/EJIS.2008.33,European Journal of Information Systems,Improving the impact of IT development projects - the benefits realization capability model,2008,17,4,352--370,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.33,"Ashurst, Colin and Doherty, Neil F and Peppard, Joe",,,
000048,article,10.1057/PALGRAVE.EJIS.3000359,European Journal of Information Systems,The ‘Soft Information Systems and Technologies Methodology' (SISTeM) - an actor network contingency approach to integrated development,2000,9,2,104--123,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000359,"Atkinson, C J",,,
000049,article,10.1057/EJIS.2014.44,European Journal of Information Systems,How to get the most from a business intelligence application during the post implementation phase? Deep structure transformation at a U.K. retail bank,2016,25,1,29--46,https://www.tandfonline.com/doi/full/10.1057/ejis.2014.44,"Audzeyeva, Alena and Hudson, Robert",,,
000050,article,10.1057/PALGRAVE.EJIS.3000474,European Journal of Information Systems,Is IS an intellectual subject?,2003,12,3,229--230,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000474,"Avison, David E",,,
000051,article,10.1057/PALGRAVE.EJIS.3000625,European Journal of Information Systems,"An opportunity for editors of I.S. journals to relate their experiences and offer advice. The editorial view of David Avison Guy Fitzgerald and Philip Powell, Editors - of the Information Systems Journal - Second in a series",2006,15,3,241--243,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000625,"Avison, David and Fitzgerald, Guy and Powell, Philip",,,
000052,article,10.1057/S41303-016-0022-1,European Journal of Information Systems,A narrative approach to publishing information systems research - inspiration from the French New Novel tradition,2017,26,3,260--273,https://www.tandfonline.com/doi/full/10.1057/s41303-016-0022-1,"Avison, David and Malaurent, Julien and Eynaud, Philippe",,,
000053,article,10.1057/S41303-017-0051-4,European Journal of Information Systems,Alternative genres in information systems research,2017,26,3,240--247,https://www.tandfonline.com/doi/full/10.1057/s41303-017-0051-4,"Avital, Michel and Mathiassen, Lars and Schultze, Ulrike",,,
000054,article,10.1057/EJIS.2008.14,European Journal of Information Systems,Enacting computer workaround practices within a medication dispensing system,2008,17,3,264--278,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.14,"Azad, Bijan and King, Nelson",,,
000055,article,10.1057/EJIS.2011.48,European Journal of Information Systems,Institutionalized computer workaround practices in a Mediterranean country - an examination of two organizations,2012,21,4,358--372,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.48,"Azad, Bijan and King, Nelson",,,
000056,article,10.1057/EJIS.2009.32,European Journal of Information Systems,"Evaluation of RFID applications for logistics - a framework for identifying, forecasting and assessing benefits",2009,18,6,578--591,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.32,"Baars, Henning and Gille, Daniel and Strüker, Jens",,,
000057,article,10.1057/S41303-017-0060-3,European Journal of Information Systems,ERP prototype with built-in task and process support,2018,27,2,189--206,https://www.tandfonline.com/doi/full/10.1057/s41303-017-0060-3,"Babaian, Tamara and Xu, Jennifer and Lucas, Wendy",,,
000058,article,10.1057/PALGRAVE.EJIS.3000349,European Journal of Information Systems,Process improvement and organisational learning - The role of collaboration technologies,2000,9,2,126--127,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000349,"Bacon, C James",,,
000059,article,10.1080/0960085X.2021.1890530,European Journal of Information Systems,Accounting for social media effects to improve the accuracy of infection models - combatting the COVID-19 pandemic and infodemic,2021,30,3,342--355,https://www.tandfonline.com/doi/full/10.1080/0960085X.2021.1890530,"Bae, Sujin and (Christine) Sung, Eunyoung and Kwon, Ohbyung",,,
000060,article,10.1057/PALGRAVE.EJIS.3000453,European Journal of Information Systems,Modeling use of enterprise resource planning systems - a path analytic study,2003,12,2,142--158,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000453,"Bagchi, Shantanu and Kanungo, Shivraj and Dasgupta, Subhasish",,,
000061,article,10.1057/EJIS.2013.12,European Journal of Information Systems,Associating consumer perceived value with business models for digital services,2015,24,1,4--22,https://www.tandfonline.com/doi/full/10.1057/ejis.2013.12,"Baird, Aaron and Raghu, T S",,,
000062,article,10.1080/0960085X.2020.1718007,European Journal of Information Systems,Digital transformation and the new logics of business process management,2020,29,3,238--259,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1718007,"Baiyere, Abayomi and Salmela, Hannu and Tapanainen, Tommi",,,
000063,article,10.1080/0960085X.2020.1803775,European Journal of Information Systems,"Ownership and governance, scope, and empowerment: how does context affect enterprise systems implementation in organisations in the Arab World?",2021,30,4,425--451,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1803775,"Bala, Hillol and Hossain, Mohammad Mobashar and Bhagwatwar, Akshay and Feng, Xuan",eng,,
000064,article,10.1057/PALGRAVE.EJIS.3000372,European Journal of Information Systems,Outsourcing information systems - drawing lessons from a banking case study,2001,10,1,15--24,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000372,"Baldwin, L P and Irani, Z and Love, P E D",,,
000065,article,10.1057/PALGRAVE.EJIS.3000546,European Journal of Information Systems,Factors and measures of business process modelling - model building through a multiple case study,2005,14,4,347--360,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000546,"Bandara, Wasana and Gable, Guy G and Rosemann, Michael",,,
000066,article,10.1057/EJIS.2010.9,European Journal of Information Systems,Evaluating cross-organizational impacts of information technology - an empirical analysis,2010,19,2,153--167,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.9,"Banker, Rajiv D and Chang, Hsihui and Kao, Yi-Ching",,,
000067,article,10.1057/EJIS.2014.41,European Journal of Information Systems,The role of privacy assurance mechanisms in building trust and the moderating role of privacy concern,2015,24,6,624--644,https://www.tandfonline.com/doi/full/10.1057/ejis.2014.41,"Bansal, Gaurav and Zahedi, Fatemeh ‘Mariam’ and Gefen, David",,,
000068,article,10.1080/0960085X.2020.1816146,European Journal of Information Systems,Exposing patterns of adult solicitor behaviour - towards a theory of control within the cybersexual abuse of youth,2021,30,6,591--622,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1816146,"Barber, Connie S and Bettez, Silvia Cristina",,,
000069,article,10.1057/EJIS.2014.10,European Journal of Information Systems,Five-factor model personality traits as predictors of perceived and actual usage of technology,2015,24,4,374--390,https://www.tandfonline.com/doi/full/10.1057/ejis.2014.10,"Barnett, Tim and Pearson, Allison W and Pearson, Rodney and Kellermanns, Franz W",,,
000070,article,10.1057/PALGRAVE.EJIS.3000487,European Journal of Information Systems,Electronic trading and the process of globalization in traditional futures exchanges - a temporal perspective,2004,13,1,65--79,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000487,"Barrett, Michael and Scott, Susan",,,
000071,article,10.1080/0960085X.2020.1762127,European Journal of Information Systems,Enabling collaboration and innovation in Denver's smart city through a living lab - a social capital perspective,2020,29,4,369--387,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1762127,"Bartelt, Valerie L. and Urbaczewski, Andrew and Mueller, Andrew G. and Sarker, Suprateek",,,
000072,article,10.1057/EJIS.2008.3,European Journal of Information Systems,A multiple narrative approach to information systems failure - a successful system that failed,2008,17,2,112--124,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.3,"Bartis, Eszter and Mitev, Nathalie",,,
000073,article,10.1057/EJIS.2011.18,European Journal of Information Systems,Enabling a Kleinian integration of interpretivist and socio-critical IS research - the contribution of Dooyeweerd's philosophy,2011,20,4,477--489,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.18,"Basden, Andrew",,,
000074,article,10.1057/PALGRAVE.EJIS.3000488,European Journal of Information Systems,An Editor's Values,2004,13,1,1--2,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000488,"Baskerville, Richard",,,
000075,article,10.1057/PALGRAVE.EJIS.3000622,European Journal of Information Systems,Artful planning,2006,15,2,113--115,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000622,"Baskerville, Richard L",,,
000076,article,10.1057/EJIS.2008.7,European Journal of Information Systems,For better or worse - how we apply journal ranking lists,2008,17,2,156--157,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.7,"Baskerville, Richard",,,
000077,article,10.1057/EJIS.2008.45,European Journal of Information Systems,What design science is not,2008,17,5,441--443,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.45,"Baskerville, Richard",,,
000078,article,10.1057/EJIS.2008.1,European Journal of Information Systems,Changing the challenge - measure what makes you better and be better at what you measure,2008,17,1,1--3,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.1,"Baskerville, Richard",,,
000079,article,10.1057/EJIS.2008.20,European Journal of Information Systems,"Strategies, systems, and technologies",2008,17,3,179--181,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.20,"Baskerville, Richard",,,
000080,article,10.1057/EJIS.2008.36,European Journal of Information Systems,"Research quality, project failure, and privacy threats - spitting, yelling, and cussing",2008,17,4,321--323,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.36,"Baskerville, Richard",,,
000081,article,10.1057/EJIS.2008.54,European Journal of Information Systems,Introduction to the Opinion Paper - Bryant's ‘The future of information systems',2008,17,6,694--694,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.54,"Baskerville, Richard",,,
000082,article,10.1057/EJIS.2009.42,European Journal of Information Systems,Preparing for evidence-based management,2009,18,6,523--525,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.42,"Baskerville, Richard",,,
000083,article,10.1057/EJIS.2009.3,European Journal of Information Systems,The EJIS editorial organisation and submissions,2009,18,1,1--3,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.3,"Baskerville, Richard",,,
000084,article,10.1057/EJIS.2010.2,European Journal of Information Systems,Third-degree conflicts - information warfare,2010,19,1,1--4,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.2,"Baskerville, Richard",,,
000085,article,10.1057/EJIS.2011.8,European Journal of Information Systems,Individual information systems as a research arena,2011,20,3,251--254,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.8,"Baskerville, Richard",,,
000086,article,10.1057/EJIS.2011.22,European Journal of Information Systems,Information design,2011,20,4,375--377,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.22,"Baskerville, Richard",,,
000087,article,10.1057/EJIS.2012.46,European Journal of Information Systems,Reviving the IT in the IS,2012,21,6,587--591,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.46,"Baskerville, Richard",,,
000088,article,10.1080/0960085X.2017.1395545,European Journal of Information Systems,Aesthetics in design science research,2018,27,2,140--153,https://www.tandfonline.com/doi/full/10.1080/0960085X.2017.1395545,"Baskerville, Richard L. and Kaul, Mala and Storey, Veda C.",,,
000089,article,10.1057/EJIS.2010.56,European Journal of Information Systems,A response to the design-oriented information systems research memorandum,2011,20,1,11--15,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.56,"Baskerville, Richard and Lyytinen, Kalle and Sambamurthy, Vallabh and Straub, Detmar",,,
000090,article,10.1057/EJIS.2015.12,European Journal of Information Systems,Achieving dynamic capabilities with cloud computing - an empirical investigation,2016,25,3,209--230,https://www.tandfonline.com/doi/full/10.1057/ejis.2015.12,"Battleson, Douglas A and West, Barry C and Kim, Jongwoo and Ramesh, Balasubramaniam and Robinson, Pamela S",,,
000091,article,10.1080/0960085X.2018.1475876,European Journal of Information Systems,"Feedback, task performance, and interface preferences",2018,27,6,654--669,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1475876,"Bellman, Steven and Murray, Kyle B.",,,
000092,article,10.1080/0960085X.2018.1512945,European Journal of Information Systems,An affordance lens for wearable information systems,2019,28,3,256--271,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1512945,"Benbunan-Fich, Raquel",,,
000093,article,10.1080/0960085X.2020.1814989,European Journal of Information Systems,IT-enabled innovation in the public sector - introduction to the special issue,2020,29,4,323--328,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1814989,"Benbunan-Fich, Raquel and Desouza, Kevin C. and Andersen, Kim Normann",,,
000094,article,10.1057/EJIS.2012.14,European Journal of Information Systems,"Information technology, the organizational capability of proactive corporate environmental strategy and firm performance - a resource-based analysis",2012,21,6,664--679,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.14,"Benitez-Amado, Jose and Walczuch, Rita M",,,
000095,article,10.1057/EJIS.2011.14,European Journal of Information Systems,"Is traditional, open-source, or on-demand first choice? Developing an AHP-based framework for the comparison of different software models in office suites selection",2011,20,5,542--559,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.14,"Benlian, Alexander",,,
000096,article,10.1080/0960085X.2020.1742587,European Journal of Information Systems,Detection of early warning signals for overruns in IS projects - linguistic analysis of business case language,2020,29,2,190--202,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1742587,"Benschop, Nick and Hilhorst, Cokky A. R. and Nuijten, Arno L. P. and Keil, Mark",,,
000097,article,10.1080/0960085X.2019.1673972,European Journal of Information Systems,How quickly do we learn conceptual models?,2019,28,6,663--680,https://www.tandfonline.com/doi/full/10.1080/0960085X.2019.1673972,"Bera, Palash and Poels, Geert",,,
000098,article,10.1057/EJIS.2009.47,European Journal of Information Systems,"Dressage, control, and enterprise systems - the case of NASA's Full Cost initiative",2010,19,1,21--34,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.47,"Berente, Nicholas and Gal, Uri and Yoo, Youngjin",,,
000099,article,10.1057/EJIS.2010.27,European Journal of Information Systems,"Erratum - Dressage, control, and enterprise systems - the case of NASA's Full Cost initiative",2010,19,3,377--377,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.27,"Berente, Nicholas and Gal, Uri and Yoo, Youngjin",,,
000100,article,10.1057/EJIS.2009.18,European Journal of Information Systems,"Factors considered when outsourcing an IS system - an empirical examination of the impacts of organizational size, strategy and the object of a decision",2009,18,3,235--248,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.18,"Berg, Bjarne and Stylianou, Antonis C",,,
000101,article,10.1057/PALGRAVE.EJIS.3000351,European Journal of Information Systems,Beyond the productivity paradox,2000,9,2,128--128,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000351,"Berghout, Egon",,,
000102,article,10.1057/PALGRAVE.EJIS.3000367,European Journal of Information Systems,Information technology standards and standardization - A global perspective,2000,9,3,205--205,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000367,"Berghout, Egon",,,
000103,article,10.1057/EJIS.2012.51,European Journal of Information Systems,Effective ERP adoption processes - the role of project activators and resource investments,2013,22,2,235--250,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.51,"Bernroider, Edward W N",,,
000104,article,10.1057/EJIS.2010.34,European Journal of Information Systems,"The enactment of significance - a unified conception of information, systems and technology",2010,19,4,389--408,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.34,"Beynon-Davies, Paul",,,
000105,article,10.1080/0960085X.2018.1435233,European Journal of Information Systems,What’s in a face? Making sense of tangible information systems in terms of Peircean semiotics,2018,27,3,295--314,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1435233,"Beynon-Davies, Paul",eng,,
000106,article,10.1057/EJIS.2010.8,European Journal of Information Systems,Building a successful relationship in business process outsourcing - an exploratory study,2010,19,2,168--180,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.8,"Bharadwaj, Sangeeta S and Saxena, Kul Bhushan C and Halemane, Murthy D",,,
000107,article,10.1057/PALGRAVE.EJIS.3000508,European Journal of Information Systems,"""Interpretive"" mobility, IS and computing",2004,13,3,167--172,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000508,"Bhattacharjee, Anjana",,,
000108,article,10.1057/PALGRAVE.EJIS.3000507,European Journal of Information Systems,"Special issue on ""interpretive"" approaches to information systems and computing",2004,13,3,166--166,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000507,"Bhattacharjee, Anjana and Paul, Ray J",,,
000109,article,10.1057/S41303-017-0047-0,European Journal of Information Systems,User response to mandatory IT use - a coping theory perspective,2018,27,4,395--414,https://www.tandfonline.com/doi/full/10.1057/s41303-017-0047-0,"Bhattacherjee, Anol and Davis, Christopher J. and Connolly, Amy J. and Hikmet, Neset",,,
