ID,ENTRYTYPE,file,doi,grobid-version,journal,title,volume,number,author,year,note
0000000019,article,data/pdfs/3_1/Bjornestad_A Research Programm.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A research programme for object-orientation,3,1,"Bjornestad, S.",,
0000000020,article,data/pdfs/3_3/ReekersSmithson1994.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,EDI in Germany and the UK: strategic and operational use,3,3,"Reekers, N. and Smithson, S.",,
0000000021,article,data/pdfs/17_4/PareBourdeauMarsanEtAl2008.pdf,10.1057/EJIS.2008.34,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Re-examining the causal structure of information technology impact research,17,4,"Pare, Guy and Bourdeau, Simon and Marsan, Josianne and Nach, Hamid and Shuraida, Shadi",,
0000000022,article,data/pdfs/14_1/KotlarskyOshri2005.pdf,10.1057/PALGRAVE.EJIS.3000520,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Social ties, knowledge sharing and successful collaboration in globally distributed system development projects",14,1,"Kotlarsky, Julia and Oshri, Ilan",,
0000000023,article,data/pdfs/14_5/Boucas2005.pdf,10.1057/PALGRAVE.EJIS.3000568,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A brief glimpse of Claudio,14,5,"Boucas, Dimitris",,
0000000024,article,data/pdfs/15_3/KockLynnDowEtAl2006.pdf,10.1057/PALGRAVE.EJIS.3000612,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Team adaptation to electronic communication media: evidence of compensatory adaptation in new product development teams,15,3,"Kock, Ned and Lynn, Gary S and Dow, Kevin E and Akgu, Ali E",,
0000000025,article,data/pdfs/30_1/HafermalzRiemer2021.pdf,10.1080/0960085X.2020.1841572,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Productive and connected while working from home: what client-facing remote workers can learn from telenurses about 'belonging through technology',30,1,"Hafermalz, Ella and Riemer, Kai and Ågerfalk, Pär and Conboy, Kieran and Myers, Michael",,
0000000026,article,data/pdfs/16_4/Paul2007.pdf,10.1057/PALGRAVE.EJIS.3000705,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Changing the challenge: To challenge makes you larger and being challenged makes you small,16,4,"Paul, Ray J",,
0000000027,article,data/pdfs/17_6/TojibSugiantoSendjaya2008.pdf,10.1057/EJIS.2008.55,lfoppiano/grobid:0.8.1,European Journal of Information Systems,User satisfaction with business-to-employee portals: conceptualization and scale development,17,6,"Tojib, Dewi Rooslani and Sugianto, Ly-Fie and Sendjaya, Sen and Dewi, Rooslani and Tojib",,
0000000028,article,data/pdfs/15_1/Rittgen2006.pdf,10.1057/PALGRAVE.EJIS.3000597,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A language-mapping approach to actionoriented development of information systems,15,1,"Rittgen, Peter",,
0000000029,article,data/pdfs/1_3/Jones1991.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Post-industrial and post-Fordist perspectives on information systems,1,3,"Jones, M. R",,
0000000030,article,data/pdfs/19_6/KlausBlanton2010.pdf,10.1057/EJIS.2010.39,lfoppiano/grobid:0.8.1,European Journal of Information Systems,User resistance determinants and the psychological contract in enterprise system implementations,19,6,"Klaus, Tim and Blanton, J. Ellis",2010,
0000000031,article,data/pdfs/20_6/NapierMathiassenRobey2011.pdf,10.1057/EJIS.2011.32,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Building contextual ambidexterity in a software company to improve firm-level coordination,20,6,"Napier, Nannette P and Mathiassen, Lars and Robey, Daniel",2011,
0000000032,article,data/pdfs/18_5/RiemenschneiderArmstrongMoore2009.pdf,10.1057/EJIS.2009.36,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Meeting the demand for IT workers: a call for research,18,5,"Riemenschneider, Cynthia K and Armstrong, Deborah J and Moore, Jo Ellen",,
0000000033,article,data/pdfs/21_1/IndulskaHovorkaRecker2012.pdf,10.1057/EJIS.2011.37,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Quantitative approaches to content analysis: identifying conceptual drift across publication outlets,21,1,"Indulska, Marta and Hovorka, Dirk S and Recker, Jan",2011,
0000000034,article,data/pdfs/30_5/LiThomasLiu2021.pdf,10.1080/0960085X.2020.1816145,lfoppiano/grobid:0.8.1,European Journal of Information Systems,From semantics to pragmatics: where IS can lead in Natural Language Processing (NLP) research,30,5,"Li, Yan and Liu, Dapeng and Ågerfalk, Pär and Helms, Remko",,
0000000035,article,data/pdfs/14_1/DohertyKing2005.pdf,10.1057/PALGRAVE.EJIS.3000517,lfoppiano/grobid:0.8.1,European Journal of Information Systems,From technical to socio-technical change: tackling the human and organizational aspects of systems development projects,14,1,"Doherty, Neil F and King, Malcolm",,
0000000036,article,data/pdfs/14_4/BandaraGableRosemann2005.pdf,10.1057/PALGRAVE.EJIS.3000546,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Factors and measures of business process modelling: model building through a multiple case study,14,4,"Bandara, Wasana and Gable, Guy G and Rosemann, Michael",,
0000000037,article,data/pdfs/12_4/AshBurn2003.pdf,10.1057/PALGRAVE.EJIS.3000476,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Assessing the benefits from e-business transformation through effective enterprise management,12,4,"Ash, Colin G and Burn, Janice M",,
0000000038,article,data/pdfs/19_1/Baskerville2010.pdf,10.1057/EJIS.2010.2,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Third-degree conflicts: information warfare,19,1,"Baskerville, Richard",,
0000000039,article,data/pdfs/12_3/Brooks2003.pdf,10.1057/PALGRAVE,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Information Systems: an Introduction to Informatics in Organisations,12,3,"Beynon-Davies, P.",,Book review
0000000040,article,data/pdfs/12_2/Alexander2003a.pdf,10.1057/PALGRAVE.EJIS.3000457,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Visualizing Argumentation: Software Tools for Collaborative and Educational Sense-making,12,2,"Alexander, Ian",,Book review
0000000041,article,data/pdfs/21_5/CordobaPilkingtonBernroider2012.pdf,10.1057/EJIS.2011.58,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Information systems as a discipline in the making: comparing EJIS and MISQ between 1995 and 2008,21,5,"Co ´rdoba, Jose ´-Rodrigo and Pilkington, Alan and Bernroider, Edward W N and Co, Jose ´-Rodrigo",2012,
0000000042,article,data/pdfs/29_5/HemonRoweMonnierSenicourt2020.pdf,10.1080/0960085X.2020.1782276,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Orchestrating automation and sharing in DevOps teams: a revelatory case of job satisfaction factors, risk and work conditions",29,5,"Hemon-Hildgen, Aymeric and Rowe, Frantz and Monnier-Senicourt, Laetitia and Maruping, Likoebe and Matook, Sabine",,
0000000043,article,data/pdfs/24_3/ZhouJinFangEtAl2015.pdf,10.1057/EJIS.2014.27,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Toward a theory of perceived benefits, affective commitment, and continuance intention in social virtual worlds: cultural values (indulgence and individualism) matter",24,3,"Zhou, Zhongyun and Jin, Xiao-Ling and Fang, Yulin and Vogel, Doug",2014,
0000000044,article,data/pdfs/17_4/TheotokisVlachosPramatari2008.pdf,10.1057/EJIS.2008.32,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The moderating role of customer-technology contact on attitude towards technology-based services,17,4,"Theotokis, Aristeidis and Vlachos, Pavlos A and Pramatari, Katerina",,
0000000045,article,data/pdfs/6_1/3000256a.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,System dynamics in software project management: towards the development of a formal integrated framework,6,1,"Rodrigues, A. G and Williams, T. M",,
0000000046,article,data/pdfs/7_2/Tolsby1998.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Effects of organizational culture on a large scale IT introduction effort: a case study of the Norwegian army's EDBLF project,7,2,"Tolsby, J.",,
0000000047,article,data/pdfs/21_3/FlynnDu2012.pdf,10.1057/EJIS.2011.27,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A case study of the legitimation process undertaken to gain support for an information system in a Chinese university,21,3,"Flynn, Donal and Du, Yongqin",2011,
0000000048,article,data/pdfs/18_3/MendoFitzgeraldFriasMartinez2009.pdf,10.1057/EJIS.2009.14,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Understanding web site redesigns in small-and medium-sized enterprises (SMEs): a U.K.-based study on the applicability of e-commerce Stage Models,18,3,"Alonso-Mendo, Fernando and Fitzgerald, Guy and Frias-Martinez, Enrique and Al",2009,
0000000049,article,data/pdfs/17_6/SmolanderRossiPurao2008.pdf,10.1057/EJIS.2008.48,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Software architectures: Blueprint, Literature, Language or Decision?",17,6,"Smolander, Kari and Rossi, Matti and Purao, Sandeep",,
0000000050,article,data/pdfs/20_6/DArcyHerath2011.pdf,10.1057/EJIS.2011.23,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A review and analysis of deterrence theory in the IS security literature: making sense of the disparate findings,20,6,"D'arcy, John and Herath, Tejaswini and Arcy, John D '",2011,
0000000051,article,data/pdfs/2_3/UnknownUNKNOWN.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,,2,3,,,Erratum
0000000052,article,data/pdfs/16_6/LeeShim2007.pdf,10.1057/PALGRAVE.EJIS.3000716,lfoppiano/grobid:0.8.1,European Journal of Information Systems,An exploratory study of radio frequency identification (RFID) adoption in the healthcare industry,16,6,"Lee, Cheon-Pyo and Shim, Jung P",,
0000000053,article,data/pdfs/15_3/PrasopoulouPouloudiPanteli2006.pdf,10.1057/PALGRAVE.EJIS.3000617,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Enacting new temporal boundaries: the role of mobile phones,15,3,"Prasopoulou, Elpida and Pouloudi, Athanasia and Panteli, Niki",,
0000000054,article,data/pdfs/30_2/PeePanWangEtAl2021.pdf,10.1080/0960085X.2020.1863751,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Designing for the future in the age of pandemics: a future-ready design research (FRDR) process,30,2,"Pee, L. G and Pan, Shan L and Wang, Jingyuan and Wu, Junjie and Ågerfalk, Pär and Conboy, Kieran and Myers, Michael",,
0000000055,article,data/pdfs/20_5/Benlian2011.pdf,10.1057/EJIS.2011.14,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Is traditional, open-source, or on-demand first choice? Developing an AHP-based framework for the comparison of different software models in office suites selection",20,5,"Benlian, Alexander",2011,
0000000056,article,data/pdfs/18_3/IbrahimRibbers2009.pdf,10.1057/EJIS.2009.17,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The impacts of competence-trust and openness-trust on interorganizational systems,18,3,"Ibrahim, Mohammed and Ribbers, Pieter M",2009,
0000000057,article,data/pdfs/11_3/Aladwani2002a.pdf,10.1057/PALGRAVE.EJIS.3000432,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The development of two tools for measuring the easiness and usefulness of transactional Web sites,11,3,"Aladwani, A. M",,
0000000058,article,data/pdfs/21_4/Teeni2012.pdf,10.1057/EJIS.2012.34,lfoppiano/grobid:0.8.1,European Journal of Information Systems,What's communication got to do with IT?,21,4,"Te'eni, Dov",,
0000000059,article,data/pdfs/3_2/Segars_Communications Architec.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Communications architecture: towards a more robust understanding of information flows and emergent patterns of communication in organizations,3,2,"Segars, A. H and Grover, V.",,
0000000060,article,data/pdfs/3_4/Couger_Comparing The Motivatio.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Comparing the motivations of Spanish and Finnish computer personnel with those of the United States,3,4,"Couger, J. D and O'callaghan, R.",,
0000000061,article,data/pdfs/2_1/Book_review_6.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,,2,1,,,Book review
0000000062,article,data/pdfs/14_5/Lawrence2005.pdf,10.1057/PALGRAVE.EJIS.3000567,lfoppiano/grobid:0.8.1,European Journal of Information Systems,From Milan to Mann Gulch: reflections on the intellectual contributions of Professor Claudio Ciborra,14,5,"Lawrence, Cameron",,
0000000063,article,data/pdfs/14_5/DAtri2005a.pdf,10.1057/PALGRAVE.EJIS.3000578,lfoppiano/grobid:0.8.1,European Journal of Information Systems,ItAIS (the Italian chapter of AIS) remembers Claudio,14,5,"D'atri, Alessandro and Atri, Alessandro D ' and Ricerca, Centro and Informativi, Sistemi and Luiss, Guido and Carli",,
0000000064,article,data/pdfs/18_2/Hsu2009.pdf,10.1057/EJIS.2009.7,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Frame misalignment: interpreting the implementation of information systems security certification in an organization,18,2,"Hsu, Carol W",2009,
0000000065,article,data/pdfs/29_6/AmoLiaoKishoreEtAl2020.pdf,10.1080/0960085X.2020.1808540,lfoppiano/grobid:0.8.1,European Journal of Information Systems,,29,6,"Amo, Laura and Liao, Ruochen and Kishore, Rajiv and Rao, Hejamadi R",,
0000000066,article,data/pdfs/25_1/Klecun2016.pdf,10.1057/EJIS.2014.40,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Transforming healthcare: policy discourses of IT and patient-centred care,25,1,"Klecun, Ela",2015,
0000000067,article,data/pdfs/14_5/Cavallari2005.pdf,10.1057/PALGRAVE.EJIS.3000585,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A grand master and an exceptional mind,14,5,"Cavallari, Maurizio",,
0000000068,article,data/pdfs/12_1/OKeefe2003.pdf,10.1057/PALGRAVE.EJIS.3000451,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Theory with everything?,12,1,"O'keefe, Bob",,
0000000069,article,data/pdfs/23_1/Stahl2014.pdf,10.1057/EJIS.2012.58,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Interpretive accounts and fairy tales: a critical polemic against the empiricist bias in interpretive IS research,23,1,"Stahl, Bernd Carsten",2013,
0000000070,article,data/pdfs/5_1/Poulymenakou1996_A Contingency.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A contingency framework for the investigation of information systems failure,5,1,"Poulymenakou, A. and Holmes, A.",,
0000000071,article,data/pdfs/7_2/SillinceHarindranath1998.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Integration of requirements determination and business process re-engineering: a case study of an Ambulatory Care and Diagnostic (ACAD) centre,7,2,"Sillince, Jaa and Harindranath, G.",,
0000000072,article,data/pdfs/26_6/CramProudfootDArcy2017.pdf,10.1057/S41303-017-0059-9,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Organizational information security policies: a review and research framework,26,6,"Cram, W. Alec and Proudfoot, Jeffrey G and D'arcy, John and Lowry, Paul Benjamin and Dinev, Tamara and Willison, Robert",2017,
0000000073,article,data/pdfs/7_3/Francalanci1998.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Aligning IT investments and workforce composition: the impact of diversification in life insurance companies,7,3,"Francalanci, C. and Galal, H.",,
0000000074,article,data/pdfs/21_5/YoungKuoMyers2012.pdf,10.1057/EJIS.2012.10,lfoppiano/grobid:0.8.1,European Journal of Information Systems,To share or not to share: a critical research perspective on knowledge management systems,21,5,"Young, Mei-Lien and Kuo, Feng-Yang and Myers, Michael D",2012,
0000000075,article,data/pdfs/18_4/MangalarajMahapatraNerur2009.pdf,10.1057/EJIS.2009.23,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Acceptance of software process innovations -the case of extreme programming,18,4,"Mangalaraj, George and Mahapatra, Radhakanta and Nerur, Sridhar",2009,
0000000076,article,data/pdfs/12_1/Oorni2003.pdf,10.1057/PALGRAVE.EJIS.3000450,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Consumer search in electronic markets: an experimental analysis of travel services,12,1,"¨o ¨rni, Anssi O and ¨o, Anssi O",,
0000000077,article,data/pdfs/16_6/ChoMathiassen2007.pdf,10.1057/PALGRAVE.EJIS.3000718,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The role of industry infrastructure in telehealth innovations: a multi-level analysis of a telestroke program,16,6,"Cho, Sunyoung and Mathiassen, Lars",,
0000000078,article,data/pdfs/22_5/GrantTan2013.pdf,10.1057/EJIS.2013.21,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Governing IT in inter-organizational relationships: Issues and future research,22,5,"Grant, Gerald and Tan, Felix B",,
0000000079,article,data/pdfs/4_2/Book_review.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,,4,2,,,Book review
0000000080,article,data/pdfs/10_1/OKeefePaul2001.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,EJIS$$163P,10,1,,,
0000000081,article,data/pdfs/9_2/UnknownUNKNOWNc.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,EJIS$$121P,9,2,,,Book review
0000000082,article,data/pdfs/17_4/JohnsonCooperChin2008.pdf,10.1057/EJIS.2008.22,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The effect of flaming on computer-mediated negotiations,17,4,"Johnson, Norman A and Cooper, Randolph B and Chin, Wynne W and Bauer, C. T",2008,
0000000083,article,data/pdfs/27_2/DeLeozPetter2018.pdf,10.1080/0960085X.2018.1445462,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Considering the social impacts of artefacts in information systems design science research,27,2,"De Leoz, Gerard and Petter, Stacie",,
0000000084,article,data/pdfs/17_5/Paul2008a.pdf,10.1057/EJIS.2008.47,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The only duty we owe to history is to rewrite it: reflections on Bob Galliers' article 'A discipline for a stage?',17,5,"Paul, Ray J",,
0000000085,article,data/pdfs/20_4/Basden2011.pdf,10.1057/EJIS.2011.18,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Enabling a Kleinian integration of interpretivist and socio-critical IS research: the contribution of Dooyeweerd's philosophy,20,4,"Basden, Andrew",2011,
0000000086,article,data/pdfs/23_1/RonagelZibuschkaHinzEtAl2014.pdf,10.1057/EJIS.2013.33,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Users' willingness to pay for web identity management systems,23,1,"Roßnagel, Heiko and Zibuschka, Jan and Hinz, Oliver and Muntermann, Jan",2013,
0000000087,article,data/pdfs/18_2/WarkentinWillison2009.pdf,10.1057/EJIS.2009.12,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Behavioral and policy issues in information systems security: the insider threat,18,2,"Warkentin, Merrill and Willison, Robert",,
0000000088,article,data/pdfs/20_2/MacredieMijinyawa2011.pdf,10.1057/EJIS.2010.60,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A theory-grounded framework of Open Source Software adoption in SMEs,20,2,"Macredie, Robert D and Mijinyawa, Kabiru",2011,
0000000089,article,data/pdfs/2_1/Book_review_3.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,,2,1,,,Book review
0000000090,article,data/pdfs/10_4/IraniLove2001.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Information systems evaluation: past, present and future",10,4,"Irani, Z. and Love, Ped",,
0000000091,article,data/pdfs/22_1/MattarelliBertolottiMacri2013.pdf,10.1057/EJIS.2011.34,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The use of ethnography and grounded theory in the development of a management information system,22,1,"Mattarelli, Elisa and Bertolotti, Fabiola and Macrı, Diego Maria",2011,
0000000092,article,data/pdfs/1_2/Baskerville1991.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Risk analysis: an interpretive feasibility tool in justifying information systems security,1,2,"Baskerville, R.",,
0000000093,article,data/pdfs/26_3/AvitalMathiassenSchultze2017.pdf,10.1057/S41303-017-0051-4,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Alternative genres in information systems research,26,3,"Avital, Michel and Mathiassen, Lars and Schultze, Ulrike and Copenhagen",,
0000000094,article,data/pdfs/9_3/Simon2000.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The reorganization of the information systems of the US Naval Construction Forces: an action research project,9,3,"Simon, S. J",,
0000000095,article,data/pdfs/15_1/BeHollocks2006.pdf,10.1057/PALGRAVE.EJIS.3000497,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Implementing Collaboration Technologies in Industry,15,1,"Hollocks, B. W",,Book review
0000000096,article,data/pdfs/19_6/Nandhakumar2010.pdf,10.1057/EJIS.2010.49,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Contrarian information systems studies,19,6,"Nandhakumar, Joe",,
0000000097,article,data/pdfs/3_3/FlynnHepburn1994.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Strategic planning for information systems -a case study of a UK metropolitan council,3,3,"Flynn, D. J and Hepburn, P. A",,
0000000098,article,data/pdfs/13_4/LynchGregor2004.pdf,10.1057/PALGRAVE.EJIS.3000512,lfoppiano/grobid:0.8.1,European Journal of Information Systems,User participation in decision support systems development: influencing system outcomes,13,4,"Lynch, Teresa and Gregor, Shirley",,
0000000099,article,data/pdfs/21_1/PolitesRobertsThatcher2012.pdf,10.1057/EJIS.2011.10,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Conceptualizing models using multidimensional constructs: a review and guidelines for their use,21,1,"Polites, Greta L and Roberts, Nicholas and Thatcher, Jason",2011,
0000000100,article,data/pdfs/18_3/Paul2009.pdf,10.1057/EJIS.2009.21,lfoppiano/grobid:0.8.1,European Journal of Information Systems,What is published in our journals cannot change unless we do,18,3,"Paul, Ray J",,
0000000101,article,data/pdfs/15_1/AgerfalkGoldkuhlFitzgeraldEtAl2006.pdf,10.1057/PALGRAVE.EJIS.3000607,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Reflecting on action in language, organisations and information systems",15,1,"¨r, Pa and ˚gerfalk, J. A and Go, ¨ran and Goldkuhl, Brian and Fitzgerald, Liam and Bannon",,
0000000102,article,data/pdfs/19_1/SeltsikasOKeefe2010.pdf,10.1057/EJIS.2009.51,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Expectations and outcomes in electronic identity management: the role of trust and public value,19,1,"Seltsikas, Philip and O'keefe, Robert M",2010,
0000000103,article,data/pdfs/14_5/Cordella2005.pdf,10.1057/PALGRAVE.EJIS.3000565,lfoppiano/grobid:0.8.1,European Journal of Information Systems,From Italy to East London,14,5,"Cordella, Antonio",,
0000000104,article,data/pdfs/4_4/Currie1996_Outsourcing In The .pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Outsourcing in the private and public sectors: an unpredictable IT strategy,4,4,"Currie, W. L",,
0000000105,article,data/pdfs/12_2/LewisByrd2003.pdf,10.1057/PALGRAVE.EJIS.3000449,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Development of a measure for the information technology infrastructure construct,12,2,"Lewis, Bruce R and Byrd, Terry Anthony and Building, Lowder",,
0000000106,article,data/pdfs/7_3/Smithson1998.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Analysing information systems evaluation: another look at an old problem,7,3,"Smithson, S. and Hirschheim, R.",,
0000000107,article,data/pdfs/27_3/LeclercqVandelannoitteBertin2018.pdf,10.1080/0960085X.2018.1473932,lfoppiano/grobid:0.8.1,European Journal of Information Systems,From sovereign IT governance to liberal IT governmentality? A Foucauldian analogy,27,3,"Leclercq-Vandelannoitte, Aurélie and Emmanuel, Bertin",,
0000000108,article,data/pdfs/1_2/Danchev.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Information technologies in the transition to the market economy: The case of latecomers,1,2,"Danchev, A.",,
