ID,orig_ID,orig_source,number,volume,title,journal,author,grobid-version,doi,file,ENTRYTYPE,year,note
P_0000000025,0000000025,pdf,1,30,Productive and connected while working from home: what client-facing remote workers can learn from telenurses about 'belonging through technology',European Journal of Information Systems,"Hafermalz, Ella and Riemer, Kai and Ågerfalk, Pär and Conboy, Kieran and Myers, Michael",lfoppiano/grobid:0.8.1,10.1080/0960085X.2020.1841572,data/pdfs/30_1/HafermalzRiemer2021.pdf,article,,
P_0000000026,0000000026,pdf,4,16,Changing the challenge: To challenge makes you larger and being challenged makes you small,European Journal of Information Systems,"Paul, Ray J",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000705,data/pdfs/16_4/Paul2007.pdf,article,,
P_0000000027,0000000027,pdf,6,17,User satisfaction with business-to-employee portals: conceptualization and scale development,European Journal of Information Systems,"Tojib, Dewi Rooslani and Sugianto, Ly-Fie and Sendjaya, Sen and Dewi, Rooslani and Tojib",lfoppiano/grobid:0.8.1,10.1057/EJIS.2008.55,data/pdfs/17_6/TojibSugiantoSendjaya2008.pdf,article,,
P_0000000028,0000000028,pdf,1,15,A language-mapping approach to actionoriented development of information systems,European Journal of Information Systems,"Rittgen, Peter",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000597,data/pdfs/15_1/Rittgen2006.pdf,article,,
P_0000000029,0000000029,pdf,3,1,Post-industrial and post-Fordist perspectives on information systems,European Journal of Information Systems,"Jones, M. R",lfoppiano/grobid:0.8.1,,data/pdfs/1_3/Jones1991.pdf,article,,
P_0000000030,0000000030,pdf,6,19,User resistance determinants and the psychological contract in enterprise system implementations,European Journal of Information Systems,"Klaus, Tim and Blanton, J. Ellis",lfoppiano/grobid:0.8.1,10.1057/EJIS.2010.39,data/pdfs/19_6/KlausBlanton2010.pdf,article,2010,
P_0000000031,0000000031,pdf,6,20,Building contextual ambidexterity in a software company to improve firm-level coordination,European Journal of Information Systems,"Napier, Nannette P and Mathiassen, Lars and Robey, Daniel",lfoppiano/grobid:0.8.1,10.1057/EJIS.2011.32,data/pdfs/20_6/NapierMathiassenRobey2011.pdf,article,2011,
P_0000000032,0000000032,pdf,5,18,Meeting the demand for IT workers: a call for research,European Journal of Information Systems,"Riemenschneider, Cynthia K and Armstrong, Deborah J and Moore, Jo Ellen",lfoppiano/grobid:0.8.1,10.1057/EJIS.2009.36,data/pdfs/18_5/RiemenschneiderArmstrongMoore2009.pdf,article,,
P_0000000033,0000000033,pdf,1,21,Quantitative approaches to content analysis: identifying conceptual drift across publication outlets,European Journal of Information Systems,"Indulska, Marta and Hovorka, Dirk S and Recker, Jan",lfoppiano/grobid:0.8.1,10.1057/EJIS.2011.37,data/pdfs/21_1/IndulskaHovorkaRecker2012.pdf,article,2011,
P_0000000034,0000000034,pdf,5,30,From semantics to pragmatics: where IS can lead in Natural Language Processing (NLP) research,European Journal of Information Systems,"Li, Yan and Liu, Dapeng and Ågerfalk, Pär and Helms, Remko",lfoppiano/grobid:0.8.1,10.1080/0960085X.2020.1816145,data/pdfs/30_5/LiThomasLiu2021.pdf,article,,
P_0000000035,0000000035,pdf,1,14,From technical to socio-technical change: tackling the human and organizational aspects of systems development projects,European Journal of Information Systems,"Doherty, Neil F and King, Malcolm",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000517,data/pdfs/14_1/DohertyKing2005.pdf,article,,
P_0000000036,0000000036,pdf,4,14,Factors and measures of business process modelling: model building through a multiple case study,European Journal of Information Systems,"Bandara, Wasana and Gable, Guy G and Rosemann, Michael",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000546,data/pdfs/14_4/BandaraGableRosemann2005.pdf,article,,
P_0000000037,0000000037,pdf,4,12,Assessing the benefits from e-business transformation through effective enterprise management,European Journal of Information Systems,"Ash, Colin G and Burn, Janice M",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000476,data/pdfs/12_4/AshBurn2003.pdf,article,,
P_0000000038,0000000038,pdf,1,19,Third-degree conflicts: information warfare,European Journal of Information Systems,"Baskerville, Richard",lfoppiano/grobid:0.8.1,10.1057/EJIS.2010.2,data/pdfs/19_1/Baskerville2010.pdf,article,,
P_0000000039,0000000039,pdf,3,12,Information Systems: an Introduction to Informatics in Organisations,European Journal of Information Systems,"Beynon-Davies, P.",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE,data/pdfs/12_3/Brooks2003.pdf,article,,Book review
P_0000000040,0000000040,pdf,2,12,Visualizing Argumentation: Software Tools for Collaborative and Educational Sense-making,European Journal of Information Systems,"Alexander, Ian",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000457,data/pdfs/12_2/Alexander2003a.pdf,article,,Book review
P_0000000041,0000000041,pdf,5,21,Information systems as a discipline in the making: comparing EJIS and MISQ between 1995 and 2008,European Journal of Information Systems,"Co ´rdoba, Jose ´-Rodrigo and Pilkington, Alan and Bernroider, Edward W N and Co, Jose ´-Rodrigo",lfoppiano/grobid:0.8.1,10.1057/EJIS.2011.58,data/pdfs/21_5/CordobaPilkingtonBernroider2012.pdf,article,2012,
P_0000000042,0000000042,pdf,5,29,"Orchestrating automation and sharing in DevOps teams: a revelatory case of job satisfaction factors, risk and work conditions",European Journal of Information Systems,"Hemon-Hildgen, Aymeric and Rowe, Frantz and Monnier-Senicourt, Laetitia and Maruping, Likoebe and Matook, Sabine",lfoppiano/grobid:0.8.1,10.1080/0960085X.2020.1782276,data/pdfs/29_5/HemonRoweMonnierSenicourt2020.pdf,article,,
P_0000000043,0000000043,pdf,3,24,"Toward a theory of perceived benefits, affective commitment, and continuance intention in social virtual worlds: cultural values (indulgence and individualism) matter",European Journal of Information Systems,"Zhou, Zhongyun and Jin, Xiao-Ling and Fang, Yulin and Vogel, Doug",lfoppiano/grobid:0.8.1,10.1057/EJIS.2014.27,data/pdfs/24_3/ZhouJinFangEtAl2015.pdf,article,2014,
P_0000000044,0000000044,pdf,4,17,The moderating role of customer-technology contact on attitude towards technology-based services,European Journal of Information Systems,"Theotokis, Aristeidis and Vlachos, Pavlos A and Pramatari, Katerina",lfoppiano/grobid:0.8.1,10.1057/EJIS.2008.32,data/pdfs/17_4/TheotokisVlachosPramatari2008.pdf,article,,
P_0000000045,0000000045,pdf,1,6,System dynamics in software project management: towards the development of a formal integrated framework,European Journal of Information Systems,"Rodrigues, A. G and Williams, T. M",lfoppiano/grobid:0.8.1,,data/pdfs/6_1/3000256a.pdf,article,,
P_0000000046,0000000046,pdf,2,7,Effects of organizational culture on a large scale IT introduction effort: a case study of the Norwegian army's EDBLF project,European Journal of Information Systems,"Tolsby, J.",lfoppiano/grobid:0.8.1,,data/pdfs/7_2/Tolsby1998.pdf,article,,
P_0000000047,0000000047,pdf,3,21,A case study of the legitimation process undertaken to gain support for an information system in a Chinese university,European Journal of Information Systems,"Flynn, Donal and Du, Yongqin",lfoppiano/grobid:0.8.1,10.1057/EJIS.2011.27,data/pdfs/21_3/FlynnDu2012.pdf,article,2011,
P_0000000048,0000000048,pdf,3,18,Understanding web site redesigns in small-and medium-sized enterprises (SMEs): a U.K.-based study on the applicability of e-commerce Stage Models,European Journal of Information Systems,"Alonso-Mendo, Fernando and Fitzgerald, Guy and Frias-Martinez, Enrique and Al",lfoppiano/grobid:0.8.1,10.1057/EJIS.2009.14,data/pdfs/18_3/MendoFitzgeraldFriasMartinez2009.pdf,article,2009,
P_0000000049,0000000049,pdf,6,17,"Software architectures: Blueprint, Literature, Language or Decision?",European Journal of Information Systems,"Smolander, Kari and Rossi, Matti and Purao, Sandeep",lfoppiano/grobid:0.8.1,10.1057/EJIS.2008.48,data/pdfs/17_6/SmolanderRossiPurao2008.pdf,article,,
P_0000000050,0000000050,pdf,6,20,A review and analysis of deterrence theory in the IS security literature: making sense of the disparate findings,European Journal of Information Systems,"D'arcy, John and Herath, Tejaswini and Arcy, John D '",lfoppiano/grobid:0.8.1,10.1057/EJIS.2011.23,data/pdfs/20_6/DArcyHerath2011.pdf,article,2011,
P_0000000051,0000000051,pdf,3,2,,European Journal of Information Systems,,lfoppiano/grobid:0.8.1,,data/pdfs/2_3/UnknownUNKNOWN.pdf,article,,Erratum
P_0000000052,0000000052,pdf,6,16,An exploratory study of radio frequency identification (RFID) adoption in the healthcare industry,European Journal of Information Systems,"Lee, Cheon-Pyo and Shim, Jung P",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000716,data/pdfs/16_6/LeeShim2007.pdf,article,,
P_0000000053,0000000053,pdf,3,15,Enacting new temporal boundaries: the role of mobile phones,European Journal of Information Systems,"Prasopoulou, Elpida and Pouloudi, Athanasia and Panteli, Niki",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000617,data/pdfs/15_3/PrasopoulouPouloudiPanteli2006.pdf,article,,
P_0000000054,0000000054,pdf,2,30,Designing for the future in the age of pandemics: a future-ready design research (FRDR) process,European Journal of Information Systems,"Pee, L. G and Pan, Shan L and Wang, Jingyuan and Wu, Junjie and Ågerfalk, Pär and Conboy, Kieran and Myers, Michael",lfoppiano/grobid:0.8.1,10.1080/0960085X.2020.1863751,data/pdfs/30_2/PeePanWangEtAl2021.pdf,article,,
P_0000000055,0000000055,pdf,5,20,"Is traditional, open-source, or on-demand first choice? Developing an AHP-based framework for the comparison of different software models in office suites selection",European Journal of Information Systems,"Benlian, Alexander",lfoppiano/grobid:0.8.1,10.1057/EJIS.2011.14,data/pdfs/20_5/Benlian2011.pdf,article,2011,
P_0000000056,0000000056,pdf,3,18,The impacts of competence-trust and openness-trust on interorganizational systems,European Journal of Information Systems,"Ibrahim, Mohammed and Ribbers, Pieter M",lfoppiano/grobid:0.8.1,10.1057/EJIS.2009.17,data/pdfs/18_3/IbrahimRibbers2009.pdf,article,2009,
P_0000000057,0000000057,pdf,3,11,The development of two tools for measuring the easiness and usefulness of transactional Web sites,European Journal of Information Systems,"Aladwani, A. M",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000432,data/pdfs/11_3/Aladwani2002a.pdf,article,,
P_0000000058,0000000058,pdf,4,21,What's communication got to do with IT?,European Journal of Information Systems,"Te'eni, Dov",lfoppiano/grobid:0.8.1,10.1057/EJIS.2012.34,data/pdfs/21_4/Teeni2012.pdf,article,,
P_0000000059,0000000059,pdf,2,3,Communications architecture: towards a more robust understanding of information flows and emergent patterns of communication in organizations,European Journal of Information Systems,"Segars, A. H and Grover, V.",lfoppiano/grobid:0.8.1,,data/pdfs/3_2/Segars_Communications Architec.pdf,article,,
P_0000000060,0000000060,pdf,4,3,Comparing the motivations of Spanish and Finnish computer personnel with those of the United States,European Journal of Information Systems,"Couger, J. D and O'callaghan, R.",lfoppiano/grobid:0.8.1,,data/pdfs/3_4/Couger_Comparing The Motivatio.pdf,article,,
P_0000000061,0000000061,pdf,1,2,,European Journal of Information Systems,,lfoppiano/grobid:0.8.1,,data/pdfs/2_1/Book_review_6.pdf,article,,Book review
P_0000000062,0000000062,pdf,5,14,From Milan to Mann Gulch: reflections on the intellectual contributions of Professor Claudio Ciborra,European Journal of Information Systems,"Lawrence, Cameron",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000567,data/pdfs/14_5/Lawrence2005.pdf,article,,
P_0000000063,0000000063,pdf,5,14,ItAIS (the Italian chapter of AIS) remembers Claudio,European Journal of Information Systems,"D'atri, Alessandro and Atri, Alessandro D ' and Ricerca, Centro and Informativi, Sistemi and Luiss, Guido and Carli",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000578,data/pdfs/14_5/DAtri2005a.pdf,article,,
P_0000000064,0000000064,pdf,2,18,Frame misalignment: interpreting the implementation of information systems security certification in an organization,European Journal of Information Systems,"Hsu, Carol W",lfoppiano/grobid:0.8.1,10.1057/EJIS.2009.7,data/pdfs/18_2/Hsu2009.pdf,article,2009,
P_0000000065,0000000065,pdf,6,29,,European Journal of Information Systems,"Amo, Laura and Liao, Ruochen and Kishore, Rajiv and Rao, Hejamadi R",lfoppiano/grobid:0.8.1,10.1080/0960085X.2020.1808540,data/pdfs/29_6/AmoLiaoKishoreEtAl2020.pdf,article,,
P_0000000066,0000000066,pdf,1,25,Transforming healthcare: policy discourses of IT and patient-centred care,European Journal of Information Systems,"Klecun, Ela",lfoppiano/grobid:0.8.1,10.1057/EJIS.2014.40,data/pdfs/25_1/Klecun2016.pdf,article,2015,
P_0000000067,0000000067,pdf,5,14,A grand master and an exceptional mind,European Journal of Information Systems,"Cavallari, Maurizio",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000585,data/pdfs/14_5/Cavallari2005.pdf,article,,
P_0000000068,0000000068,pdf,1,12,Theory with everything?,European Journal of Information Systems,"O'keefe, Bob",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000451,data/pdfs/12_1/OKeefe2003.pdf,article,,
P_0000000069,0000000069,pdf,1,23,Interpretive accounts and fairy tales: a critical polemic against the empiricist bias in interpretive IS research,European Journal of Information Systems,"Stahl, Bernd Carsten",lfoppiano/grobid:0.8.1,10.1057/EJIS.2012.58,data/pdfs/23_1/Stahl2014.pdf,article,2013,
P_0000000070,0000000070,pdf,1,5,A contingency framework for the investigation of information systems failure,European Journal of Information Systems,"Poulymenakou, A. and Holmes, A.",lfoppiano/grobid:0.8.1,,data/pdfs/5_1/Poulymenakou1996_A Contingency.pdf,article,,
P_0000000071,0000000071,pdf,2,7,Integration of requirements determination and business process re-engineering: a case study of an Ambulatory Care and Diagnostic (ACAD) centre,European Journal of Information Systems,"Sillince, Jaa and Harindranath, G.",lfoppiano/grobid:0.8.1,,data/pdfs/7_2/SillinceHarindranath1998.pdf,article,,
P_0000000072,0000000072,pdf,6,26,Organizational information security policies: a review and research framework,European Journal of Information Systems,"Cram, W. Alec and Proudfoot, Jeffrey G and D'arcy, John and Lowry, Paul Benjamin and Dinev, Tamara and Willison, Robert",lfoppiano/grobid:0.8.1,10.1057/S41303-017-0059-9,data/pdfs/26_6/CramProudfootDArcy2017.pdf,article,2017,
P_0000000073,0000000073,pdf,3,7,Aligning IT investments and workforce composition: the impact of diversification in life insurance companies,European Journal of Information Systems,"Francalanci, C. and Galal, H.",lfoppiano/grobid:0.8.1,,data/pdfs/7_3/Francalanci1998.pdf,article,,
P_0000000074,0000000074,pdf,5,21,To share or not to share: a critical research perspective on knowledge management systems,European Journal of Information Systems,"Young, Mei-Lien and Kuo, Feng-Yang and Myers, Michael D",lfoppiano/grobid:0.8.1,10.1057/EJIS.2012.10,data/pdfs/21_5/YoungKuoMyers2012.pdf,article,2012,
P_0000000075,0000000075,pdf,4,18,Acceptance of software process innovations -the case of extreme programming,European Journal of Information Systems,"Mangalaraj, George and Mahapatra, Radhakanta and Nerur, Sridhar",lfoppiano/grobid:0.8.1,10.1057/EJIS.2009.23,data/pdfs/18_4/MangalarajMahapatraNerur2009.pdf,article,2009,
P_0000000076,0000000076,pdf,1,12,Consumer search in electronic markets: an experimental analysis of travel services,European Journal of Information Systems,"¨o ¨rni, Anssi O and ¨o, Anssi O",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000450,data/pdfs/12_1/Oorni2003.pdf,article,,
P_0000000077,0000000077,pdf,6,16,The role of industry infrastructure in telehealth innovations: a multi-level analysis of a telestroke program,European Journal of Information Systems,"Cho, Sunyoung and Mathiassen, Lars",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000718,data/pdfs/16_6/ChoMathiassen2007.pdf,article,,
P_0000000078,0000000078,pdf,5,22,Governing IT in inter-organizational relationships: Issues and future research,European Journal of Information Systems,"Grant, Gerald and Tan, Felix B",lfoppiano/grobid:0.8.1,10.1057/EJIS.2013.21,data/pdfs/22_5/GrantTan2013.pdf,article,,
P_0000000079,0000000079,pdf,2,4,,European Journal of Information Systems,,lfoppiano/grobid:0.8.1,,data/pdfs/4_2/Book_review.pdf,article,,Book review
P_0000000080,0000000080,pdf,1,10,EJIS$$163P,European Journal of Information Systems,,lfoppiano/grobid:0.8.1,,data/pdfs/10_1/OKeefePaul2001.pdf,article,,
P_0000000081,0000000081,pdf,2,9,EJIS$$121P,European Journal of Information Systems,,lfoppiano/grobid:0.8.1,,data/pdfs/9_2/UnknownUNKNOWNc.pdf,article,,Book review
P_0000000082,0000000082,pdf,4,17,The effect of flaming on computer-mediated negotiations,European Journal of Information Systems,"Johnson, Norman A and Cooper, Randolph B and Chin, Wynne W and Bauer, C. T",lfoppiano/grobid:0.8.1,10.1057/EJIS.2008.22,data/pdfs/17_4/JohnsonCooperChin2008.pdf,article,2008,
P_0000000083,0000000083,pdf,2,27,Considering the social impacts of artefacts in information systems design science research,European Journal of Information Systems,"De Leoz, Gerard and Petter, Stacie",lfoppiano/grobid:0.8.1,10.1080/0960085X.2018.1445462,data/pdfs/27_2/DeLeozPetter2018.pdf,article,,
P_0000000084,0000000084,pdf,5,17,The only duty we owe to history is to rewrite it: reflections on Bob Galliers' article 'A discipline for a stage?',European Journal of Information Systems,"Paul, Ray J",lfoppiano/grobid:0.8.1,10.1057/EJIS.2008.47,data/pdfs/17_5/Paul2008a.pdf,article,,
P_0000000085,0000000085,pdf,4,20,Enabling a Kleinian integration of interpretivist and socio-critical IS research: the contribution of Dooyeweerd's philosophy,European Journal of Information Systems,"Basden, Andrew",lfoppiano/grobid:0.8.1,10.1057/EJIS.2011.18,data/pdfs/20_4/Basden2011.pdf,article,2011,
P_0000000086,0000000086,pdf,1,23,Users' willingness to pay for web identity management systems,European Journal of Information Systems,"Roßnagel, Heiko and Zibuschka, Jan and Hinz, Oliver and Muntermann, Jan",lfoppiano/grobid:0.8.1,10.1057/EJIS.2013.33,data/pdfs/23_1/RonagelZibuschkaHinzEtAl2014.pdf,article,2013,
P_0000000087,0000000087,pdf,2,18,Behavioral and policy issues in information systems security: the insider threat,European Journal of Information Systems,"Warkentin, Merrill and Willison, Robert",lfoppiano/grobid:0.8.1,10.1057/EJIS.2009.12,data/pdfs/18_2/WarkentinWillison2009.pdf,article,,
P_0000000088,0000000088,pdf,2,20,A theory-grounded framework of Open Source Software adoption in SMEs,European Journal of Information Systems,"Macredie, Robert D and Mijinyawa, Kabiru",lfoppiano/grobid:0.8.1,10.1057/EJIS.2010.60,data/pdfs/20_2/MacredieMijinyawa2011.pdf,article,2011,
P_0000000089,0000000089,pdf,1,2,,European Journal of Information Systems,,lfoppiano/grobid:0.8.1,,data/pdfs/2_1/Book_review_3.pdf,article,,Book review
P_0000000090,0000000090,pdf,4,10,"Information systems evaluation: past, present and future",European Journal of Information Systems,"Irani, Z. and Love, Ped",lfoppiano/grobid:0.8.1,,data/pdfs/10_4/IraniLove2001.pdf,article,,
P_0000000091,0000000091,pdf,1,22,The use of ethnography and grounded theory in the development of a management information system,European Journal of Information Systems,"Mattarelli, Elisa and Bertolotti, Fabiola and Macrı, Diego Maria",lfoppiano/grobid:0.8.1,10.1057/EJIS.2011.34,data/pdfs/22_1/MattarelliBertolottiMacri2013.pdf,article,2011,
P_0000000092,0000000092,pdf,2,1,Risk analysis: an interpretive feasibility tool in justifying information systems security,European Journal of Information Systems,"Baskerville, R.",lfoppiano/grobid:0.8.1,,data/pdfs/1_2/Baskerville1991.pdf,article,,
P_0000000093,0000000093,pdf,3,26,Alternative genres in information systems research,European Journal of Information Systems,"Avital, Michel and Mathiassen, Lars and Schultze, Ulrike and Copenhagen",lfoppiano/grobid:0.8.1,10.1057/S41303-017-0051-4,data/pdfs/26_3/AvitalMathiassenSchultze2017.pdf,article,,
P_0000000094,0000000094,pdf,3,9,The reorganization of the information systems of the US Naval Construction Forces: an action research project,European Journal of Information Systems,"Simon, S. J",lfoppiano/grobid:0.8.1,,data/pdfs/9_3/Simon2000.pdf,article,,
P_0000000095,0000000095,pdf,1,15,Implementing Collaboration Technologies in Industry,European Journal of Information Systems,"Hollocks, B. W",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000497,data/pdfs/15_1/BeHollocks2006.pdf,article,,Book review
P_0000000096,0000000096,pdf,6,19,Contrarian information systems studies,European Journal of Information Systems,"Nandhakumar, Joe",lfoppiano/grobid:0.8.1,10.1057/EJIS.2010.49,data/pdfs/19_6/Nandhakumar2010.pdf,article,,
P_0000000097,0000000097,pdf,3,3,Strategic planning for information systems -a case study of a UK metropolitan council,European Journal of Information Systems,"Flynn, D. J and Hepburn, P. A",lfoppiano/grobid:0.8.1,,data/pdfs/3_3/FlynnHepburn1994.pdf,article,,
P_0000000098,0000000098,pdf,4,13,User participation in decision support systems development: influencing system outcomes,European Journal of Information Systems,"Lynch, Teresa and Gregor, Shirley",lfoppiano/grobid:0.8.1,10.1057/PALGRAVE.EJIS.3000512,data/pdfs/13_4/LynchGregor2004.pdf,article,,
P_0000000099,0000000099,pdf,1,21,Conceptualizing models using multidimensional constructs: a review and guidelines for their use,European Journal of Information Systems,"Polites, Greta L and Roberts, Nicholas and Thatcher, Jason",lfoppiano/grobid:0.8.1,10.1057/EJIS.2011.10,data/pdfs/21_1/PolitesRobertsThatcher2012.pdf,article,2011,
