ID,ENTRYTYPE,doi,author,journal,title,year,volume,number,pages,url,abstract,language,dblp_key
000011,article,10.17705/1JAIS.00165,"Mähring, Magnus and Keil, Mark and Mathiassen, Lars and Pries-Heje, Jan",Journal of the Association for Information Systems,Making IT Project De-Escalation Happen: An Exploration into Key Roles,2008,9,8,462--496,https://aisel.aisnet.org/jais/vol9/iss8/19,,,
000012,article,10.17705/1JAIS.00104,"Weber, Ron",Journal of the Association for Information Systems,Reach and Grasp in the Debate over the IS Core: An Empty Hand?,2006,7,10,703--713,https://aisel.aisnet.org/jais/vol7/iss10/28,,,
000013,article,10.17705/1JAIS.00289,"Soper, Daniel and Demirkan, Haluk and Goul, Michael and Louis, Robert",Journal of the Association for Information Systems,An Empirical Examination of the Impact of ICT Investments on Future Levels of Institutionalized Democracy and Foreign Direct Investment in Emerging Societies,2012,13,3,116--149,https://aisel.aisnet.org/jais/vol13/iss3/3,,,
000014,article,10.17705/1JAIS.00437,"John, Blooma and Chua, Alton and Goh, Dion and Wickramasinghe, Nilmini",Journal of the Association for Information Systems,Graph-based Cluster Analysis to Identify Similar Questions: A Design Science Approach,2016,17,9,590--613,https://aisel.aisnet.org/jais/vol17/iss9/2,,,
000015,article,10.17705/1JAIS.00457,"Hariharan, Anuja and Adam, Marc and Dorner, Verena and Lux, Ewa and Mueller, Marius and Pfeiffer, Jella and Weinhardt, Christof",Journal of the Association for Information Systems,Brownie: A Platform for Conducting NeuroIS Experiments,2017,18,4,264--296,https://aisel.aisnet.org/jais/vol18/iss4/3,,,
000016,article,10.17705/1JAIS.00348,"Goh, Jenson and Pan, Shan and Zuo, Meiyun",Journal of the Association for Information Systems,Developing the Agile IS Development Practices in Large-Scale IT Projects: The Trust-Mediated Organizational Controls and IT Project Team Capabilities Perspectives,2013,14,12,722--756,https://aisel.aisnet.org/jais/vol14/iss12/1,,,
000017,article,10.17705/1JAIS.00171,"Robey, Daniel and Im, Ghiyoung and Wareham, Jonathan",Journal of the Association for Information Systems,Theoretical Foundations of Empirical Research on Interorganizational Systems: Assessing Past Contributions and Guiding Future Directions,2008,9,9,497--518,https://aisel.aisnet.org/jais/vol9/iss9/4,,,
000018,article,10.17705/1JAIS.00511,"Tams, Stefan and Thatcher, Jason B. and Grover, Varun",Journal of the Association for Information Systems,"Concentration, Competence, Confidence, and Capture: An Experimental Study of Age, Interruption-based Technostress, and Task Performance",2018,19,,857--908,https://aisel.aisnet.org/jais/vol19/iss9/2,,,
000019,article,10.17705/1JAIS.00112,"Marakas, George and Johnson, Richard and Clay, Paul",Journal of the Association for Information Systems,"The Evolving Nature of the Computer Self-Efficacy Construct: An Empirical Investigation of Measurement Construction, Validity, Reliability and Stability Over Time.",2007,8,1,16--46,https://aisel.aisnet.org/jais/vol8/iss1/2,,,
000020,article,10.17705/JAIS1.00485,"Dadgar, Majid and Joshi, K.D.",Journal of the Association for Information Systems,The Role of Information and Communication Technology in Self-Management of Chronic Diseases: An Empirical Investigation through Value Sensitive Design,2018,19,2,86--112,https://aisel.aisnet.org/jais/vol19/iss2/2,,,
000021,article,10.17705/1JAIS.00329,"King, John",Journal of the Association for Information Systems,Balance of Trade in the Marketplace of Ideas,2013,14,4,192--197,https://aisel.aisnet.org/jais/vol14/iss4/3,,,
000022,article,10.17705/1JAIS.00110,"Al-Natour, Sameh and Benbasat, Izak and Cenfetelli, Ronald",Journal of the Association for Information Systems,The Role of Design Characteristics in Shaping Perceptions of Similarity: The Case of Online Shopping Assistants,2006,7,12,821--861,https://aisel.aisnet.org/jais/vol7/iss12/34,,,
000023,article,10.17705/1JAIS.00372,"Montealegre, Ramiro and Hovorka, Drik and Germonprez, Matt",Journal of the Association for Information Systems,A Coevolutionary View of Information Services Development: Lessons from the U.S. National Oceanic and Atmospheric Administration,2014,15,9,577--613,https://aisel.aisnet.org/jais/vol15/iss9/2,,,
000024,article,10.17705/1JAIS.00564,"Ho, Shuk Ying and Choi, Ka Wai (Stanley) and Yang, Fan (Finn)",Journal of the Association for Information Systems,Harnessing Aspect-Based Sentiment Analysis: How Are Tweets Associated with Forecast Accuracy?,2019,,,1174--1209,https://aisel.aisnet.org/jais/vol20/iss8/2,,,
000025,article,10.17705/1JAIS.00047,"Ives, Blake and Parks, Michael and Porra, Jaana and Silva, Leiser",Journal of the Association for Information Systems,Phylogeny and Power in the IS Domain: A Response to Benbasat and Zmud's Call for Returning to the IT Artifact,2004,5,3,108--124,https://aisel.aisnet.org/jais/vol5/iss3/4,,,
000026,article,10.17705/1JAIS.00106,"Dean, Douglas and Hender, Jillian and Rodgers, Thomas and Santanen, Eric",Journal of the Association for Information Systems,"Identifying Quality, Novel, and Creative Ideas: Constructs and Scales for Idea Evaluation",2006,7,10,646--699,https://aisel.aisnet.org/jais/vol7/iss10/30,,,
000027,article,10.17705/1JAIS.00503,"Siponen, Mikko and Tsohou, Aggeliki",Journal of the Association for Information Systems,Demystifying the Influential IS Legends of Positivism,2018,,,600--617,https://aisel.aisnet.org/jais/vol19/iss7/5,,,
000028,article,10.17705/1JAIS.00640,"Van Osch, Wietske and Leidner, Dorothy and Beath, Cynthia",Journal of the Association for Information Systems,Does a Societal Lockdown Treat Gender the Same? Submission and Reviewing Patterns at JAIS During Spring 2020,2020,21,,1370--1378,https://aisel.aisnet.org/jais/vol21/iss6/11,,,
000029,article,10.17705/1JAIS.00209,"Schwarz, Andrew and Jayatilaka, Bandula and Hirschheim, Rudy and Goles, Tim",Journal of the Association for Information Systems,A Conjoint Approach to Understanding IT Application Services Outsourcing,2009,10,10,748--781,https://aisel.aisnet.org/jais/vol10/iss10/1,,,
000030,article,10.17705/1JAIS.00614,"Luo, Peng and Ngai, Eric and Tian, Xin",Journal of the Association for Information Systems,Exploring the Dynamic Influence of Visit Behavior on Online Store Sales Performance: An Empirical Investigation,2020,21,3,607--636,https://aisel.aisnet.org/jais/vol21/iss3/6,,,
000031,article,10.17705/1JAIS.00053,"Sherif, Karma and Menon, Nirup",Journal of the Association for Information Systems,Managing Technology and Administration Innovations: Four Case Studies on Software Reuse,2004,5,7,247--281,https://aisel.aisnet.org/jais/vol5/iss7/10,,,
000032,article,10.17705/1JAIS.00139,"Porra, Jaana and Hirschheim, Rudy",Journal of the Association for Information Systems,A Lifetime of Theory and Action on the Ethical Use of Computers: A Dialogue with Enid Mumford,2007,8,9,467--478,https://aisel.aisnet.org/jais/vol8/iss9/29,,,
000033,article,10.17705/1JAIS.00573,"Pethig, Florian and Kroenung, Julia",Journal of the Association for Information Systems,Specialized Information Systems for the DigitallyDisadvantaged,2019,,,1412--1446,https://aisel.aisnet.org/jais/vol20/iss10/5,,,
000034,article,10.17705/1JAIS.00196,"Hepsø, Vidar and Monteiro, Eric and Rolland, Knut",Journal of the Association for Information Systems,Ecologies of e-Infrastructures,2009,10,5,430--446,https://aisel.aisnet.org/jais/vol10/iss5/2,,,
000035,article,10.17705/1JAIS.00634,"Jin, Yong and Ding, Chao and Duan, Yang and Cheng, Hsing Kenneth",Journal of the Association for Information Systems,Click to Success? The Temporal Effects of Facebook Likes on Crowdfunding,2020,21,5,1191--1213,https://aisel.aisnet.org/jais/vol21/iss5/6,,,
000036,article,10.17705/1JAIS.00536,"Li, Jin and Guo, Zhiling and Tso, Geoffrey",Journal of the Association for Information Systems,An Economic Analysis of Consumer Learning on Entertainment Shopping Websites,2019,,,285--316,https://aisel.aisnet.org/jais/vol20/iss4/6,,,
000037,article,10.17705/1JAIS.00606,"Mandrella, Markus and Trang, Simon and Kolbe, Lutz M.",Journal of the Association for Information Systems,"""Synthesizing and Integrating Research on IT-Based Value Cocreation: A Meta-Analysis """,2020,,,388--427,https://aisel.aisnet.org/jais/vol21/iss2/4,,,
000038,article,10.17705/1JAIS.00331,"Grover, Varun",Journal of the Association for Information Systems,Muddling Along to Moving Beyond in IS Research: Getting from Good to Great,2013,14,5,274--282,https://aisel.aisnet.org/jais/vol14/iss5/1,,,
000039,article,10.17705/1JAIS.00101,"Li, Yuan and Kettinger, William",Journal of the Association for Information Systems,An Evolutionary Information-Processing Theory of Knowledge Creation,2006,7,9,593--617,https://aisel.aisnet.org/jais/vol7/iss9/25,,,
000040,article,10.17705/1JAIS.00149,"Watts, Stephanie and Zhang, Wei",Journal of the Association for Information Systems,Capitalizing on Content: Information Adoption in Two Online communities,2008,9,2,73--94,https://aisel.aisnet.org/jais/vol9/iss2/3,,,
000041,article,10.17705/1JAIS.00398,"Alter, Steven",Journal of the Association for Information Systems,Work System Theory as a Platform: Response to a Research Perspective Article by Niederman and March,2015,16,6,485--514,https://aisel.aisnet.org/jais/vol16/iss6/1,,,
000042,article,10.17705/1JAIS.00502,"Hassan, Nik Rushdi and Mingers, John",Journal of the Association for Information Systems,Reinterpreting the Kuhnian Paradigm in Information Systems,2018,,,568--599,https://aisel.aisnet.org/jais/vol19/iss7/6,,,
000043,article,10.17705/1JAIS.00138,"Stahl, Bernd",Journal of the Association for Information Systems,"ETHICS, Morality and Critique: An Essay on Enid Mumford¡¯s Socio-Technical Approach",2007,8,9,479--490,https://aisel.aisnet.org/jais/vol8/iss9/28,,,
000044,article,10.17705/1JAIS.00356,"Sanner, Terje and Manda, Tiwonge and Nielsen, Petter",Journal of the Association for Information Systems,Grafting: Balancing Control and Cultivation in Information Infrastructure Innovation,2014,15,4,220--243,https://aisel.aisnet.org/jais/vol15/iss4/1,,,
000045,article,10.17705/1JAIS.00341,"Avgerou, Chrisanthi",Journal of the Association for Information Systems,Social Mechanisms for Causal Explanation in Social Theory Based IS Research,2013,14,8,399--419,https://aisel.aisnet.org/jais/vol14/iss8/3,,,
000046,article,10.17705/1JAIS.00639,"Lukyanenko, Roman and Parsons, Jeffrey",Journal of the Association for Information Systems,"Research Perspectives: Design Theory Indeterminacy: What Is it, How Can it Be Reduced, and Why Did the Polar Bear Drown?",2020,21,5,1343--1369,https://aisel.aisnet.org/jais/vol21/iss5/1,,,
000047,article,10.17705/1JAIS.00102,"Mason, Richard",Journal of the Association for Information Systems,Comments on the Weber commentary and Lyytinen/King response,2006,7,10,722--724,https://aisel.aisnet.org/jais/vol7/iss10/26,,,
000048,article,10.17705/1JAIS.00381,,Journal of the Association for Information Systems,Editorial: The Role of Information Systems in Enabling Open Innovation,2014,15,11,XX--XXX,https://aisel.aisnet.org/jais/vol15/iss11/4,,,
000049,article,10.17705/1JAIS.00080,"Clarke, Roger",Journal of the Association for Information Systems,Plagiarism by Academics: More Complex Than It Seems,2006,7,1,91--121,https://aisel.aisnet.org/jais/vol7/iss1/5,,,
000050,article,10.17705/1JAIS.00121,"Silva, Leiser",Journal of the Association for Information Systems,Post-positivist Review of Technology Acceptance Model.,2007,8,4,255--266,https://aisel.aisnet.org/jais/vol8/iss4/11,,,
000051,article,10.17705/1JAIS.00434,"Fridgen, Gilbert and Häfner, Lukas and König, Christian and Sachs, Thomas",Journal of the Association for Information Systems,Providing Utility to Utilities: The Value of Information Systems Enabled Flexibility in Electricity Consumption,2016,17,8,537--563,https://aisel.aisnet.org/jais/vol17/iss8/1,,,
000052,article,10.17705/1JAIS.00617,"Avdiji, Hazbi and Elikan, Dina and Missonier, Stephanie and Pigneur, Yves",Journal of the Association for Information Systems,A Design Theory for Visual Inquiry Tools,2020,21,3,695--734,https://aisel.aisnet.org/jais/vol21/iss3/3,,,
000053,article,10.17705/1JAIS.00249,"Chua, Cecil and Yeow, Adrian",Journal of the Association for Information Systems,"Artifacts, Actors, and Interactions in the Cross-Project Coordination Practices of Open-Source Communities",2010,11,12,838--867,https://aisel.aisnet.org/jais/vol11/iss12/3,,,
000054,article,10.17705/1JAIS.00544,"Miah, Shah Jahan and Gammack, John G. and McKay, Judy",Journal of the Association for Information Systems,A Metadesign Theory for Tailorable Decision Support,2019,,,570--603,https://aisel.aisnet.org/jais/vol20/iss5/4,,,
000055,article,10.17705/1JAIS.00593,"Lindberg, Aron",Journal of the Association for Information Systems,Developing Theory Through Integrating Human and Machine Pattern Recognition,2020,,,90--116,https://aisel.aisnet.org/jais/vol21/iss1/7,,,
000056,article,10.17705/1JAIS.00419,"Cuellar, Michael and Takeda, Hirotoshi and Vidgen, Richard and Truex, Duane",Journal of the Association for Information Systems,"Ideational Influence, Connectedness, and Venue Representation: Making an Assessment of Scholarly Capital",2016,17,1,1--28,https://aisel.aisnet.org/jais/vol17/iss1/3,,,
000057,article,10.17705/1JAIS.00009,"Bryson, Noel",Journal of the Association for Information Systems,Structuring IS Outsourcing Contracts for Mutual Gain: An Approach to Analyzing Performance Incentive Schemes,2000,1,1,1--43,https://aisel.aisnet.org/jais/vol1/iss1/9,,,
000058,article,10.17705/1JAIS.00212,"Davison, Robert and Martinsons, Maris and Ou, Carol and Murata, Kiyoshi and Drummond, Damon and Li, Yuan and Lo, Henry",Journal of the Association for Information Systems,The Ethics of IT Professionals in Japan and China,2009,10,11,834--859,https://aisel.aisnet.org/jais/vol10/iss11/1,,,
000059,article,10.17705/1JAIS.00170,"Hardin, Andrew and Chang, Jerry and Fuller, Mark",Journal of the Association for Information Systems,"Formative vs. Reflective Measurement: Comment on Marakas, Johnson, and Clay (2007)",2008,9,9,519--534,https://aisel.aisnet.org/jais/vol9/iss9/3,,,
000060,article,10.17705/1JAIS.00416,"Gallivan, Michael and Ahuja, Manju",Journal of the Association for Information Systems,"Co-authorship, Homophily, and Scholarly Influence in Information Systems Research",2015,16,12,980--1015,https://aisel.aisnet.org/jais/vol16/iss12/2,,,
000061,article,10.17705/1JAIS.00351,"Richardson, Sandra and Kettinger, William and Banks, Michael and Quintana, Yuri",Journal of the Association for Information Systems,IT and Agility in the Social Enterprise: A Case Study of St Jude Children’s Research Hospital’s “Cure4Kids” IT-Platform for International Outreach,2014,15,1,1--32,https://aisel.aisnet.org/jais/vol15/iss1/2,,,
000062,article,10.17705/1JAIS.00177,"DeSanctis, Gerardine and Poole, Marshall and Zigurs, Ilze",Journal of the Association for Information Systems,"The Minnesota GDSS Research Project: Group Support Systems, Group Processes, and Outcomes",2008,9,10,551--608,https://aisel.aisnet.org/jais/vol9/iss10/6,,,
000063,article,10.17705/1JAIS.00404,"Liu, Gloria and Wang, Eric and Chua, Cecil",Journal of the Association for Information Systems,"Leveraging Social Capital to Obtain Top Management Support in Complex, Cross-Functional IT Projects",2015,16,8,707--737,https://aisel.aisnet.org/jais/vol16/iss8/1,,,
000064,article,10.17705/JAIS1.00486,"Wright, Michelle",Journal of the Association for Information Systems,Cyberbullying Victimization through Social Networking Sites and Adjustment Difficulties: The Role of Parental Mediation,2018,19,2,113--123,https://aisel.aisnet.org/jais/vol19/iss2/1,,,
000065,article,10.17705/1JAIS.00144,"Mark, Gloria and Lyytinen, Kalle and Bergman, Mark",Journal of the Association for Information Systems,Boundary Objects in Design: An Ecological View of Design Artifacts,2007,8,11,546--568,https://aisel.aisnet.org/jais/vol8/iss11/34,,,
000066,article,10.17705/1JAIS.00394,"Cranefield, Jocelyn and Yoong, Pak and Huff, Sid",Journal of the Association for Information Systems,Rethinking Lurking: Invisible Leading and Following in a Knowledge Transfer Ecosystem,2015,16,4,213--247,https://aisel.aisnet.org/jais/vol16/iss4/3,,,
000067,article,10.17705/1JAIS.00255,"Li, Xiaolin and Troutt, Marvin and Brandyberry, Alan and Wang, Tuo",Journal of the Association for Information Systems,Decision Factors for the Adoption and Continued Use of Online Direct Sales Channels among SMEs,2011,12,1,1--31,https://aisel.aisnet.org/jais/vol12/iss1/4,,,
000068,article,10.17705/1JAIS.00330,"Beath, Cynthia and Berente, Nicholas and Gallivan, Michael and Lyytinen, Kalle",Journal of the Association for Information Systems,Expanding the Frontiers of Information Systems Research: Introduction to the Special Issue,2013,14,4,!--XVI,https://aisel.aisnet.org/jais/vol14/iss4/4,,,
000069,article,10.17705/1JAIS.00127,"Lucas Jr., Henry and Swanson, E. and Zmud, Robert",Journal of the Association for Information Systems,"Implementation, Innovation, and Related Themes Over The Years In Information Systems Research",2007,8,4,206--210,https://aisel.aisnet.org/jais/vol8/iss4/17,,,
000070,article,10.17705/1JAIS.00458,"Arazy, Ofer and Kopak, Rick and Hadar, Irit",Journal of the Association for Information Systems,Heuristic Principles and Differential Judgments in the Assessment of Information Quality,2017,18,5,403--432,https://aisel.aisnet.org/jais/vol18/iss5/1,,,
000071,article,10.17705/1JAIS.00459,"Khan, Sarah and Zhao, Kexin and Kumar, Ram and Stylianou, Antonis",Journal of the Association for Information Systems,Examining Real Options Exercise Decisions in Information Technology Investments,2017,18,5,372--402,https://aisel.aisnet.org/jais/vol18/iss5/2,,,
000072,article,10.17705/1JAIS.00567,"Chanson, Mathieu and Bogner, Andreas and Bilgeri, Dominik and Fleisch, Elgar and Wortmann, Felix",Journal of the Association for Information Systems,"""Blockchain for the IoT: Privacy-Preserving Protection of Sensor Data""",2019,,,1272--1307,https://aisel.aisnet.org/jais/vol20/iss9/10,,,
000073,article,10.17705/1JAIS.00415,"Mindel, Vitali and Mathiassen, Lars",Journal of the Association for Information Systems,Contextualist Inquiry into IT-enabled Hospital Revenue Cycle Management: Bridging Research and Practice,2015,16,12,1016--1057,https://aisel.aisnet.org/jais/vol16/iss12/1,,,
000074,article,10.17705/1JAIS.00136,"Higgins, Christopher and Compeau, Deborah and Meister, Darren",Journal of the Association for Information Systems,From Prediction to Explanation: Reconceptualizing and Extending the Perceived Characteristics of Innovating,2007,8,8,409--439,https://aisel.aisnet.org/jais/vol8/iss8/26,,,
000075,article,10.17705/1JAIS.00310,"Chandra, Shalini and Srivastava, Shirish and Theng, Yin-Leng",Journal of the Association for Information Systems,Cognitive Absorption and Trust for Workplace Collaboration in Virtual Worlds: An Information Processing Decision Making Perspective,2012,13,10,797--835,https://aisel.aisnet.org/jais/vol13/iss10/3,,,
000076,article,10.17705/1JAIS.00204,"Baker, Jeff and Jones, Donald and Burkman, Jim",Journal of the Association for Information Systems,Using Visual Representations of Data to Enhance Sensemaking in Data Exploration Tasks,2009,10,7,533--559,https://aisel.aisnet.org/jais/vol10/iss7/2,,,
000077,article,10.17705/1JAIS.00531,"Stich, Jean-Francois and Tarafdar, Monideepa and Stacey, Patrick and Cooper, Sir Cary",Journal of the Association for Information Systems,Appraisal of Email Use as A Source of Workplace Stress: A Person-Environment Fit Approach,2019,20,,132--160,https://aisel.aisnet.org/jais/vol20/iss2/2,,,
000078,article,10.17705/1JAIS.00274,"Karjalainen, Mari and Siponen, Mikko",Journal of the Association for Information Systems,Toward a New Meta-Theory for Designing Information Systems (IS) Security Training Approaches,2011,12,8,518--555,https://aisel.aisnet.org/jais/vol12/iss8/3,,,
000079,article,10.17705/1JAIS.00546,"Zifla, Ermira and Wattal, Sunil",Journal of the Association for Information Systems,Understanding IT-Enabled Social Features in Online Peer-to-Peer Businesses for Cultural Goods,2019,,,629--646,https://aisel.aisnet.org/jais/vol20/iss5/2,,,
000080,article,10.17705/1JAIS.00207,"Gupta, Saurabh and Bostrom, Robert",Journal of the Association for Information Systems,Technology-Mediated Learning: A Comprehensive Theoretical Model,2009,10,9,686--714,https://aisel.aisnet.org/jais/vol10/iss9/1,,,
000081,article,10.17705/1JAIS.00499,"Huang, Liqiang and Tan, Chaun-Hoo and Ke, Weiling and Wei, Kwok",Journal of the Association for Information Systems,Helpfulness of Online Review Content: The Moderating Effects of Temporal and Social Cues,2018,19,06,503--522,https://aisel.aisnet.org/jais/vol19/iss6/3,,,
000082,article,10.17705/1JAIS.00087,"Grover, V and Gokhale, Rahul and Lim, Jaejoo and Ayyagari, Ramakrishna",Journal of the Association for Information Systems,About Reference Disciplines and Reference Differences: A Critique of Wade et al.,2006,7,5,336--350,https://aisel.aisnet.org/jais/vol7/iss5/11,,,
000083,article,10.17705/1JAIS.00137,"Olphert, Wendy and Damodaran, Leela",Journal of the Association for Information Systems,Citizen Participation and engagement in the Design of e-Government Services: The Missing Link in Effective ICT Design and Delivery,2007,8,9,491--507,https://aisel.aisnet.org/jais/vol8/iss9/27,,,
000084,article,10.17705/1JAIS.00441,"Deng, Xuefei and Joshi, K.D.",Journal of the Association for Information Systems,Why Individuals Participate in Micro-task Crowdsourcing Work Environment: Revealing Crowdworkers’ Perceptions,2016,17,10,648--673,https://aisel.aisnet.org/jais/vol17/iss10/3,,,
000085,article,10.17705/1JAIS.00305,"Cheung, Cindy and Sia, Choon-Ling and Kuan, Kevin",Journal of the Association for Information Systems,Is This Review Believable? A Study of Factors Affecting the Credibility of Online Consumer Reviews from an ELM Perspective,2012,13,8,618--635,https://aisel.aisnet.org/jais/vol13/iss8/2,,,
000086,article,10.17705/1JAIS.00254,"Wells, John and Parboteeah, Veena and Valacich, Joseph",Journal of the Association for Information Systems,Online Impulse Buying: Understanding the Interplay between Consumer Impulsiveness and Website Quality,2011,12,1,32--56,https://aisel.aisnet.org/jais/vol12/iss1/3,,,
000087,article,10.17705/1JAIS.00295,"Belanger, France and Carter, Lemuria",Journal of the Association for Information Systems,Digitizing Government Interactions with Constituents: An Historical Review of E-Government Research in Information Systems,2012,13,5,363--394,https://aisel.aisnet.org/jais/vol13/iss5/1,,,
000088,article,10.17705/1JAIS.00225,"Chakraborty, Suranjan and Sarker, Saonee and Sarker, Suprateek",Journal of the Association for Information Systems,An Exploration into the Process of Requirements Elicitation: A Grounded Approach,2010,11,4,212--249,https://aisel.aisnet.org/jais/vol11/iss4/1,,,
000089,article,10.17705/1JAIS.00335,"Figl, Kathrin and Mendling, Jan and Strembeck, Mark",Journal of the Association for Information Systems,The Influence of Notational Deficiencies on Process Model Comprehension,2013,14,6,312--338,https://aisel.aisnet.org/jais/vol14/iss6/1,,,
000090,article,10.17705/1JAIS.00001,"Park, YoungKi and Sawy, Omar and Fiss, Peer",Journal of the Association for Information Systems,The Role of Business Intelligence and Communication Technologies in Organizational Agility: A Configurational Approach,2017,18,9,648--686,https://aisel.aisnet.org/jais/vol18/iss9/1,,,
000091,article,10.17705/1JAIS.00218,"Jiang, Zhenhui and Chan, Jason and Tan, Bernard and Chua, Wei",Journal of the Association for Information Systems,Effects of Interactivity on Website Involvement and Purchase Intention,2010,11,1,34--59,https://aisel.aisnet.org/jais/vol11/iss1/1,,,
000092,article,10.17705/1JAIS.00352,"Arbore, Alessandro and Soscia, Isabella and Bagozzi, Richard",Journal of the Association for Information Systems,The Role of Signaling Identity in the Adoption of Personal Technologies,2014,15,2,86--110,https://aisel.aisnet.org/jais/vol15/iss2/1,,,
000093,article,10.17705/1JAIS.00393,"Tan, Barney and Pan, Shan and Lu, Xianghua and Huang, Lihua",Journal of the Association for Information Systems,The Role of IS Capabilities in the Development of Multi-Sided Platforms: The Digital Ecosystem Strategy of Alibaba.com,2015,16,4,248--280,https://aisel.aisnet.org/jais/vol16/iss4/2,,,
000094,article,10.17705/1JAIS.00438,"Tallon, Paul and Queiroz, Magno and Coltman, Tim and Sharma, Rajeev",Journal of the Association for Information Systems,"Business Process and Information Technology Alignment: Construct Conceptualization, Empirical Illustration, and Directions for Future Research",2016,17,9,563--589,https://aisel.aisnet.org/jais/vol17/iss9/3,,,
000095,article,10.17705/1JAIS.00056,"Kim, Hee-Woong and Xu, Yunjie and Koh, Joon",Journal of the Association for Information Systems,A Comparison of Online Trust Building Factors between Potential Customers and Repeat Customers,2004,5,10,392--420,https://aisel.aisnet.org/jais/vol5/iss10/13,,,
000096,article,10.17705/1JAIS.00598,"Leidner, Dorothy E.",Journal of the Association for Information Systems,What's in a Contribution?,2020,,,238--245,https://aisel.aisnet.org/jais/vol21/iss1/2,,,
000097,article,10.17705/1JAIS.00299,"Staehr, Lorraine and Shanks, Graeme and Seddon, Peter",Journal of the Association for Information Systems,An Explanatory Framework for Achieving Business Benefits from ERP Systems,2012,13,6,424--465,https://aisel.aisnet.org/jais/vol13/iss6/2,,,
000098,article,10.17705/1JAIS.00122,"Bagozzi, Richard",Journal of the Association for Information Systems,The Legacy of the Technology Acceptance Model and a Proposal for a Paradigm Shift.,2007,8,4,244--254,https://aisel.aisnet.org/jais/vol8/iss4/12,,,
000099,article,10.17705/1JAIS.00400,"Bock, Gee-Woo and Ahuja, Manju and Suh, Ayoung and Yap, Lee",Journal of the Association for Information Systems,Sustainability of a Virtual Community: Integrating Individual and Structural Dynamics,2015,16,6,418--447,https://aisel.aisnet.org/jais/vol16/iss6/3,,,
000100,article,10.17705/1JAIS.00445,"Khatri, Vijay and Vessey, Iris",Journal of the Association for Information Systems,Understanding the Role of IS and Application Domain Knowledge on Conceptual Schema Problem Solving: A Verbal Protocol Study,2016,17,12,759--803,https://aisel.aisnet.org/jais/vol17/iss12/2,,,
000101,article,10.17705/1JAIS.00597,"Tams, Stefan and Dulipovici, Alina and Thatcher"", "" Jason Bennett and Craig, Kevin and Srite, Mark",Journal of the Association for Information Systems,The Role of Basic Human Values in Knowledge Sharing: How Values Shape the Postadoptive Use of Electronic Knowledge Repositories,2020,,,201--237,https://aisel.aisnet.org/jais/vol21/iss1/3,,,
