ID,ENTRYTYPE,author,journal,title,year,volume,number,url,dblp_key,doi,pages,file,grobid-version,note,abstract,language
000011,article,"Zhang, Ping",Journal of the Association for Information Systems,The Effects of Animation on Information Seeking Performance on the World Wide Web - Securing Attention or Interfering with Primary Tasks?,2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/1,https://dblp.org/rec/journals/jais/Zhang00,,,,,,,
000012,article,"Bryson, Noel and Ngwenyama, Ojelanki K.",Journal of the Association for Information Systems,Structuring IS Outsourcing Contracts for Mutual Gain - An Approach to Analyzing Performance Incentive Schemes,2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/9,https://dblp.org/rec/journals/jais/BrysonN00,,,,,,,
000013,article,"Khazanchi, Deepak and Sutton, Steve G.",Journal of the Association for Information Systems,Assurance Services for Business-to- Business Electronic Commerce - A Framework and Implications,2000,1,,http://aisel.aisnet.org/jais/vol1/iss1/11,https://dblp.org/rec/journals/jais/KhazanchiS00,,,,,,,
000014,article,"Jiang, James J. and Shepherd, Morgan M. and Klein, Gary",Journal of the Association for Information Systems,The Materiality of Information System Planning Maturity to Project Performance,2001,2,,http://aisel.aisnet.org/jais/vol2/iss1/5,https://dblp.org/rec/journals/jais/JiangSK01,,,,,,,
000015,article,"Panko, Raymond R. and Halverson Jr., Richard P.",Journal of the Association for Information Systems,An Experiment In Collaborative Spreadsheet Development,2001,2,,http://aisel.aisnet.org/jais/vol2/iss1/4,https://dblp.org/rec/journals/jais/PankoJ01,,,,,,,
000016,article,"Shaw, Neal G.",Journal of the Association for Information Systems,Capturing the Technological Dimensions of IT Infrastructure Change - A Model and Empirical Evidence,2001,2,,http://aisel.aisnet.org/jais/vol2/iss1/8,https://dblp.org/rec/journals/jais/Shaw01,,,,,,,
000017,article,"Shu, Wesley S.",Journal of the Association for Information Systems,Will the New Economy Emerge as Information Technology Pays Off?,2001,2,,http://aisel.aisnet.org/jais/vol2/iss1/1,https://dblp.org/rec/journals/jais/Shu01,,,,,,,
000018,article,"Geissler, Gary and Zinkhan, George M. and Watson, Richard T.",Journal of the Association for Information Systems,Web Home Page Complexity and Communication Effectiveness,2001,2,,http://aisel.aisnet.org/jais/vol2/iss1/2,https://dblp.org/rec/journals/jais/GeisslerZW01,,,,,,,
000019,article,"Sarker, Suprateek and Lee, Allen S.",Journal of the Association for Information Systems,Using A Positivist Case Research Methodology To Test Three Competing Theories-In-Use Of Business Process Redesign,2001,2,,http://aisel.aisnet.org/jais/vol2/iss1/7,https://dblp.org/rec/journals/jais/SarkerL01,,,,,,,
000020,article,"Te'eni, Dov and Feldman, Ron",Journal of the Association for Information Systems,Performance And Satisfaction In Adaptive Websites - An Experiment On Searches Within A Task-Adapted Website,2001,2,,http://aisel.aisnet.org/jais/vol2/iss1/3,https://dblp.org/rec/journals/jais/TeeniF01,,,,,,,
000021,article,"Wolcott, Peter and Press, Larry and McHenry, William K. and Goodman, Seymour E. and Foster, William",Journal of the Association for Information Systems,A Framework for Assessing the Global Diffusion of the Internet,2001,2,,http://aisel.aisnet.org/jais/vol2/iss1/6,https://dblp.org/rec/journals/jais/WolcottPMGF01,,,,,,,
000022,article,"Shim, J. P. and Shin, Yong B. and Nottingham, Linda",Journal of the Association for Information Systems,Retailer Web Site Influence On Customer Shopping - Exploratory Study on Key Factors of Customer Satisfaction,2002,3,,http://aisel.aisnet.org/jais/vol3/iss1/3,https://dblp.org/rec/journals/jais/ShimSN02,,,,,,,
000023,article,"Huang, Cecil Chua Eng and Cao, Lan and Cousins, Karlene and Straub, Detmar W.",Journal of the Association for Information Systems,Measuring Researcher-Production in Information Systems,2002,3,,http://aisel.aisnet.org/jais/vol3/iss1/6,https://dblp.org/rec/journals/jais/CecilCCS02,,,,,,,
000024,article,"Grover, Varun and Teng, James T. C. and Fiedler, Kirk D.",Journal of the Association for Information Systems,Investigating the Role of Information Technology in Building Buyer-Supplier Relationships,2002,3,,http://aisel.aisnet.org/jais/vol3/iss1/7,https://dblp.org/rec/journals/jais/GroverTF02,,,,,,,
000025,article,"Hüsemann, Stefan",Journal of the Association for Information Systems,Information Exchange Between Humanitarian Organizations - Using the XML Schema IDML,2002,3,,http://aisel.aisnet.org/jais/vol3/iss1/1,https://dblp.org/rec/journals/jais/Husemann02,,,,,,,
000026,article,"Gefen, David",Journal of the Association for Information Systems,Customer Loyalty in E-Commerce,2002,3,,http://aisel.aisnet.org/jais/vol3/iss1/2,https://dblp.org/rec/journals/jais/Gefen02,,,,,,,
000027,article,"Narendra, Nanjangud C.",Journal of the Association for Information Systems,Design Considerations for Incorporating Flexible Workflow and Multi-Agent Interactions in Agent Societies,2002,3,,http://aisel.aisnet.org/jais/vol3/iss1/4,https://dblp.org/rec/journals/jais/Narendra02,,,,,,,
000028,article,"Tingling, Peter and Parent, Michael",Journal of the Association for Information Systems,Mimetic Isomorphism and Technology Evaluation - Does Imitation Transcend Judgment?,2002,3,,http://aisel.aisnet.org/jais/vol3/iss1/5,https://dblp.org/rec/journals/jais/TinglingP02,,,,,,,
000029,article,"Li, Eldon Y. and Jiang, James J. and Klein, Gary",Journal of the Association for Information Systems,The Impact of Organizational Coordination and Climate on Marketing Executives' Satisfaction with Information Systems Services,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/4,https://dblp.org/rec/journals/jais/LiJK03,,,,,,,
000030,article,"Lyytinen, Kalle",Journal of the Association for Information Systems,Foreword to LEO Article,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/8,https://dblp.org/rec/journals/jais/Lyytinen03,,,,,,,
000031,article,"Silva, Leiser and Backhouse, James",Journal of the Association for Information Systems,The Circuits-of-Power Framework for Studying Power in Institutionalization of Information Systems,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/14,https://dblp.org/rec/journals/jais/SilvaB03,,,,,,,
000032,article,"DeSanctis, Gerardine",Journal of the Association for Information Systems,The Social Life of Information Systems Research - A Response to Benbasat and Zmud's Call for Returning to the IT Artifact,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/16,https://dblp.org/rec/journals/jais/DeSanctis03,,,,,,,
000033,article,"Galliers, Robert D.",Journal of the Association for Information Systems,Change as Crisis or Growth? Toward a Trans-disciplinary View of Information Systems as a Field of Study - A Response to Benbasat and Zmud's Call for Returning to the IT Artifact,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/13,https://dblp.org/rec/journals/jais/Galliers03,,,,,,,
000034,article,"Lee, Jae-Nam and Pi, Shih-Ming and Kwok, Ron Chi-Wai and Huynh, Minh Q.",Journal of the Association for Information Systems,The Contribution of Commitment Value in Internet Commerce - An Empirical Investigation,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/2,https://dblp.org/rec/journals/jais/LeePKH03,,,,,,,
000035,article,"Limayem, Moez and Hirt, Sabine Gabriele",Journal of the Association for Information Systems,Force of Habit and Information Systems Usage - Theory and Initial Validation,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/3,https://dblp.org/rec/journals/jais/LimayemH03,,,,,,,
000036,article,"Mumford, Enid",Journal of the Association for Information Systems,Information Systems Research and the Quest for Certainty,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/7,https://dblp.org/rec/journals/jais/Mumford03,,,,,,,
000037,article,"Straub, Detmar W.",Journal of the Association for Information Systems,IS Research Perspectives - A Mandate for Scholarly Debate,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/11,https://dblp.org/rec/journals/jais/Straub03,,,,,,,
000038,article,"Rafaeli, Sheizaf and Raban, Daphne R.",Journal of the Association for Information Systems,Experimental Investigation of the Subjective Value of Information in Trading,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/5,https://dblp.org/rec/journals/jais/RafaeliR03,,,,,,,
000039,article,"Shin, Bongsik",Journal of the Association for Information Systems,An Exploratory Investigation of System Success Factors in Data Warehousing,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/6,https://dblp.org/rec/journals/jais/Shin03,,,,,,,
000040,article,"Klein, Heinz K. and Hirschheim, Rudy",Journal of the Association for Information Systems,Crisis in the IS Field? A Critical Reflection on the State of the Discipline,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/10,https://dblp.org/rec/journals/jais/KleinH03,,,,,,,
000041,article,"Liu, Vanessa and Khalifa, Mohamed",Journal of the Association for Information Systems,Determinants of Satisfaction at Different Adoption Stages of Internet-Based Services,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/12,https://dblp.org/rec/journals/jais/LiuK03,,,,,,,
000042,article,"Robey, Daniel",Journal of the Association for Information Systems,"Identity, Legitimacy and the Dominant Research Paradigm - An Alternative Prescription for the IS Discipline - A Response to Benbasat and Zmud's Call for Returning to the IT Artifact",2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/15,https://dblp.org/rec/journals/jais/Robey03,,,,,,,
000043,article,"Sarker, Suprateek and Sahay, Sundeep",Journal of the Association for Information Systems,Understanding Virtual Team Development - An Interpretive Study,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/1,https://dblp.org/rec/journals/jais/SarkerS03,,,,,,,
000044,article,"Wei, Kwok Kee and Tan, Bernard C. Y. and Heng, Cheng-Suang",Journal of the Association for Information Systems,Willingness to Continue with Software Projects - Effects of Feedback Direction and Optimism under High and Low Accountability Conditions,2003,4,,http://aisel.aisnet.org/jais/vol4/iss1/9,https://dblp.org/rec/journals/jais/WeiTH03,,,,,,,
000045,article,"Lyytinen, Kalle and King, John Leslie",Journal of the Association for Information Systems,Nothing At The Center? - Academic Legitimacy in the Information Systems Field,2004,5,6,http://aisel.aisnet.org/jais/vol5/iss6/8,https://dblp.org/rec/journals/jais/LyytinenK04,,,,,,,
000046,article,"Gosain, Sanjay",Journal of the Association for Information Systems,Enterprise Information Systems as Objects and Carriers of Institutional Forces - The New Iron Cage?,2004,5,4,http://aisel.aisnet.org/jais/vol5/iss4/6,https://dblp.org/rec/journals/jais/Gosain04,,,,,,,
000047,article,"Lowry, Paul Benjamin and Romans, Denton and Curtis, Aaron",Journal of the Association for Information Systems,Global Journal Prestige and Supporting Disciplines - A Scientometric Study of Information Systems Journals,2004,5,2,http://aisel.aisnet.org/jais/vol5/iss2/1,https://dblp.org/rec/journals/jais/LowryRC04,,,,,,,
000048,article,"Mason, Richard O.",Journal of the Association for Information Systems,The Legacy of LEO - Lessons Learned from an English Tea and Cake Company's Pioneering Efforts in Information Systems,2004,5,5,http://aisel.aisnet.org/jais/vol5/iss5/7,https://dblp.org/rec/journals/jais/Mason04,,,,,,,
000049,article,"Rossi, Matti and Ramesh, Balasubramaniam and Lyytinen, Kalle and Tolvanen, Juha-Pekka",Journal of the Association for Information Systems,Managing Evolutionary Method Engineering by Method Rationale,2004,5,9,http://aisel.aisnet.org/jais/vol5/iss9/12,https://dblp.org/rec/journals/jais/RossiRLT04,,,,,,,
000050,article,"Fichman, Robert G.",Journal of the Association for Information Systems,Going Beyond the Dominant Paradigm for Information Technology Innovation Research - Emerging Concepts and Methods,2004,5,8,http://aisel.aisnet.org/jais/vol5/iss8/11,https://dblp.org/rec/journals/jais/Fichman04,,,,,,,
000051,article,"Ives, Blake and Parks, Michael S. and Porra, Jaana and Silva, Leiser",Journal of the Association for Information Systems,Phylogeny and Power in the IS Domain - A Response to Benbasat and Zmud's Call for Returning to the IT Artifact,2004,5,3,http://aisel.aisnet.org/jais/vol5/iss3/4,https://dblp.org/rec/journals/jais/IvesPPS04,,,,,,,
000052,article,"Kim, Hee-Woong and Xu, Yunjie and Koh, Joon",Journal of the Association for Information Systems,A Comparison of Online Trust Building Factors between Potential Customers and Repeat Customers,2004,5,10,http://aisel.aisnet.org/jais/vol5/iss10/13,https://dblp.org/rec/journals/jais/KimXK04,,,,,,,
000053,article,"Markus, M. Lynne and Mao, Ji-Ye",Journal of the Association for Information Systems,"Participation in Development and Implementation - Updating An Old, Tired Concept for Today's IS Contexts",2004,5,11,http://aisel.aisnet.org/jais/vol5/iss11/14,https://dblp.org/rec/journals/jais/MarkusM04,,,,,,,
000054,article,"Sahay, Sundeep",Journal of the Association for Information Systems,Beyond Utopian and Nostalgic Views of Information Technology and Education - Implications for Research and Practice,2004,5,7,http://aisel.aisnet.org/jais/vol5/iss7/9,https://dblp.org/rec/journals/jais/Sahay04,,,,,,,
000055,article,"Tanriverdi, Hüseyin and Ruefli, Timothy W.",Journal of the Association for Information Systems,The Role of Information Technology in Risk/Return Relations of Firms,2004,5,11,http://aisel.aisnet.org/jais/vol5/iss11/18,https://dblp.org/rec/journals/jais/TanriverdiR04,,,,,,,
000056,article,"Brown, Susan A. and Fuller, Robert M. and Vician, Chelley",Journal of the Association for Information Systems,Who's Afraid of the Virtual World? Anxiety and Computer-Mediated Communication,2004,5,2,http://aisel.aisnet.org/jais/vol5/iss2/2,https://dblp.org/rec/journals/jais/BrownFV04,,,,,,,
000057,article,"Carte, Traci A. and Chidambaram, Laku",Journal of the Association for Information Systems,A Capabilities-Based Theory of Technology Deployment in Diverse Teams - Leapfrogging the Pitfalls of Diversity and Leveraging Its Potential with Collaborative Technology,2004,5,11,http://aisel.aisnet.org/jais/vol5/iss11/17,https://dblp.org/rec/journals/jais/CarteC04,,,,,,,
000058,article,"Cenfetelli, Ronald T.",Journal of the Association for Information Systems,Inhibitors and Enablers as Dual Factor Concepts in Technology Usage,2004,5,11,http://aisel.aisnet.org/jais/vol5/iss11/16,https://dblp.org/rec/journals/jais/Cenfetelli04,,,,,,,
000059,article,"Galletta, Dennis F. and Henry, Raymond M. and McCoy, Scott and Polak, Peter",Journal of the Association for Information Systems,Web Site Delays - How Tolerant are Users?,2004,5,1,http://aisel.aisnet.org/jais/vol5/iss1/1,https://dblp.org/rec/journals/jais/GallettaHMP04,,,,,,,
000060,article,"Nah, Fiona Fui-Hoon and Benbasat, Izak",Journal of the Association for Information Systems,Knowledge-based Support in a Group Decision Making Context - An Expert-Novice Comparison,2004,5,3,http://aisel.aisnet.org/jais/vol5/iss3/5,https://dblp.org/rec/journals/jais/NahB04,,,,,,,
000061,article,"Sherif, Karma and Menon, Nirup M.",Journal of the Association for Information Systems,Managing Technology and Administration Innovations - Four Case Studies on Software Reuse,2004,5,7,http://aisel.aisnet.org/jais/vol5/iss7/10,https://dblp.org/rec/journals/jais/SherifM04,,,,,,,
000062,article,"Wasko, Molly McLure and Faraj, Samer and Teigland, Robin",Journal of the Association for Information Systems,Collective Action and Knowledge Contribution in Electronic Networks of Practice,2004,5,11,http://aisel.aisnet.org/jais/vol5/iss11/15,https://dblp.org/rec/journals/jais/WaskoFT04,,,,,,,
000063,article,"Jansen, Erik and Rodgers, Waymond and Pavlou, Paul A. and Housel, Thomas J.",Journal of the Association for Information Systems,Measuring the Return on Information Technology - A Knowledge-Based Approach for Revenue Allocation at the Process and Firm Level,2005,6,7,http://aisel.aisnet.org/jais/vol6/iss7/8,https://dblp.org/rec/journals/jais/JansenRPH05,,,,,,,
000064,article,"Forman, Chris and Goldfarb, Avi and Greenstein, Shane",Journal of the Association for Information Systems,How Do Industry Features Influence the Role of Location on Internet Adoption?,2005,6,12,http://aisel.aisnet.org/jais/vol6/iss12/11,https://dblp.org/rec/journals/jais/FormanGF05,,,,,,,
000065,article,"Kauffman, Robert J.",Journal of the Association for Information Systems,Interdisciplinary Perspectives/Part I - Economic Perspectives (Editorial Introduction),2005,6,12,http://aisel.aisnet.org/jais/vol6/iss12/14,https://dblp.org/rec/journals/jais/Kauffman05,,,,,,,
000066,article,"Riggins, Frederick J. and Dewan, Sanjeev",Journal of the Association for Information Systems,The Digital Divide - Current and Future Research Directions,2005,6,12,http://aisel.aisnet.org/jais/vol6/iss12/13,https://dblp.org/rec/journals/jais/RigginsD05,,,,,,,
000067,article,"Techatassanasoontorn, Angsana A. and Kauffman, Robert J.",Journal of the Association for Information Systems,Is There a Global Digital Divide for Digital Wireless Phone Technologies?,2005,6,12,http://aisel.aisnet.org/jais/vol6/iss12/12,https://dblp.org/rec/journals/jais/TechatassanasoontornK05,,,,,,,
000068,article,"Chan, Yolande E. and Greenaway, Kathleen",Journal of the Association for Information Systems,Theoretical Explanations for Firms' Information Privacy Behaviors,2005,6,6,http://aisel.aisnet.org/jais/vol6/iss6/7,https://dblp.org/rec/journals/jais/ChanG05,,,,,,,
000069,article,"Sarker, Suprateek and Valacich, Joseph S. and Sarker, Saonee",Journal of the Association for Information Systems,Technology Adoption by Groups - A Valence Perspective,2005,6,2,http://aisel.aisnet.org/jais/vol6/iss2/3,https://dblp.org/rec/journals/jais/SarkerVS05,,,,,,,
000070,article,"Benbasat, Izak and Wang, Weiquan",Journal of the Association for Information Systems,Trust In and Adoption of Online Recommendation Agents,2005,6,3,http://aisel.aisnet.org/jais/vol6/iss3/4,https://dblp.org/rec/journals/jais/BenbasatW05,,,,,,,
000071,article,"Datta, Pratim and Byrd, Terry Anthony and Okoli, Chitu and Mbarika, Victor Wacham A.",Journal of the Association for Information Systems,The Neglected Continent of IS Research - A Research Agenda for Sub-Saharan Africa,2005,6,5,http://aisel.aisnet.org/jais/vol6/iss5/6,https://dblp.org/rec/journals/jais/DattaBOM05,,,,,,,
000072,article,"Irwin, Gretchen and Turk, Daniel E.",Journal of the Association for Information Systems,An Ontological Analysis of Use Case Modeling Grammar,2005,6,1,http://aisel.aisnet.org/jais/vol6/iss1/2,https://dblp.org/rec/journals/jais/IrwinT05,,,,,,,
000073,article,"Kraemer, Kenneth L. and Ganley, Dale and Dewan, Sanjeev",Journal of the Association for Information Systems,Across the Digital Divide - A Cross-Country Multi-Technology Analysis of the Determinants of IT Penetration,2005,6,12,http://aisel.aisnet.org/jais/vol6/iss12/10,https://dblp.org/rec/journals/jais/KraemerGD05,,,,,,,
000074,article,"Lou, Hao and Chau, Patrick Y. K. and Li, Dahui",Journal of the Association for Information Systems,Understanding Individual Adoption of Instant Messaging - An Empirical Investigation,2005,6,4,http://aisel.aisnet.org/jais/vol6/iss4/5,https://dblp.org/rec/journals/jais/LouCL05,,,,,,,
000075,article,"Payton, Fay Cobb and White, Sharon D. and Mbarika, Victor Wacham A.",Journal of the Association for Information Systems,A Re-Examination of Racioethnic Imbalance of IS Doctorates - Changing the Face of the IS Classroom,2005,6,1,http://aisel.aisnet.org/jais/vol6/iss1/1,https://dblp.org/rec/journals/jais/PaytonWM05,,,,,,,
000076,article,"Truex, Duane P. and Holmström, Jonny and Keil, Mark",Journal of the Association for Information Systems,Theorizing in information systems research - A reflexive analysis of the adaptation of theory in information systems research,2006,7,12,http://aisel.aisnet.org/jais/vol7/iss12/33,https://dblp.org/rec/journals/jais/TruexHK06,,,,,,,
000077,article,"Van Slyke, Craig and Shim, J. T. and Johnson, Richard D. and Jiang, James J.",Journal of the Association for Information Systems,Concern for Information Privacy and Online Consumer Purchasing,2006,7,6,http://aisel.aisnet.org/jais/vol7/iss6/16,https://dblp.org/rec/journals/jais/SlykeSJJ06,,,,,,,
000078,article,"Gebauer, Judith and Schober, Franz",Journal of the Association for Information Systems,Information System Flexibility and the Cost Efficiency of Business Processes,2006,7,3,http://aisel.aisnet.org/jais/vol7/iss3/8,https://dblp.org/rec/journals/jais/GebauerS06,,,,,,,
000079,article,"Granados, Nelson F. and Gupta, Alok and Kauffman, Robert J.",Journal of the Association for Information Systems,The Impact of IT on Market Information and Transparency - A Unified Theoretical Framework,2006,7,3,http://aisel.aisnet.org/jais/vol7/iss3/7,https://dblp.org/rec/journals/jais/GranadosGK06,,,,,,,
000080,article,"Grover, Varun and Gokhale, Rahul and Lim, Jaejoo and Coffey, John and Ayyagari, Ramakrishna",Journal of the Association for Information Systems,A Citation Analysis of the Evolution and State of Information Systems within a Constellation of Reference Disciplines,2006,7,5,http://aisel.aisnet.org/jais/vol7/iss5/13,https://dblp.org/rec/journals/jais/GroverGLCA06,,,,,,,
000081,article,"Heikka, Juhani and Baskerville, Richard L. and Siponen, Mikko T.",Journal of the Association for Information Systems,A Design Theory for Secure Information Systems Design Methods,2006,7,11,http://aisel.aisnet.org/jais/vol7/iss11/31,https://dblp.org/rec/journals/jais/HeikkaBS06,,,,,,,
000082,article,"Li, Yuan and Kettinger, William J.",Journal of the Association for Information Systems,An Evolutionary Information-Processing Theory of Knowledge Creation,2006,7,9,http://aisel.aisnet.org/jais/vol7/iss9/25,https://dblp.org/rec/journals/jais/LiK06,,,,,,,
000083,article,"Sivo, Stephen A. and Saunders, Carol S. and Chang, Qing and Jiang, James J.",Journal of the Association for Information Systems,How Low Should You Go? Low Response Rates and the Validity of Inference in IS Questionnaire Research,2006,7,6,http://aisel.aisnet.org/jais/vol7/iss6/17,https://dblp.org/rec/journals/jais/SivoSCJ06,,,,,,,
000084,article,"Son, Jai-Yeol and Kim, Sung S. and Riggins, Frederick J.",Journal of the Association for Information Systems,Consumer Adoption of Net-Enabled Infomediaries - Theoretical Explanations and an Empirical Test,2006,7,7,http://aisel.aisnet.org/jais/vol7/iss7/18,https://dblp.org/rec/journals/jais/SonKR06,,,,,,,
000085,article,"Iyer, Govind S. and Ravindran, Sury and Reckers, Philip M. J.",Journal of the Association for Information Systems,Procurement of IT Consulting Services and Firm-Specific Characteristics,2006,7,4,http://aisel.aisnet.org/jais/vol7/iss4/9,https://dblp.org/rec/journals/jais/IyerRR06,,,,,,,
000086,article,"Jiang, James J. and Klein, Gary and Chen, Hong-Gee",Journal of the Association for Information Systems,The Effects of User Partnering and User Non-Support on Project Performance,2006,7,2,http://aisel.aisnet.org/jais/vol7/iss2/6,https://dblp.org/rec/journals/jais/JiangKC06,,,,,,,
000087,article,"Kauffman, Robert J.",Journal of the Association for Information Systems,Interdisciplinary Perspectives -Part II - Sociological Perspectives (Editorial Introduction),2006,7,1,http://aisel.aisnet.org/jais/vol7/iss1/4,https://dblp.org/rec/journals/jais/Kauffman06,,,,,,,
000088,article,"Lyytinen, Kalle and King, John Leslie",Journal of the Association for Information Systems,The Theoretical Core and Academic Legitimacy - A Response to Professor Weber,2006,7,10,http://aisel.aisnet.org/jais/vol7/iss10/27,https://dblp.org/rec/journals/jais/LyytinenK06,,,,,,,
000089,article,"Wade, Michael R. and Biehl, Markus and Kim, Henry M.",Journal of the Association for Information Systems,Information Systems is Not a Reference Discipline (And What We Can Do About It),2006,7,5,http://aisel.aisnet.org/jais/vol7/iss5/14,https://dblp.org/rec/journals/jais/WadeBK06a,,,,,,,
000090,article,,Journal of the Association for Information Systems,Research in Information Systems Analysis and Design - Introduction to the Special Issue,2006,7,8,http://aisel.aisnet.org/jais/vol7/iss8/23,https://dblp.org/rec/journals/jais/X06a,,,,,,,
000091,article,"Dean, Douglas L. and Hender, Jillian M. and Rodgers, Thomas Lee and Santanen, Eric L.",Journal of the Association for Information Systems,"Identifying Quality, Novel, and Creative Ideas - Constructs and Scales for Idea Evaluation",2006,7,10,http://aisel.aisnet.org/jais/vol7/iss10/30,https://dblp.org/rec/journals/jais/DeanHRS06,,,,,,,
000092,article,"Grover, Varun and Gokhale, Rahul and Lim, Jaejoo and Ayyagari, Ramakrishna",Journal of the Association for Information Systems,About Reference Disciplines and Reference Differences - A Critique of Wade et al,2006,7,5,http://aisel.aisnet.org/jais/vol7/iss5/11,https://dblp.org/rec/journals/jais/GroverGLA06,,,,,,,
000093,article,"Hargittai, Eszter",Journal of the Association for Information Systems,Hurdles to Information Seeking - Spelling and Typographical Mistakes During Users' Online Behavior,2006,7,1,http://aisel.aisnet.org/jais/vol7/iss1/1,https://dblp.org/rec/journals/jais/Hargittai06,,,,,,,
000094,article,"Patnayakuni, Ravi and Ruppel, Cynthia P.",Journal of the Association for Information Systems,Managing the Complementarity of Knowledge Integration and Process Formalization for Systems Development Performance,2006,7,8,http://aisel.aisnet.org/jais/vol7/iss8/21,https://dblp.org/rec/journals/jais/PatnayakuniR06,,,,,,,
000095,article,"Rensel, Ann D. and Abbas, June M. and Rao, H. Raghav",Journal of the Association for Information Systems,Private Transactions in Public Places - An Exploration of the Impact of the Computer Environment on Public Transactional Web Site Use,2006,7,1,http://aisel.aisnet.org/jais/vol7/iss1/2,https://dblp.org/rec/journals/jais/RenselAR06,,,,,,,
000096,article,"Al-Natour, Sameh and Benbasat, Izak and Cenfetelli, Ronald T.",Journal of the Association for Information Systems,The Role of Design Characteristics in Shaping Perceptions of Similarity - The Case of Online Shopping Assistants,2006,7,12,http://aisel.aisnet.org/jais/vol7/iss12/34,https://dblp.org/rec/journals/jais/Al-NatourBC06,,,,,,,
000097,article,"Bowen, Paul L. and O'Farrell, Robert A. and Rohde, Fiona H.",Journal of the Association for Information Systems,Analysis of Competing Data Structures - Does Ontological Clarity Produce Better End User Query Performance,2006,7,8,http://aisel.aisnet.org/jais/vol7/iss8/22,https://dblp.org/rec/journals/jais/BowenOR06,,,,,,,
