ID,orig_ID,orig_source,url,pages,number,volume,year,title,journal,author,doi,ENTRYTYPE,language,abstract,dblp_key,grobid-version,file,note
C_000019,000019,crossref,https://aisel.aisnet.org/jais/vol8/iss1/2,16--46,1,8,2007,"The Evolving Nature of the Computer Self-Efficacy Construct: An Empirical Investigation of Measurement Construction, Validity, Reliability and Stability Over Time.",Journal of the Association for Information Systems,"Marakas, George and Johnson, Richard and Clay, Paul",10.17705/1JAIS.00112,article,,,,,,
C_000020,000020,crossref,https://aisel.aisnet.org/jais/vol19/iss2/2,86--112,2,19,2018,The Role of Information and Communication Technology in Self-Management of Chronic Diseases: An Empirical Investigation through Value Sensitive Design,Journal of the Association for Information Systems,"Dadgar, Majid and Joshi, K.D.",10.17705/JAIS1.00485,article,,,,,,
C_000021,000021,crossref,https://aisel.aisnet.org/jais/vol14/iss4/3,192--197,4,14,2013,Balance of Trade in the Marketplace of Ideas,Journal of the Association for Information Systems,"King, John",10.17705/1JAIS.00329,article,,,,,,
C_000022,000022,crossref,https://aisel.aisnet.org/jais/vol7/iss12/34,821--861,12,7,2006,The Role of Design Characteristics in Shaping Perceptions of Similarity: The Case of Online Shopping Assistants,Journal of the Association for Information Systems,"Al-Natour, Sameh and Benbasat, Izak and Cenfetelli, Ronald",10.17705/1JAIS.00110,article,,,,,,
C_000023,000023,crossref,https://aisel.aisnet.org/jais/vol15/iss9/2,577--613,9,15,2014,A Coevolutionary View of Information Services Development: Lessons from the U.S. National Oceanic and Atmospheric Administration,Journal of the Association for Information Systems,"Montealegre, Ramiro and Hovorka, Drik and Germonprez, Matt",10.17705/1JAIS.00372,article,,,,,,
C_000024,000024,crossref,https://aisel.aisnet.org/jais/vol20/iss8/2,1174--1209,,,2019,Harnessing Aspect-Based Sentiment Analysis: How Are Tweets Associated with Forecast Accuracy?,Journal of the Association for Information Systems,"Ho, Shuk Ying and Choi, Ka Wai (Stanley) and Yang, Fan (Finn)",10.17705/1JAIS.00564,article,,,,,,
C_000025,000025,crossref,https://aisel.aisnet.org/jais/vol5/iss3/4,108--124,3,5,2004,Phylogeny and Power in the IS Domain: A Response to Benbasat and Zmud's Call for Returning to the IT Artifact,Journal of the Association for Information Systems,"Ives, Blake and Parks, Michael and Porra, Jaana and Silva, Leiser",10.17705/1JAIS.00047,article,,,,,,
C_000026,000026,crossref,https://aisel.aisnet.org/jais/vol7/iss10/30,646--699,10,7,2006,"Identifying Quality, Novel, and Creative Ideas: Constructs and Scales for Idea Evaluation",Journal of the Association for Information Systems,"Dean, Douglas and Hender, Jillian and Rodgers, Thomas and Santanen, Eric",10.17705/1JAIS.00106,article,,,,,,
C_000027,000027,crossref,https://aisel.aisnet.org/jais/vol19/iss7/5,600--617,,,2018,Demystifying the Influential IS Legends of Positivism,Journal of the Association for Information Systems,"Siponen, Mikko and Tsohou, Aggeliki",10.17705/1JAIS.00503,article,,,,,,
C_000028,000028,crossref,https://aisel.aisnet.org/jais/vol21/iss6/11,1370--1378,,21,2020,Does a Societal Lockdown Treat Gender the Same? Submission and Reviewing Patterns at JAIS During Spring 2020,Journal of the Association for Information Systems,"Van Osch, Wietske and Leidner, Dorothy and Beath, Cynthia",10.17705/1JAIS.00640,article,,,,,,
C_000029,000029,crossref,https://aisel.aisnet.org/jais/vol10/iss10/1,748--781,10,10,2009,A Conjoint Approach to Understanding IT Application Services Outsourcing,Journal of the Association for Information Systems,"Schwarz, Andrew and Jayatilaka, Bandula and Hirschheim, Rudy and Goles, Tim",10.17705/1JAIS.00209,article,,,,,,
C_000030,000030,crossref,https://aisel.aisnet.org/jais/vol21/iss3/6,607--636,3,21,2020,Exploring the Dynamic Influence of Visit Behavior on Online Store Sales Performance: An Empirical Investigation,Journal of the Association for Information Systems,"Luo, Peng and Ngai, Eric and Tian, Xin",10.17705/1JAIS.00614,article,,,,,,
C_000031,000031,crossref,https://aisel.aisnet.org/jais/vol5/iss7/10,247--281,7,5,2004,Managing Technology and Administration Innovations: Four Case Studies on Software Reuse,Journal of the Association for Information Systems,"Sherif, Karma and Menon, Nirup",10.17705/1JAIS.00053,article,,,,,,
C_000032,000032,crossref,https://aisel.aisnet.org/jais/vol8/iss9/29,467--478,9,8,2007,A Lifetime of Theory and Action on the Ethical Use of Computers: A Dialogue with Enid Mumford,Journal of the Association for Information Systems,"Porra, Jaana and Hirschheim, Rudy",10.17705/1JAIS.00139,article,,,,,,
C_000033,000033,crossref,https://aisel.aisnet.org/jais/vol20/iss10/5,1412--1446,,,2019,Specialized Information Systems for the DigitallyDisadvantaged,Journal of the Association for Information Systems,"Pethig, Florian and Kroenung, Julia",10.17705/1JAIS.00573,article,,,,,,
C_000034,000034,crossref,https://aisel.aisnet.org/jais/vol10/iss5/2,430--446,5,10,2009,Ecologies of e-Infrastructures,Journal of the Association for Information Systems,"Hepsø, Vidar and Monteiro, Eric and Rolland, Knut",10.17705/1JAIS.00196,article,,,,,,
C_000035,000035,crossref,https://aisel.aisnet.org/jais/vol21/iss5/6,1191--1213,5,21,2020,Click to Success? The Temporal Effects of Facebook Likes on Crowdfunding,Journal of the Association for Information Systems,"Jin, Yong and Ding, Chao and Duan, Yang and Cheng, Hsing Kenneth",10.17705/1JAIS.00634,article,,,,,,
C_000036,000036,crossref,https://aisel.aisnet.org/jais/vol20/iss4/6,285--316,,,2019,An Economic Analysis of Consumer Learning on Entertainment Shopping Websites,Journal of the Association for Information Systems,"Li, Jin and Guo, Zhiling and Tso, Geoffrey",10.17705/1JAIS.00536,article,,,,,,
C_000037,000037,crossref,https://aisel.aisnet.org/jais/vol21/iss2/4,388--427,,,2020,"""Synthesizing and Integrating Research on IT-Based Value Cocreation: A Meta-Analysis """,Journal of the Association for Information Systems,"Mandrella, Markus and Trang, Simon and Kolbe, Lutz M.",10.17705/1JAIS.00606,article,,,,,,
C_000038,000038,crossref,https://aisel.aisnet.org/jais/vol14/iss5/1,274--282,5,14,2013,Muddling Along to Moving Beyond in IS Research: Getting from Good to Great,Journal of the Association for Information Systems,"Grover, Varun",10.17705/1JAIS.00331,article,,,,,,
C_000039,000039,crossref,https://aisel.aisnet.org/jais/vol7/iss9/25,593--617,9,7,2006,An Evolutionary Information-Processing Theory of Knowledge Creation,Journal of the Association for Information Systems,"Li, Yuan and Kettinger, William",10.17705/1JAIS.00101,article,,,,,,
C_000040,000040,crossref,https://aisel.aisnet.org/jais/vol9/iss2/3,73--94,2,9,2008,Capitalizing on Content: Information Adoption in Two Online communities,Journal of the Association for Information Systems,"Watts, Stephanie and Zhang, Wei",10.17705/1JAIS.00149,article,,,,,,
C_000041,000041,crossref,https://aisel.aisnet.org/jais/vol16/iss6/1,485--514,6,16,2015,Work System Theory as a Platform: Response to a Research Perspective Article by Niederman and March,Journal of the Association for Information Systems,"Alter, Steven",10.17705/1JAIS.00398,article,,,,,,
C_000042,000042,crossref,https://aisel.aisnet.org/jais/vol19/iss7/6,568--599,,,2018,Reinterpreting the Kuhnian Paradigm in Information Systems,Journal of the Association for Information Systems,"Hassan, Nik Rushdi and Mingers, John",10.17705/1JAIS.00502,article,,,,,,
C_000043,000043,crossref,https://aisel.aisnet.org/jais/vol8/iss9/28,479--490,9,8,2007,"ETHICS, Morality and Critique: An Essay on Enid Mumford¡¯s Socio-Technical Approach",Journal of the Association for Information Systems,"Stahl, Bernd",10.17705/1JAIS.00138,article,,,,,,
C_000044,000044,crossref,https://aisel.aisnet.org/jais/vol15/iss4/1,220--243,4,15,2014,Grafting: Balancing Control and Cultivation in Information Infrastructure Innovation,Journal of the Association for Information Systems,"Sanner, Terje and Manda, Tiwonge and Nielsen, Petter",10.17705/1JAIS.00356,article,,,,,,
C_000045,000045,crossref,https://aisel.aisnet.org/jais/vol14/iss8/3,399--419,8,14,2013,Social Mechanisms for Causal Explanation in Social Theory Based IS Research,Journal of the Association for Information Systems,"Avgerou, Chrisanthi",10.17705/1JAIS.00341,article,,,,,,
C_000046,000046,crossref,https://aisel.aisnet.org/jais/vol21/iss5/1,1343--1369,5,21,2020,"Research Perspectives: Design Theory Indeterminacy: What Is it, How Can it Be Reduced, and Why Did the Polar Bear Drown?",Journal of the Association for Information Systems,"Lukyanenko, Roman and Parsons, Jeffrey",10.17705/1JAIS.00639,article,,,,,,
C_000047,000047,crossref,https://aisel.aisnet.org/jais/vol7/iss10/26,722--724,10,7,2006,Comments on the Weber commentary and Lyytinen/King response,Journal of the Association for Information Systems,"Mason, Richard",10.17705/1JAIS.00102,article,,,,,,
C_000048,000048,crossref,https://aisel.aisnet.org/jais/vol15/iss11/4,XX--XXX,11,15,2014,Editorial: The Role of Information Systems in Enabling Open Innovation,Journal of the Association for Information Systems,,10.17705/1JAIS.00381,article,,,,,,
C_000049,000049,crossref,https://aisel.aisnet.org/jais/vol7/iss1/5,91--121,1,7,2006,Plagiarism by Academics: More Complex Than It Seems,Journal of the Association for Information Systems,"Clarke, Roger",10.17705/1JAIS.00080,article,,,,,,
C_000050,000050,crossref,https://aisel.aisnet.org/jais/vol8/iss4/11,255--266,4,8,2007,Post-positivist Review of Technology Acceptance Model.,Journal of the Association for Information Systems,"Silva, Leiser",10.17705/1JAIS.00121,article,,,,,,
C_000051,000051,crossref,https://aisel.aisnet.org/jais/vol17/iss8/1,537--563,8,17,2016,Providing Utility to Utilities: The Value of Information Systems Enabled Flexibility in Electricity Consumption,Journal of the Association for Information Systems,"Fridgen, Gilbert and Häfner, Lukas and König, Christian and Sachs, Thomas",10.17705/1JAIS.00434,article,,,,,,
C_000052,000052,crossref,https://aisel.aisnet.org/jais/vol21/iss3/3,695--734,3,21,2020,A Design Theory for Visual Inquiry Tools,Journal of the Association for Information Systems,"Avdiji, Hazbi and Elikan, Dina and Missonier, Stephanie and Pigneur, Yves",10.17705/1JAIS.00617,article,,,,,,
C_000053,000053,crossref,https://aisel.aisnet.org/jais/vol11/iss12/3,838--867,12,11,2010,"Artifacts, Actors, and Interactions in the Cross-Project Coordination Practices of Open-Source Communities",Journal of the Association for Information Systems,"Chua, Cecil and Yeow, Adrian",10.17705/1JAIS.00249,article,,,,,,
C_000054,000054,crossref,https://aisel.aisnet.org/jais/vol20/iss5/4,570--603,,,2019,A Metadesign Theory for Tailorable Decision Support,Journal of the Association for Information Systems,"Miah, Shah Jahan and Gammack, John G. and McKay, Judy",10.17705/1JAIS.00544,article,,,,,,
C_000055,000055,crossref,https://aisel.aisnet.org/jais/vol21/iss1/7,90--116,,,2020,Developing Theory Through Integrating Human and Machine Pattern Recognition,Journal of the Association for Information Systems,"Lindberg, Aron",10.17705/1JAIS.00593,article,,,,,,
C_000056,000056,crossref,https://aisel.aisnet.org/jais/vol17/iss1/3,1--28,1,17,2016,"Ideational Influence, Connectedness, and Venue Representation: Making an Assessment of Scholarly Capital",Journal of the Association for Information Systems,"Cuellar, Michael and Takeda, Hirotoshi and Vidgen, Richard and Truex, Duane",10.17705/1JAIS.00419,article,,,,,,
C_000057,000057,crossref,https://aisel.aisnet.org/jais/vol1/iss1/9,1--43,1,1,2000,Structuring IS Outsourcing Contracts for Mutual Gain: An Approach to Analyzing Performance Incentive Schemes,Journal of the Association for Information Systems,"Bryson, Noel",10.17705/1JAIS.00009,article,,,,,,
C_000058,000058,crossref,https://aisel.aisnet.org/jais/vol10/iss11/1,834--859,11,10,2009,The Ethics of IT Professionals in Japan and China,Journal of the Association for Information Systems,"Davison, Robert and Martinsons, Maris and Ou, Carol and Murata, Kiyoshi and Drummond, Damon and Li, Yuan and Lo, Henry",10.17705/1JAIS.00212,article,,,,,,
C_000059,000059,crossref,https://aisel.aisnet.org/jais/vol9/iss9/3,519--534,9,9,2008,"Formative vs. Reflective Measurement: Comment on Marakas, Johnson, and Clay (2007)",Journal of the Association for Information Systems,"Hardin, Andrew and Chang, Jerry and Fuller, Mark",10.17705/1JAIS.00170,article,,,,,,
C_000060,000060,crossref,https://aisel.aisnet.org/jais/vol16/iss12/2,980--1015,12,16,2015,"Co-authorship, Homophily, and Scholarly Influence in Information Systems Research",Journal of the Association for Information Systems,"Gallivan, Michael and Ahuja, Manju",10.17705/1JAIS.00416,article,,,,,,
C_000061,000061,crossref,https://aisel.aisnet.org/jais/vol15/iss1/2,1--32,1,15,2014,IT and Agility in the Social Enterprise: A Case Study of St Jude Children’s Research Hospital’s “Cure4Kids” IT-Platform for International Outreach,Journal of the Association for Information Systems,"Richardson, Sandra and Kettinger, William and Banks, Michael and Quintana, Yuri",10.17705/1JAIS.00351,article,,,,,,
C_000062,000062,crossref,https://aisel.aisnet.org/jais/vol9/iss10/6,551--608,10,9,2008,"The Minnesota GDSS Research Project: Group Support Systems, Group Processes, and Outcomes",Journal of the Association for Information Systems,"DeSanctis, Gerardine and Poole, Marshall and Zigurs, Ilze",10.17705/1JAIS.00177,article,,,,,,
C_000063,000063,crossref,https://aisel.aisnet.org/jais/vol16/iss8/1,707--737,8,16,2015,"Leveraging Social Capital to Obtain Top Management Support in Complex, Cross-Functional IT Projects",Journal of the Association for Information Systems,"Liu, Gloria and Wang, Eric and Chua, Cecil",10.17705/1JAIS.00404,article,,,,,,
C_000064,000064,crossref,https://aisel.aisnet.org/jais/vol19/iss2/1,113--123,2,19,2018,Cyberbullying Victimization through Social Networking Sites and Adjustment Difficulties: The Role of Parental Mediation,Journal of the Association for Information Systems,"Wright, Michelle",10.17705/JAIS1.00486,article,,,,,,
C_000065,000065,crossref,https://aisel.aisnet.org/jais/vol8/iss11/34,546--568,11,8,2007,Boundary Objects in Design: An Ecological View of Design Artifacts,Journal of the Association for Information Systems,"Mark, Gloria and Lyytinen, Kalle and Bergman, Mark",10.17705/1JAIS.00144,article,,,,,,
C_000066,000066,crossref,https://aisel.aisnet.org/jais/vol16/iss4/3,213--247,4,16,2015,Rethinking Lurking: Invisible Leading and Following in a Knowledge Transfer Ecosystem,Journal of the Association for Information Systems,"Cranefield, Jocelyn and Yoong, Pak and Huff, Sid",10.17705/1JAIS.00394,article,,,,,,
C_000067,000067,crossref,https://aisel.aisnet.org/jais/vol12/iss1/4,1--31,1,12,2011,Decision Factors for the Adoption and Continued Use of Online Direct Sales Channels among SMEs,Journal of the Association for Information Systems,"Li, Xiaolin and Troutt, Marvin and Brandyberry, Alan and Wang, Tuo",10.17705/1JAIS.00255,article,,,,,,
C_000068,000068,crossref,https://aisel.aisnet.org/jais/vol14/iss4/4,!--XVI,4,14,2013,Expanding the Frontiers of Information Systems Research: Introduction to the Special Issue,Journal of the Association for Information Systems,"Beath, Cynthia and Berente, Nicholas and Gallivan, Michael and Lyytinen, Kalle",10.17705/1JAIS.00330,article,,,,,,
C_000069,000069,crossref,https://aisel.aisnet.org/jais/vol8/iss4/17,206--210,4,8,2007,"Implementation, Innovation, and Related Themes Over The Years In Information Systems Research",Journal of the Association for Information Systems,"Lucas Jr., Henry and Swanson, E. and Zmud, Robert",10.17705/1JAIS.00127,article,,,,,,
C_000070,000070,crossref,https://aisel.aisnet.org/jais/vol18/iss5/1,403--432,5,18,2017,Heuristic Principles and Differential Judgments in the Assessment of Information Quality,Journal of the Association for Information Systems,"Arazy, Ofer and Kopak, Rick and Hadar, Irit",10.17705/1JAIS.00458,article,,,,,,
C_000071,000071,crossref,https://aisel.aisnet.org/jais/vol18/iss5/2,372--402,5,18,2017,Examining Real Options Exercise Decisions in Information Technology Investments,Journal of the Association for Information Systems,"Khan, Sarah and Zhao, Kexin and Kumar, Ram and Stylianou, Antonis",10.17705/1JAIS.00459,article,,,,,,
C_000072,000072,crossref,https://aisel.aisnet.org/jais/vol20/iss9/10,1272--1307,,,2019,"""Blockchain for the IoT: Privacy-Preserving Protection of Sensor Data""",Journal of the Association for Information Systems,"Chanson, Mathieu and Bogner, Andreas and Bilgeri, Dominik and Fleisch, Elgar and Wortmann, Felix",10.17705/1JAIS.00567,article,,,,,,
C_000073,000073,crossref,https://aisel.aisnet.org/jais/vol16/iss12/1,1016--1057,12,16,2015,Contextualist Inquiry into IT-enabled Hospital Revenue Cycle Management: Bridging Research and Practice,Journal of the Association for Information Systems,"Mindel, Vitali and Mathiassen, Lars",10.17705/1JAIS.00415,article,,,,,,
C_000074,000074,crossref,https://aisel.aisnet.org/jais/vol8/iss8/26,409--439,8,8,2007,From Prediction to Explanation: Reconceptualizing and Extending the Perceived Characteristics of Innovating,Journal of the Association for Information Systems,"Higgins, Christopher and Compeau, Deborah and Meister, Darren",10.17705/1JAIS.00136,article,,,,,,
C_000075,000075,crossref,https://aisel.aisnet.org/jais/vol13/iss10/3,797--835,10,13,2012,Cognitive Absorption and Trust for Workplace Collaboration in Virtual Worlds: An Information Processing Decision Making Perspective,Journal of the Association for Information Systems,"Chandra, Shalini and Srivastava, Shirish and Theng, Yin-Leng",10.17705/1JAIS.00310,article,,,,,,
C_000076,000076,crossref,https://aisel.aisnet.org/jais/vol10/iss7/2,533--559,7,10,2009,Using Visual Representations of Data to Enhance Sensemaking in Data Exploration Tasks,Journal of the Association for Information Systems,"Baker, Jeff and Jones, Donald and Burkman, Jim",10.17705/1JAIS.00204,article,,,,,,
C_000077,000077,crossref,https://aisel.aisnet.org/jais/vol20/iss2/2,132--160,,20,2019,Appraisal of Email Use as A Source of Workplace Stress: A Person-Environment Fit Approach,Journal of the Association for Information Systems,"Stich, Jean-Francois and Tarafdar, Monideepa and Stacey, Patrick and Cooper, Sir Cary",10.17705/1JAIS.00531,article,,,,,,
C_000078,000078,crossref,https://aisel.aisnet.org/jais/vol12/iss8/3,518--555,8,12,2011,Toward a New Meta-Theory for Designing Information Systems (IS) Security Training Approaches,Journal of the Association for Information Systems,"Karjalainen, Mari and Siponen, Mikko",10.17705/1JAIS.00274,article,,,,,,
C_000079,000079,crossref,https://aisel.aisnet.org/jais/vol20/iss5/2,629--646,,,2019,Understanding IT-Enabled Social Features in Online Peer-to-Peer Businesses for Cultural Goods,Journal of the Association for Information Systems,"Zifla, Ermira and Wattal, Sunil",10.17705/1JAIS.00546,article,,,,,,
C_000080,000080,crossref,https://aisel.aisnet.org/jais/vol10/iss9/1,686--714,9,10,2009,Technology-Mediated Learning: A Comprehensive Theoretical Model,Journal of the Association for Information Systems,"Gupta, Saurabh and Bostrom, Robert",10.17705/1JAIS.00207,article,,,,,,
C_000081,000081,crossref,https://aisel.aisnet.org/jais/vol19/iss6/3,503--522,06,19,2018,Helpfulness of Online Review Content: The Moderating Effects of Temporal and Social Cues,Journal of the Association for Information Systems,"Huang, Liqiang and Tan, Chaun-Hoo and Ke, Weiling and Wei, Kwok",10.17705/1JAIS.00499,article,,,,,,
C_000082,000082,crossref,https://aisel.aisnet.org/jais/vol7/iss5/11,336--350,5,7,2006,About Reference Disciplines and Reference Differences: A Critique of Wade et al.,Journal of the Association for Information Systems,"Grover, V and Gokhale, Rahul and Lim, Jaejoo and Ayyagari, Ramakrishna",10.17705/1JAIS.00087,article,,,,,,
C_000083,000083,crossref,https://aisel.aisnet.org/jais/vol8/iss9/27,491--507,9,8,2007,Citizen Participation and engagement in the Design of e-Government Services: The Missing Link in Effective ICT Design and Delivery,Journal of the Association for Information Systems,"Olphert, Wendy and Damodaran, Leela",10.17705/1JAIS.00137,article,,,,,,
C_000084,000084,crossref,https://aisel.aisnet.org/jais/vol17/iss10/3,648--673,10,17,2016,Why Individuals Participate in Micro-task Crowdsourcing Work Environment: Revealing Crowdworkers’ Perceptions,Journal of the Association for Information Systems,"Deng, Xuefei and Joshi, K.D.",10.17705/1JAIS.00441,article,,,,,,
C_000085,000085,crossref,https://aisel.aisnet.org/jais/vol13/iss8/2,618--635,8,13,2012,Is This Review Believable? A Study of Factors Affecting the Credibility of Online Consumer Reviews from an ELM Perspective,Journal of the Association for Information Systems,"Cheung, Cindy and Sia, Choon-Ling and Kuan, Kevin",10.17705/1JAIS.00305,article,,,,,,
C_000086,000086,crossref,https://aisel.aisnet.org/jais/vol12/iss1/3,32--56,1,12,2011,Online Impulse Buying: Understanding the Interplay between Consumer Impulsiveness and Website Quality,Journal of the Association for Information Systems,"Wells, John and Parboteeah, Veena and Valacich, Joseph",10.17705/1JAIS.00254,article,,,,,,
C_000087,000087,crossref,https://aisel.aisnet.org/jais/vol13/iss5/1,363--394,5,13,2012,Digitizing Government Interactions with Constituents: An Historical Review of E-Government Research in Information Systems,Journal of the Association for Information Systems,"Belanger, France and Carter, Lemuria",10.17705/1JAIS.00295,article,,,,,,
C_000088,000088,crossref,https://aisel.aisnet.org/jais/vol11/iss4/1,212--249,4,11,2010,An Exploration into the Process of Requirements Elicitation: A Grounded Approach,Journal of the Association for Information Systems,"Chakraborty, Suranjan and Sarker, Saonee and Sarker, Suprateek",10.17705/1JAIS.00225,article,,,,,,
C_000089,000089,crossref,https://aisel.aisnet.org/jais/vol14/iss6/1,312--338,6,14,2013,The Influence of Notational Deficiencies on Process Model Comprehension,Journal of the Association for Information Systems,"Figl, Kathrin and Mendling, Jan and Strembeck, Mark",10.17705/1JAIS.00335,article,,,,,,
C_000090,000090,crossref,https://aisel.aisnet.org/jais/vol18/iss9/1,648--686,9,18,2017,The Role of Business Intelligence and Communication Technologies in Organizational Agility: A Configurational Approach,Journal of the Association for Information Systems,"Park, YoungKi and Sawy, Omar and Fiss, Peer",10.17705/1JAIS.00001,article,,,,,,
C_000091,000091,crossref,https://aisel.aisnet.org/jais/vol11/iss1/1,34--59,1,11,2010,Effects of Interactivity on Website Involvement and Purchase Intention,Journal of the Association for Information Systems,"Jiang, Zhenhui and Chan, Jason and Tan, Bernard and Chua, Wei",10.17705/1JAIS.00218,article,,,,,,
C_000092,000092,crossref,https://aisel.aisnet.org/jais/vol15/iss2/1,86--110,2,15,2014,The Role of Signaling Identity in the Adoption of Personal Technologies,Journal of the Association for Information Systems,"Arbore, Alessandro and Soscia, Isabella and Bagozzi, Richard",10.17705/1JAIS.00352,article,,,,,,
C_000093,000093,crossref,https://aisel.aisnet.org/jais/vol16/iss4/2,248--280,4,16,2015,The Role of IS Capabilities in the Development of Multi-Sided Platforms: The Digital Ecosystem Strategy of Alibaba.com,Journal of the Association for Information Systems,"Tan, Barney and Pan, Shan and Lu, Xianghua and Huang, Lihua",10.17705/1JAIS.00393,article,,,,,,
