ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,abstract,language,author,cited_by,fulltext,url,dblp_key,metadata_source
000011,article,10.1080/026839697345170,Journal of Information Technology,Resolving conflict of interests in the process of an information system implementation for advanced telecommunication services,1997,12,1,3--13,,,"Ahn, Jae-Hyeon and Skudlark, Ann E",12,,,,
000012,article,10.1080/02683960210161258,Journal of Information Technology,Managing Risk in a New Telecommunications Service Development Process through a Scenario Planning Approach,2002,17,3,103--118,"Managing risk in a new product and service development process is one of the major challenges for many business managers. A scenario planning approach was incorporated into a new telecommunications service development process in order to understand the uncertainties shaping the future economic, business and technological environments. Understanding the major drivers for uncertainties helped in gaining insight and thereby generated new strategies for reducing risks and taking advantage of opportunities from uncertainty. In order to demonstrate the process and value of the approach, it was applied to a new telecommunications service concept, the Phoneweb service, which allows Internet access through telephones rather than a computer interface.",eng,"Ahn, Jae-Hyeon and Skudlark, Ann",21,http://journals.sagepub.com/doi/pdf/10.1080/02683960210161258,,,
000013,article,10.1057/JIT.2013.10,Journal of Information Technology,"The Ongoing Quest for the it Artifact: Looking Back, Moving Forward",2013,28,2,150--166,"More than 10 years ago, Orlikowski and Iacono (2001) examined the conceptualization of Information Technology (IT) in Information Systems Research (ISR) articles published in the 1990s. Their main conclusion was that the majority of these articles did not properly conceptualize the IT artifact. They recommended that IS researchers start to theorize about the IT artifact and employ rich conceptualizations of IT. The Orlikowski and Iacono paper provides a strong anchor point from which to analyze the evolution of the IS discipline. In order to obtain an up-to-date image of contemporary IS research, and to assess how the IS field has evolved since the 1990s, we carried out a similar analysis on a more recent and broader set of articles, that is, the full set (N = 644) of papers published between 2006 and 2009 by six top North American (ISR, MISQ, JAIS) and European (JIT, ISJ, EJIS) journals. The statistics in our results reveal no drastic advance in terms of deeper engagement with the IT artifact; more than 39% of the articles in our set are virtually mute about the artifact, and less than 16% employ an ensemble view of IT. Moreover, we note differences among the North American and European journals. Implications of the findings for two perspectives central to the IS research legitimacy debate are discussed.",eng,"Akhlaghpour, Saeed and Wu, Jing and Lapointe, Liette and Pinsonneault, Alain",32,,,,
000014,article,10.1057/JIT.1986.1,Journal of Information Technology,Editorial,1986,1,1,5--5,,eng,"Aleksander, Igor",0,,,,
000015,article,10.1057/JIT.1986.3,Journal of Information Technology,Information Technology and the Management of Change,1986,1,1,7--13,,eng,"Aleksander, Igor",1,,,,
000016,article,10.1057/JIT.1986.23,Journal of Information Technology,Advanced IT: Decision Aids for Robotics,1986,1,2,46--54,,eng,"Aleksander, Igor",0,,,,
000017,article,10.1057/JIT.1986.8,Journal of Information Technology,The Strassmann Payoff,1986,1,1,46--48,,eng,"Aleksander, Igor",0,,,,
000018,article,10.1057/JIT.1986.14,Journal of Information Technology,Editorial,1986,1,2,5--5,,eng,"Aleksander, Igor",0,,,,
000019,article,10.1057/JIT.1986.39,Journal of Information Technology,Managing for Innovation – Leading Technical People,1986,1,4,61--62,,eng,"Aleksander, Igor",0,,,,
000020,article,10.1057/JIT.1986.25,Journal of Information Technology,The Study of Information: Interdisciplinary Messages,1986,1,2,57--59,,eng,"Aleksander, Igor",0,,,,
000021,article,10.1057/JIT.1986.26,Journal of Information Technology,Editorial,1986,1,3,5--5,,eng,"Aleksander, Igor",0,,,,
000022,article,10.1057/JIT.1986.38,Journal of Information Technology,Analysis and Design of Information Systems,1986,1,4,61--61,,eng,"Aleksander, Igor",0,,,,
000023,article,10.1057/JIT.1986.33,Journal of Information Technology,Editorial,1986,1,4,5--5,,eng,"Aleksander, Igor",0,,,,
000024,article,10.1057/JIT.1986.32,Journal of Information Technology,The Video Education Magazine,1986,1,3,43--43,,eng,"Aleksander, Igor",0,,,,
000025,article,10.1057/JIT.1986.35,Journal of Information Technology,Re-inventing Information: The Struggle for an Artificial Intelligence,1986,1,4,33--38,,eng,"Aleksander, Igor",0,,,,
000026,article,10.1057/JIT.1987.1,Journal of Information Technology,Editorial,1987,2,1,5--5,,eng,"Aleksander, Igor",0,,,,
000027,article,10.1057/JIT.1987.10,Journal of Information Technology,The Electronic Office in the Smaller Business,1987,2,1,49--50,,eng,"Aleksander, Igor",0,,,,
000028,article,10.1057/JIT.1987.17,Journal of Information Technology,Beyond Information Technology: The Force of Human Reason,1987,2,2,84--87,,eng,"Aleksander, Igor",0,,,,
000029,article,10.1057/JIT.1987.11,Journal of Information Technology,Editorial,1987,2,2,57--57,,eng,"Aleksander, Igor",0,,,,
000030,article,10.1057/JIT.1987.21,Journal of Information Technology,Editorial,1987,2,3,109--109,,eng,"Aleksander, Igor",0,,,,
000031,article,10.1057/JIT.1987.24,Journal of Information Technology,IT Research Direction in the United Kingdom: the Danger of Future Collapse,1987,2,3,119--123,,eng,"Aleksander, Igor",0,,,,
000032,article,10.1057/JIT.1987.30,Journal of Information Technology,Editorial,1987,2,4,160--160,,eng,"Aleksander, Igor",0,,,,
000033,article,10.1057/JIT.1987.40,Journal of Information Technology,The Information Weapon,1987,2,4,226--227,,eng,"Aleksander, Igor",0,,,,
000034,article,10.1057/JIT.1989.13,Journal of Information Technology,Why Neural Computing?,1989,4,2,108--111,,eng,"Aleksander, I",1,,,,
000035,article,10.1057/PALGRAVE.JIT.2000001,Journal of Information Technology,Advances in Intelligent Information Technology: Re-Branding or Progress towards Conscious Machines?,2004,19,1,21--27,"Is artificial intelligence (AI) just something that is done in laboratories disconnected from the development of the pragmatic computing, which constitutes current information technology or does it contribute to progress in computing and information technology? It has even been suggested that advances in AI are merely a re-branding exercise for promises that are rarely kept. This paper is a personal view of the forces that have driven the development of AI in the past and what might be a serious paradigm shift in the future. The latter points to what appears to be the most abstruse corner of the subject: the modelling of the human brain and the possibility of designing systems with the brain's ability to create conscious thought. There have been accusations that AI is always ahead on promise and behind on delivery. This is an inaccurate view. In broad terms, the argument presented here suggests that as AI developed, progress was achieved by overcoming unforeseen difficulties in the pursuit of very ambitious targets, not just a re-branding of promises. This process not only advanced AI but also fed into the mainstream of computing that underpins the information technology of the present time. While the outcome of the paradigm shift towards conscious machines, which is examined at the end of this paper is still unclear, it is possible to speculate how information technology might be affected in the future.",eng,"Aleksander, Igor",3,,,,
000036,article,10.1057/S41265-016-0032-4,Journal of Information Technology,Partners of Humans: A Realistic Assessment of the Role of Robots in the Foreseeable Future,2017,32,1,1--9,"As robots are generally thought to perform human-like tasks, they depend on the successes of information technology in the area of artificial intelligence to succeed in such pursuits. But robots, through their anthropomorphic character and their weighty presence in science fiction, attract the attention of the press and the media in a way that, at times, blurs the distinction between the actual state of the art and exaggerated claims. This makes it hard to assess the true functional positioning of robots, how this is likely to move forward and whether the outcome of progress could be detrimental to human society. The aim of this paper is to review the actual level of competence that is being achieved in robotics research laboratories and a plausible impact that this is likely to have on human control over life and jobs. The key thesis here is that cognition in machines and even an artificial form of consciousness lead to operations in a set of tasks (the ‘algorithmic’ category) which is different from that available to truly cognitive and conscious human beings (the ‘life-need’ category): that is, in the paper it is argued that a major category error (Ryle in The concept of mind, University of Chicago Press, Chicago, 1949) looms in predictions of serious threats to humanity. As far as a threat to jobs goes, it is argued that early attention to education and re-skilling of humans in the workplace can lead to an effective symbiosis between people and robots.",eng,"Aleksander, Igor",35,,,,
000037,article,10.1057/JIT.1988.1,Journal of Information Technology,Editorial,1988,3,1,5--5,,eng,"Aleksander, Igor and Holloway, Henry",0,,,,
000038,article,10.1057/PALGRAVE.JIT.2000048,Journal of Information Technology,It and the Video Game Industry: Tensions and Mutual Shaping,2005,20,4,234--244,"This paper examines the influence of information technology (IT) on a distinct but closely related industry, the video game industry. We conceptualize the effects of IT as a process of translating three related dimensions of a technological frame - technology performance, industry practices, and use vision - from one industry to another. Through historical examples, we argue that the impact of IT on the video game industry is shaped and limited by this translation process, particularly when tensions between the two industries lead to the development of new complementary or replacement technologies, practices, or visions. Although heavily dependent on IT, the video game industry has had to ignore, postpone, or substantially modify important IT software tools, processors, storage media, graphics, and networking technologies because of these industry contradictions.",eng,"Allen, Jonathan P and Kim, Jeffrey",8,,,,
000039,article,10.1057/PALGRAVE.JIT.2000075,Journal of Information Technology,A co–Evolutionary Complex Systems Perspective on Information Systems,2006,21,4,229--238,"The co-evolution of information systems (IS) and the processes that underpin the construction and development of IT systems are explained from a complex systems perspective. Evolution operates at the microscopic level; in organizations, this is the individual or agent. Each agent has an idiosyncratic view of the organization, using to some extent personal constructs in dealing with the reality of organizational life. These objects or constructs can be described and measured by most agents; they are well defined. Many of these objects are represented in electronic, IT systems. Each agent also has their own view as to how they know what they know, that is, their epistemology, which we argue is their IS, and is wider than the IT systems they use. The IS of each agent co-evolves, by interaction with other agents, based on the agent's view of reality. The interaction of all agents constitutes the organization. Even more importantly, different values and interests motivate each agent. This is their axiology and it is what motivates them to learn and to develop their IS. An agent-based axiological framework is essential to understanding the evolution of organizations. It is the interaction of agents that builds consensus as to the shared reality of the organization, and this affects each agent's ability and motivation to evolve IS further. In addition, we propose that it is time that IT systems included modelling capabilities, based on multi-agent representations of the organization and its context, to explore and support strategic thinking and decision making.",eng,"Allen, Peter M and Varga, Liz",23,,,,
000040,article,10.1057/JIT.1992.22,Journal of Information Technology,MIS success: why does it vary among users?,1992,7,3,160--168,,eng,"Allingham, Patricia and O'Connor, Marcus",10,,,,
000041,article,10.1057/JIT.1986.31,Journal of Information Technology,Some Comments on the Nature and Use of Human Factors Standards for Software Interface Design,1986,1,3,40--42,,eng,"Allison, G A and Maguire, M C",2,,,,
000042,article,10.1057/JIT.2010.14,Journal of Information Technology,Conviviality of Internet Social Networks: An Exploratory Study of Internet Campaigns in Iran,2010,25,2,244--257,"In this study, we focus on the relationship between Internet social networks and societal change by examining case studies of the impact of Internet-based campaigns in Iran. Ivan Illich's theory of ‘Conviviality of Tools’ enables an analysis of the conviviality of the Internet. Subsequently, this conceptual lens is used to examine empirical data from two Internet-based campaigns. The paper contributes theoretical and practical Implications regarding conviviality of Internet social networks and the accomplishment of conviviality in society. Our findings show that Internet conviviality cannot be treated as an independent variable with deterministic outcomes on society, but as a technology that is shaped by ongoing economic and political forces. The Iranian Internet social networks are not universally accessible, frequently induce fragmented, nonsensical, and enraged discussion and its potential as a tool of liberation is tempered by the Iranian government adaption of systems of surveillance and censorship. We argue that the findings of this study have some general implications of value to researchers studying computerisation movements and Internet social networks in other countries.",eng,"Ameripour, Aghil and Nicholson, Brian and Newman, Michael",32,,,,
000043,article,10.1057/JIT.1987.32,Journal of Information Technology,Work Redesign in the Microelectronics Age: the New Challenges,1987,2,4,171--179,,eng,"Rajan, Amin",0,,,,
000044,article,10.1057/JIT.2010.7,Journal of Information Technology,Exploring the Impact of Soclo-Technlcal Core-Periphery Structures in Open Source Software Development,2010,25,2,216--229,"In this paper we apply the social network concept of core-periphery structure to the socio-technical structure of a software development team. We propose a socio-technical pattern that can be used to locate emerging coordination problems in Open Source projects. With the help of our tool and method called TESNA, we demonstrate a method to monitor the socio-technical core-periphery movement in Open Source projects. We then study the impact of different core-periphery movements on Open Source projects. We conclude that a steady core-periphery shift towards the core is beneficial to the project, whereas shifts away from the core are clearly not good. Furthermore, oscillatory shifts towards and away from the core can be considered as an Indication of the instability of the project. Such an analysis can provide developers with a good Insight into the health of an Open Source project. Researchers can gain from the pattern theory, and from the method we use to study the core-periphery movements.",eng,"Amrit, Chintan and van Hillegersberg, Jos",24,,,,
000045,article,10.1057/JIT.1996.12,Journal of Information Technology,Book reviews,1996,11,4,381--382,,eng,"Anderton, Matthew",0,,,,
000046,article,10.1057/JIT.1986.5,Journal of Information Technology,Information Routeing Groups – Towards the Global Superbrain: or how to find out what you need to know rather than what you think you need to know,1986,1,1,22--35,,eng,"Andrews, David",1,,,,
000047,article,10.1080/026839600344401,Journal of Information Technology,Eight scenarios of national information superhighway development,2000,15,1,53--67,,,"Angelides, Marios C. and Agius, Harry W.",3,,,,
000048,article,10.1057/JIT.1995.7,Journal of Information Technology,Implementing multiple tutoring strategies in an intelligent tutoring system for music learning,1995,10,1,52--62,,eng,"Angelides, Marios C and Tong, Amelia K Y",8,,,,
000049,article,10.1057/JIT.1990.35,Journal of Information Technology,Systems thinking about information systems and strategies,1990,5,3,168--174,,eng,"Angell, Ian O",6,,,,
000050,article,10.1057/JIT.1989.15,Journal of Information Technology,New Techology and Industrial Relations,1989,4,2,114--117,,eng,,0,,,,
000051,article,10.1057/JIT.1990.27,Journal of Information Technology,Distributed group communication – the AMIGO international model,1990,5,2,119--119,,eng,,0,,,,
000052,article,10.1057/JIT.1990.26,Journal of Information Technology,Understanding data communications,1990,5,2,119--119,,eng,,0,,,,
000053,article,10.1057/JIT.1992.18,Journal of Information Technology,Editorial,1992,7,3,125--126,,eng,,0,,,,
000054,article,10.1057/JIT.1993.1,Journal of Information Technology,Editorial,1993,8,1,1--2,,eng,,0,,,,
000055,article,10.1057/JIT.1994.17,Journal of Information Technology,Editorial,1994,9,3,171--172,,eng,,0,,,,
000056,article,10.1057/JIT.1994.1,Journal of Information Technology,Editorial,1994,9,1,1--2,,eng,,0,,,,
000057,article,10.1057/JIT.1994.27,Journal of Information Technology,Editorial,1994,9,4,249--250,,eng,,0,,,,
000058,article,10.1057/JIT.1995.1,Journal of Information Technology,Editorial,1995,10,1,1--2,,eng,,1,,,,
000059,article,10.1057/JIT.1995.17,Journal of Information Technology,Editorial,1995,10,3,133--134,,eng,,0,,,,
000060,article,10.1057/JIT.1995.8,Journal of Information Technology,Editorial,1995,10,2,63--64,,eng,,1,,,,
000061,article,10.1080/026839696345315,Journal of Information Technology,Editorial,1996,11,2,99--100,,,,0,,,,
000062,article,10.1080/026839697344973,Journal of Information Technology,Editorial,1997,12,4,243--244,,,,0,,,,
000063,article,10.1080/026839697345017,Journal of Information Technology,"IS outsourcing practices in the USA, Japan and Finland: a comparative study",1997,12,4,289--304,,,"Apte, Uday M and Sobol, Marion G and Hanaoka, Sho and Shimada, Tatsumi and Saarinen, Timo and Salmela, Timo and Vepsalainen, Ari P J",61,,,,
000064,article,10.1057/PALGRAVE.JIT.2000032,Journal of Information Technology,A Cost-Oriented Approach for the Design of IT Architectures,2005,20,1,32--51,"Multiple combinations of hardware and network components can be selected to design an information technology (IT) infrastructure that satisfies organizational requirements. The professional criterion to deal with these degrees of freedom is cost minimization. However, a scientific approach has been rarely applied to cost minimization and a rigorous verification of professional design guidelines is still lacking. The methodological contribution of this paper is the representation of complex infrastructural design issues as a single cost-minimization problem. The approach to cost-minimization is empirically verified with a database of costs that has also been built as part of this research. The paper shows how an overall cost-minimization approach can provide significant cost reductions and indicates that infrastructural design rules previously identified by the professional literature can lead to sub-optimal solutions.",eng,"Ardagna, Danilo and Francalanci, Chiara",2,,,,
000065,article,10.1057/JIT.2016.11,Journal of Information Technology,Knowledge Entrepreneurship: Institutionalising Wiki-based Knowledge-management Processes in Competitive and Hierarchical Organisations,2016,31,2,226--239,"Social media in general and wikis in particular offer unique opportunities for knowledge management. Despite widely publicised successes in public settings, wikis in businesses evince mixed results; enterprises struggle to apply wikis to institutionalise knowledge-management practices. We investigate the inherent tensions underlying knowledge-sharing in competitive and hierarchical organisations. Our application of the multi-level organisational learning framework demonstrates that, although wikis facilitate some important learning stages, other critical challenges remain. A unique blend of project leadership can facilitate the institutionalisation of wiki-based knowledge-management processes. To observe the leadership archetype, we use a longitudinal case study of wiki use within a division of NBC Universal. On the basis of our observations, we propose a new archetype of project leadership called Knowledge Entrepreneurship that integrates managerial skills, technology affordances, and critical factors in knowledge-management processes.",eng,"Argyris, Young ‘Anna’ and Ransbotham, Sam",17,,,,
000066,article,10.1057/PALGRAVE.JIT.2000035,Journal of Information Technology,A Critical Analysis of Decision Support Systems Research,2005,20,2,67--87,"This paper critically analyses the nature and state of decision support systems (DSS) research. To provide context for the analysis, a history of DSS is presented which focuses on the evolution of a number of sub-groupings of research and practice: personal DSS, group support systems, negotiation support systems, intelligent DSS, knowledge management-based DSS, executive information systems/business intelligence, and data warehousing. To understand the state of DSS research an empirical investigation of published DSS research is presented. This investigation is based on the detailed analysis of 1,020 DSS articles published in 14 major journals from 1990 to 2003. The analysis found that DSS publication has been falling steadily since its peak in 1994 and the current publication rate is at early 1990s levels. Other findings include that personal DSS and group support systems dominate research activity and data warehousing is the least published type of DSS. The journal DSS is the major publishing outlet; US ‘Other’ journals dominate DSS publishing and there is very low exposure of DSS in European journals. Around two-thirds of DSS research is empirical, a much higher proportion than general IS research. DSS empirical research is overwhelming positivist, and is more dominated by positivism than IS research in general. Design science is a major DSS research category. The decision support focus of the sample shows a well-balanced mix of development, technology, process, and outcome studies. Almost half of DSS papers did not use judgement and decision-making reference research in the design and analysis of their projects and most cited reference works are relatively old. A major omission in DSS scholarship is the poor identification of the clients and users of the various DSS applications that are the focus of investigation. The analysis of the professional or practical contribution of DSS research shows a field that is facing a crisis of relevance. Using the history and empirical study as a foundation, a number of strategies for improving DSS research are suggested.",eng,"Arnott, David and Pervan, Graham",256,,,,
000067,article,10.1057/JIT.2014.16,Journal of Information Technology,A Critical Analysis of Decision Support Systems Research Revisited: The Rise of Design Science,2014,29,4,269--293,"In 2005 the Journal of Information Technology article ‘A critical analysis of decision support systems research’ analyzed 1020 decision support systems (DSS) articles from 1990 to 2003. Since 2003 business intelligence (BI) and business analytics have gained popularity in practice. In theory and research the period since 2003 has seen a change in the decision-making theory orthodoxy and the codification and acceptance of design science. To investigate the changes in the DSS field, a number of expectations were derived from previous literature analyses. These expectations were assessed using bibliometric content analysis. The article sample to 2010 now includes 1466 articles from 16 journals. The analysis of the expectations yields mixed results for the DSS field. On the negative side, there has been an overall decline in DSS publishing, the relevance of DSS research published in journals to IT professionals has declined, and the rigor of DSS research designs has not improved. On the positive side, there has been improvement in relevance to managers, grant funding of DSS research has increased, there has been a positive shift in judgment and decision-making foundations, BI publishing has increased, and group support systems publishing has reduced to a more balanced level. An important result from the analysis of the last 7 years of DSS research is the significant increase in DSS design-science research (DSR) to almost half of published articles. It is clear from the analysis that DSS is undergoing a transition from a field based on statistical hypothesis testing and conceptual studies to one where DSR is the most popular method.",eng,"Arnott, David and Pervan, Graham",86,,,,
000068,article,10.1057/JIT.2009.4,Journal of Information Technology,Dynamic Collaboration: A Personal Reflection,2009,24,3,214--218,"This paper explores the nature of, and possibilities arising from, dynamic collaboration, where large numbers of people can collaborate on an evolving set of initiatives, without prior knowledge of each other. It references early examples of dynamic collaboration including Topcoder, Innocentive, Zopa, and Wikipedia. It then speculates about the future of dynamic collaboration.",eng,"Aron, Dave",2,,,,
000069,article,10.1057/PALGRAVE.JIT.2000136,Journal of Information Technology,Information Systems in Developing Countries: A Critical Research Review,2008,23,3,133--146,"In this paper I review the Information Systems (IS) research on how developing countries have attempted to benefit from information and communication technologies (ICTs). First I identify three discourses on IS implementation and associated organizational and social change that coexist in information systems in developing countries (ISDC) research, namely as a process of technology and knowledge transfer and adaptation to local social conditions; as a process of socially embedded action; and as a process of transformative techno-organizational intervention associated with global politics and economics. I then point out the distinctive research agenda that has been formed in ISDC studies, both in the more familiar IS themes - failure, outsourcing, and strategic value of ICT - and also in studies of themes relevant specifically to the context of developing countries, such as the development of community ICT and information resources. Finally, I call the reader's attention to the potentially significant theoretical contributions of ISDC research for understanding IS innovation in relation to social context and in relation to socio-economic development theories and policies.",eng,"Avgerou, Chrisanthi",326,,,,
000070,article,10.1057/JIT.2010.29,Journal of Information Technology,Comments on Allen Lee's article ‘Retrospect and prospect’: information systems research in the last and next 25 years’ from a socio-theoretical IS research perspective,2010,25,4,355--357,,eng,"Avgerou, Chrisanthi",1,,,,
000071,article,10.1057/JIT.1993.38,Journal of Information Technology,A review of the methodologies movement,1993,8,4,277--286,,eng,"Avgerou, Chrisanthi and Cornford, Tony",7,,,,
000072,article,10.1057/PALGRAVE.JIT.2000061,Journal of Information Technology,Claudio Ciborra and the Information Systems Field: Legacy and Development,2006,21,3,127--128,,eng,"Avgerou, Chrisanthi and Hanseth, Ole and Willcocks, Leslie",0,,,,
000073,article,10.1057/S41265-016-0022-6,Journal of Information Technology,"Growth in ICT Uptake in Developing Countries: New Users, New Uses, New Challenges",2016,31,4,329--333,,eng,"Avgerou, Chrisanthi and Hayes, Niall and La Rovere, Renata Lèbre",10,,,,
000074,article,10.1057/JIT.2012.6,Journal of Information Technology,From Espoused Values to Action: A Commentary on ‘Are We Making a Better World with ICTs?’,2012,27,2,104--105,,eng,"Avison, David",5,,,,
000075,article,10.1057/JIT.2008.16,Journal of Information Technology,Cross-Cultural (mis)Communication in IS Offshoring: Understanding through Conversation Analysis,2008,23,4,249--268,"The offshoring of information systems (IS) work has seen phenomenal growth in the past 5 or more years. This has resulted in IS professionals, interacting with workers from vastly different cultural backgrounds, in order to deliver IS project and support services. This cultural ‘barrier’ has been highlighted in the IS literature as a key challenge for offshoring; however, the attention given to research in the field has in the main been restricted to surveys or interviews, often reliant on reductionist national culture models. Within the fields of linguistics and anthropology, the ethnographic research technique of conversation analysis (CA) has been successfully applied to cross-cultural communications. However, there have been no concerted research efforts to apply CA to IS research in general and to IS offshoring in particular. Our research aims to address that gap by analysing naturally occurring recordings of telephone conferences between offshore vendor staff in India and UK/US employees of a major pharmaceutical company. The research has identified and analysed two important phenomena observed within these communications. Firstly, evidence of asymmetries of participation across cultural divides has been documented, and analysed for underlying causes, such as different attitudes to hierarchy and a lack of shared understanding of expected responses. Secondly, differences in the rhetorical organisation of conversation by participants have also been observed and clearly documented within transcribed specimens of these conversations. These phenomena led to seven findings that are aimed to stimulate further research. Finally, and perhaps most importantly, this paper demonstrates how the methodological approach of CA can be applied to IS offshoring research, producing key insights into culturally loaded conversations with clear applications for practice. We hope that this evidence of the potential of CA in IS research will inspire IS researchers to use the approach in other domains as well as in further work in offshoring situations.",eng,"Avison, David and Banks, Peter",21,,,,
000076,article,10.1057/JIT.2014.8,Journal of Information Technology,Is Theory King?: Questioning the Theory Fetish in Information Systems,2014,29,4,327--336,"This paper suggests that there is too much emphasis on the requirement for theory use and theory building in qualitative research published in our leading journals. We discuss six concerns that we have that relate to this high status of theory in such papers. We argue for what we refer to as ‘theory light’ papers where theory plays no significant part in the paper and the contribution lies elsewhere, for example, new arguments, facts, patterns or relationships. Some examples of theory light papers (and research) are provided from other disciplines and one exemplar information systems paper is studied in depth. We see these papers as equally worthy as those which demonstrate the applicability and predictive qualities of theory use as well as the potential of theory building. We propose a list of 10 questions that authors and reviewers might ask themselves when writing or reviewing such theory light papers. The more demanding role of the reader is also discussed along with the requirement for editorial teams to adapt. We suggest that the requirement for a contribution to theory would be replaced with the requirement that any journal paper has a high potential for stimulating research that will impact on information systems theory and/or practice.",eng,"Avison, David and Malaurent, Julien",61,,,,
000077,article,10.1057/JIT.2014.24,Journal of Information Technology,Is Theory King?: A Rejoinder,2014,29,4,358--361,"In this rejoinder we discuss six commentaries to our earlier debates and perspectives paper ‘Is theory king?: questioning the theory fetish in information systems’. We argue again for theory light rather than theory free papers, we discuss the potential scope of theories in information systems, we reflect on our terminology and exemplar paper, and we discuss the relevance of our arguments on quantitative research before looking at potential further opportunities to debate this important issue for information systems.",eng,"Avison, David and Malaurent, Julien",5,,,,
