id,ID,orig_ID,orig_source,number,volume,title,journal,author,grobid-version,file,ENTRYTYPE,doi,year,note
10,P_0000000013,13,pdf,1.0,34.0,AN EMPIRICAL ANALYSIS OF THE IMPACT OF INFORMATION CAPABILITIES DESIGN ON BUSINESS PROCESS OUTSOURCING PERFORMANCE 1,MIS Quarterly,"Mani, Deepa and Barua, Anitesh and Whinston, Andrew",lfoppiano/grobid:0.8.1,data/pdfs/34_1/ManiBaruaWhinston2010.pdf,article,,,
11,P_0000000014,14,pdf,3.0,27.0,THE INFLUENCE OF QUERY INTERFACE DESIGN ON DECISION-MAKING PERFORMANCE 1,MIS Quarterly,"Morris, Speier & and Speier, Cheri and Broad, Eli and Morris, Michael G",lfoppiano/grobid:0.8.1,data/pdfs/27_3/SpeierMorris2003.pdf,article,,,
12,P_0000000015,15,pdf,1.0,23.0,c MIS rterly,MIS Quarterly,"Sahay, Walsham & and Gis In India, /. and Walsham, Geoff and Sahay, Sundeep",lfoppiano/grobid:0.8.1,data/pdfs/23_1/WalshamSahay1999.pdf,article,,,
13,P_0000000016,16,pdf,3.0,26.0,EDITOR'S COMMENTS The Alliance,MIS Quarterly,"Weber, Ron",lfoppiano/grobid:0.8.1,data/pdfs/26_3/Weber2002b.pdf,article,,,
14,P_0000000017,17,pdf,3.0,39.0,EXTENDING ICT4D STUDIES: THE VALUE OF CRITICAL RESEARCH 1,MIS Quarterly,"Lin, Cecilia I C and Kuo, Feng-Yang and Myers, Michael D",lfoppiano/grobid:0.8.1,data/pdfs/39_3/LinKuoMyers2015.pdf,article,,,
15,P_0000000018,18,pdf,3.0,37.0,SPECIAL ISSUE: CRITICAL REALISM IN IS RESEARCH THE BROADER CONTEXT FOR ICT4D PROJECTS: A MORPHOGENETIC ANALYSIS 1,MIS Quarterly,"Muranga Njihia, James and Merali, Yasmin",lfoppiano/grobid:0.8.1,data/pdfs/37_3/NjihiaMerali2013.pdf,article,,,
16,P_0000000019,19,pdf,2.0,35.0,EDITOR'S COMMENTS An Update and Extension to SEM Guidelines for Administrative and Social Science Research 1,MIS Quarterly,"Gefen, David and Rigdon, Edward E and Straub, Detmar",lfoppiano/grobid:0.8.1,data/pdfs/35_2/GefenRigdonStraub2011.pdf,article,,,
17,P_0000000020,20,pdf,3.0,12.0,Airline Reservations Systems: Lessons From History,MIS Quarterly,"Copeland, Duncan G and Mckenney, James L",lfoppiano/grobid:0.8.1,data/pdfs/12_3/CopelandMcKenney1988.pdf,article,,,
18,P_0000000021,21,pdf,1.0,34.0,WHAT MAKES A HELPFUL ONLINE REVIEW? A STUDY OF CUSTOMER REVIEWS ON AMAZON.COM 1,MIS Quarterly,"Mudambi, Susan M and Schuff, David",lfoppiano/grobid:0.8.1,data/pdfs/34_1/MudambiSchuff2010.pdf,article,,,
19,P_0000000022,22,pdf,3.0,34.0,NEUTRALIZATION: NEW INSIGHTS INTO THE PROBLEM OF EMPLOYEE INFORMATION SYSTEMS SECURITY POLICY VIOLATIONS 1,MIS Quarterly,"Siponen, Mikko and Vance, Anthony",lfoppiano/grobid:0.8.1,data/pdfs/34_3/SiponenVance2010.pdf,article,,,
20,P_0000000023,23,pdf,3.0,25.0,UNDERSTANDING INFORMATION SYSTEMS CONTINUANCE: AN EXPECTATION-CONFIRMATION MODEL 1,MIS Quarterly,"Bhattacherjee, Anol",lfoppiano/grobid:0.8.1,data/pdfs/25_3/Bhattacherjee2001.pdf,article,,,
21,P_0000000024,24,pdf,4.0,13.0,Reducing Data Processing Costs Through Centralized Procurement,MIS Quarterly,"Taylor, James R",lfoppiano/grobid:0.8.1,data/pdfs/13_4/TaylorTucker1989.pdf,article,,,
22,P_0000000025,25,pdf,2.0,46.0,CROSS-LINGUAL CYBERSECURITY ANALYTICS IN THE INTERNATIONAL DARK WEB WITH ADVERSARIAL DEEP REPRESENTATION LEARNING 1,MIS Quarterly,"Ebrahimi, Mohammadreza and Chai, Yidong and Samtani, Sagar and Chen, Hsinchun",lfoppiano/grobid:0.8.1,data/pdfs/46_2/EbrahimiChaiSamtaniEtAl2022.pdf,article,10.25300/MISQ/2022/16618,,
23,P_0000000026,26,pdf,4.0,25.0,WEB-BASED VIRTUAL LEARNING ENVIRONMENTS: A RESEARCH FRAMEWORK AND A PRELIMINARY ASSESSMENT OF EFFECTIVENESS IN BASIC IT SKILLS TRAINING 1,MIS Quarterly,"Piccoli, Gabriele and Ahmad, Rami and Ives, Blake",lfoppiano/grobid:0.8.1,data/pdfs/25_4/PiccoliAhmadIves2001.pdf,article,,,
24,P_0000000027,27,pdf,2.0,39.0,SUPPORT STRUCTURES AND THEIR IMPACTS ON EMPLOYEE OUTCOMES: A LONGITUDINAL FIELD STUDY OF AN ENTERPRISE SYSTEM IMPLEMENTATION 1,MIS Quarterly,"Sykes, Tracy Ann",lfoppiano/grobid:0.8.1,data/pdfs/39_2/Sykes2015.pdf,article,,,
25,P_0000000028,28,pdf,1.0,20.0,An Empirical Examination of the Value of Creativity Support Systems on Idea Generation,MIS Quarterly,"Massetti, Brenda",lfoppiano/grobid:0.8.1,data/pdfs/20_1/Massetti1996.pdf,article,,,
26,P_0000000029,29,pdf,2.0,16.0,Managing Telecommunications by Steering Committee',MIS Quarterly,"Torkzadeh, Gholamreza and Xia, Weidong",lfoppiano/grobid:0.8.1,data/pdfs/16_2/TorkzadehXia1992.pdf,article,,,
27,P_0000000030,30,pdf,1.0,17.0,Experiences in Strategic Information Systems Planning*,MIS Quarterly,"Earl, Michael",lfoppiano/grobid:0.8.1,data/pdfs/17_1/Earl1993.pdf,article,,,
28,P_0000000031,31,pdf,4.0,43.0,USING EYE TRACKING TO EXPOSE COGNITIVE PROCESSES IN UNDERSTANDING CONCEPTUAL MODELS 1,MIS Quarterly,"Bera, Palash and Soffer, Pnina and Parsons, Jeffrey",lfoppiano/grobid:0.8.1,data/pdfs/43_4/BeraSofferParsons2019.pdf,article,10.25300/MISQ/2019/14163,,
29,P_0000000032,32,pdf,2.0,31.0,INTEGRATING SCIENTIFIC WITH INDIGENOUS KNOWLEDGE: CONSTRUCTING KNOWLEDGE ALLIANCES FOR LAND MANAGEMENT IN INDIA 1,MIS Quarterly,"Puri, Satish K",lfoppiano/grobid:0.8.1,data/pdfs/31_2/Puri2007.pdf,article,,,
30,P_0000000033,33,pdf,1.0,36.0,"SHACKLED TO THE STATUS QUO: THE INHIBITING EFFECTS OF INCUMBENT SYSTEM HABIT, SWITCHING COSTS, AND INERTIA ON NEW SYSTEM ACCEPTANCE 1",MIS Quarterly,"Polites, Greta L and Karahanna, Elena",lfoppiano/grobid:0.8.1,data/pdfs/36_1/PolitesKarahanna2012.pdf,article,,,
31,P_0000000034,34,pdf,4.0,39.0,"ME, MY SELF, AND I(T): CONCEPTUALIZING INFORMATION TECHNOLOGY IDENTITY AND ITS IMPLICATIONS 1",MIS Quarterly,"Carter, Michelle and Grover, Varun",lfoppiano/grobid:0.8.1,data/pdfs/39_4/CarterGrover2015.pdf,article,,,
32,P_0000000035,35,pdf,3.0,4.0,DEVELOPING A COST JUSTIFIED NATION-WIDE COMMUNICA-TIONS NETWORK: A SYSTEMS APPROACH*,MIS Quarterly,"Perry, George M",lfoppiano/grobid:0.8.1,data/pdfs/4_3/Perry1980.pdf,article,,,
33,P_0000000036,36,pdf,1.0,28.0,"REVIEW: THE RESOURCE-BASED VIEW AND INFORMATION SYSTEMS RESEARCH: REVIEW, EXTENSION, AND SUGGESTIONS FOR FUTURE RESEARCH 1",MIS Quarterly,"Wade, Michael and Hulland, John",lfoppiano/grobid:0.8.1,data/pdfs/28_1/WadeHulland2004.pdf,article,,,
34,P_0000000037,37,pdf,4.0,28.0,BRIDGING USER ORGANIZATIONS: KNOWLEDGE BROKERING AND THE WORK OF INFORMATION TECHNOLOGY PROFESSIONALS 1,MIS Quarterly,"Pawlowski, Suzanne D and Robey, Daniel",lfoppiano/grobid:0.8.1,data/pdfs/28_4/PawlowskiRobey2004.pdf,article,,,
35,P_0000000038,38,pdf,2.0,43.0,NURTURING ONLINE COMMUNITIES: AN EMPIRICAL INVESTIGATION 1,MIS Quarterly,"Bapna, Sofia and Benner, Mary J and Qiu, Liangfei",lfoppiano/grobid:0.8.1,data/pdfs/43_2/BapnaBennerQiu2019.pdf,article,10.25300/MISQ/2019/14530,,
36,P_0000000039,39,pdf,3.0,5.0,"Managers, Computer Systems, and Productivity*",MIS Quarterly,"Berger, Paul and Edelman, Franz",lfoppiano/grobid:0.8.1,data/pdfs/5_3/Edelman1981.pdf,article,,,
37,P_0000000040,40,pdf,3.0,31.0,"THE SPATIAL, TEMPORAL, AND CONFIGURATIONAL CHARACTERISTICS OF GEOGRAPHIC DISPERSION IN TEAMS 1",MIS Quarterly,"Boyer, Michael and Leary, O. ' and Cummings, Jonathon N",lfoppiano/grobid:0.8.1,data/pdfs/31_3/OLearyCummings2007.pdf,article,,,
38,P_0000000042,42,pdf,2.0,24.0,"Roepke, Agarwal, & Ferratt/lT Human Resource Vision at 3M -ALIGNING THE IT HUMAN RESOURCE WITH BUSINESS VISION: THE LEADERSHIP INITIATIVE AT 3M 2",MIS Quarterly,"Roepke, Robert and Agarwal, Ritu and Smith, Robert H and Ferratt, Thomas W",lfoppiano/grobid:0.8.1,data/pdfs/24_2/RoepkeAgarwalFerratt2000.pdf,article,,,
39,P_0000000043,43,pdf,2.0,10.0,Information Technology and Corporate Strategy: A Research Perspective,MIS Quarterly,"Yannis Bakos, J. and Treacy, Michael E",lfoppiano/grobid:0.8.1,data/pdfs/10_2/BakosTreacy1986.pdf,article,,,
40,P_0000000044,44,pdf,3.0,44.0,ALTRUISM OR SHREWD BUSINESS? IMPLICATIONS OF TECHNOLOGY OPENNESS ON INNOVATIONS AND COMPETITION 1,MIS Quarterly,"Huang, He and Parker, Geoffrey and Freeman, A. B and Xu, Hongyan",lfoppiano/grobid:0.8.1,data/pdfs/44_3/HuangParkerTanEtAl2020.pdf,article,10.25300/MISQ/2020/14589,,
41,P_0000000045,45,pdf,1.0,41.0,AN EMPIRICAL ANALYSIS OF INTELLECTUAL PROPERTY RIGHTS SHARING IN SOFTWARE DEVELOPMENT OUTSOURCING 1,MIS Quarterly,"Chen, Yuanyuan and Bharadwaj, Anandhi and Goh, Khim-Yong",lfoppiano/grobid:0.8.1,data/pdfs/41_1/ChenBharadwajGoh2017.pdf,article,,,
42,P_0000000046,46,pdf,3.0,42.0,SOCIAL PRESENCE IN VIRTUAL WORLD COLLABORATION: AN UNCERTAINTY REDUCTION PERSPECTIVE USING A MIXED METHODS APPROACH 1,MIS Quarterly,"Srivastava, Shirish C and Chandra, Shalini",lfoppiano/grobid:0.8.1,data/pdfs/42_3/SrivastavaChandra2018.pdf,article,10.25300/MISQ/2018/11914,,
43,P_0000000047,47,pdf,1.0,17.0,Training End Users: An Experimental Investigation of the Roles of the Computer Interface and Training Methods,MIS Quarterly,"Davis, Sid A and Bostrom, Robert P",lfoppiano/grobid:0.8.1,data/pdfs/17_1/DavisBostrom1993.pdf,article,,,
44,P_0000000048,48,pdf,3.0,24.0,UNDERSTANDING SOFTWARE OPERATIONS SUPPORT EXPERTISE: A REVEALED CAUSAL MAPPING APPROACH 1,MIS Quarterly,"Nelson, Kay M and Nadkarni, Sucheta and Box, P. O and Narayanan, V. K",lfoppiano/grobid:0.8.1,data/pdfs/24_3/NelsonNadkarniNarayananEtAl2000.pdf,article,,,
45,P_0000000049,49,pdf,3.0,32.0,"A THREE-PERSPECTIVE MODEL OF CULTURE, INFORMATION SYSTEMS, AND THEIR DEVELOPMENT AND USE 1",MIS Quarterly,"Kappos, Antonio and Rivard, Suzanne",lfoppiano/grobid:0.8.1,data/pdfs/32_3/KapposRivard2006.pdf,article,,,
46,P_0000000050,50,pdf,3.0,38.0,EMERGENCE OF POWER LAWS IN ONLINE COMMUNITIES: THE ROLE OF SOCIAL MECHANISMS AND PREFERENTIAL ATTACHMENT 1,MIS Quarterly,"Johnson, Steven L and Faraj, Samer and Kudaravalli, Srinivas",lfoppiano/grobid:0.8.1,data/pdfs/38_3/JohnsonFarajKudaravalli2014.pdf,article,,,
47,P_0000000051,51,pdf,2.0,38.0,QUALITY COMPETITION AND MARKET SEGMENTATION IN THE SECURITY SOFTWARE MARKET 1,MIS Quarterly,"Dey, Debabrata and Lahiri, Atanu and Zhang, Guoying",lfoppiano/grobid:0.8.1,data/pdfs/38_2/DeyLahiriZhang2014.pdf,article,,,
48,P_0000000052,52,pdf,4.0,27.0,Weber/Editor's Comments,MIS Quarterly,"Weber, Ron",lfoppiano/grobid:0.8.1,data/pdfs/27_4/Weber2003c.pdf,article,,,
49,P_0000000053,53,pdf,2.0,42.0,ECONOMIC EXPERIMENTS IN INFORMATION SYSTEMS 1,MIS Quarterly,"Gupta, Alok and Kannan, Karthik and Sanyal, Pallab",lfoppiano/grobid:0.8.1,data/pdfs/42_2/GuptaKannanSanyal2018.pdf,article,10.25300/MISQ/2018/13049,,
50,P_0000000054,54,pdf,4.0,5.0,Manager or Technician? The Nature of the Information Systems Manager's Job*,MIS Quarterly,"Ives, Blake and Olson, Margrethe H",lfoppiano/grobid:0.8.1,data/pdfs/5_4/IvesOlson1981.pdf,article,,,
51,P_0000000055,55,pdf,2.0,46.0,EFFECT OF MARKET INFORMATION ON BIDDER ATTRITION IN ONLINE AUCTION MARKETS 1,MIS Quarterly,"Ghasemkhani, Hossein and Goes, Paulo and Tripathi, Arvind K",lfoppiano/grobid:0.8.1,data/pdfs/46_2/GhasemkhaniGoesTripathi2022.pdf,article,10.25300/MISQ/2022/15136,,
52,P_0000000056,56,pdf,3.0,5.0,Evaluating Information System Effectiveness --Part I: Comparing Evaluation Approaches,MIS Quarterly,"Hamilton, Scott and Chervany, Norman L",lfoppiano/grobid:0.8.1,data/pdfs/5_3/HamiltonChervany1981a.pdf,article,,,
53,P_0000000057,57,pdf,3.0,1.0,What The Information Analyst Should Know About Body Language,MIS Quarterly,"Jenkins, A. Milton and Johnson, Randall D",lfoppiano/grobid:0.8.1,data/pdfs/1_3/JenkinsJohnson1977.pdf,article,,,
54,P_0000000058,58,pdf,3.0,30.0,"PROFESSIONAL VERSUS POLITICAL CONTEXTS: INSTITUTIONAL MITIGATION AND THE TRANSACTION COST HEURISTIC IN INFORMATION SYSTEMS OUTSOURCING 1, 2",MIS Quarterly,"Miranda, Shaila M and Kim, Yong-Mi",lfoppiano/grobid:0.8.1,data/pdfs/30_3/MirandaKim2006.pdf,article,,,
55,P_0000000059,59,pdf,3.0,37.0,A DRAMATURGICAL MODEL OF THE PRODUCTION OF PERFORMANCE DATA 1,MIS Quarterly,"Vieira Da Cunha, João",lfoppiano/grobid:0.8.1,data/pdfs/37_3/VieiradaCunha2013.pdf,article,,,
56,P_0000000060,60,pdf,2.0,36.0,THE ASYMMETRIC BENEFITS OF RELATIONAL FLEXIBILITY: EVIDENCE FROM SOFTWARE DEVELOPMENT OUTSOURCING 1 Anandasivam Gopal,MIS Quarterly,"Smith, Robert H and Jones, Jesse H",lfoppiano/grobid:0.8.1,data/pdfs/36_2/GopalKoka2012.pdf,article,,,
57,P_0000000061,61,pdf,4.0,41.0,EXTRACTING REPRESENTATIVE INFORMATION ON INTRA-ORGANIZATIONAL BLOGGING PLATFORMS 1,MIS Quarterly,"Guo, Xunhua and Wei, Qiang and Chen, Guoqing and Zhang, Jin and Qiao, Dandan",lfoppiano/grobid:0.8.1,data/pdfs/41_4/GuoWeiChenEtAl2017.pdf,article,,,
58,P_0000000062,62,pdf,1.0,18.0,Emancipatory Systems Development Realizing Emancipatory Principles in Information Systems Development: The Case for ETHICS,MIS Quarterly,"Hirschheim, Rudy and Klein, Heinz K",lfoppiano/grobid:0.8.1,data/pdfs/18_1/HirschheimKlein1994.pdf,article,,,
59,P_0000000063,63,pdf,3.0,19.0,The MBA Core Course The Information Technology Interaction Model: A Foundation for the MBA Core Course,MIS Quarterly,"Silver, Mark S and Markus, Lynne and Mathis Beath, Cynthia",lfoppiano/grobid:0.8.1,data/pdfs/19_3/SilverMarkusBeath1995.pdf,article,,,
60,P_0000000064,64,pdf,3.0,16.0,The PRISM System: A Key to Organizational Effectiveness at Federal Express Corporation,MIS Quarterly,"Palvla, Prashant C and Zeltmann, Steven M",lfoppiano/grobid:0.8.1,data/pdfs/16_3/PalviaPerkinsZeltmann1992.pdf,article,,,
61,P_0000000065,65,pdf,4.0,24.0,"IS A MAP MORE THAN A PICTURE? THE ROLE OF SDSS TECHNOLOGY, SUBJECT CHARACTERISTICS, AND PROBLEM COMPLEXITY ON MAP READING AND PROBLEM SOLVING 1",MIS Quarterly,"Mennecke Logistics, Brian E and Operations, Management and Crossland, Martin D and Killingsworth, Brenda L",lfoppiano/grobid:0.8.1,data/pdfs/24_4/MenneckeCrosslandKillingsworth2000.pdf,article,,,
62,P_0000000066,66,pdf,2.0,37.0,THE AMBIVALENT ONTOLOGY OF DIGITAL ARTIFACTS 1,MIS Quarterly,"Kallinikos, Jannis and Aaltonen, Aleksi and Marton, Attila",lfoppiano/grobid:0.8.1,data/pdfs/37_2/KallinikosAaltonenMarton2013.pdf,article,,,
63,P_0000000067,67,pdf,2.0,42.0,"CONSUMER PREFERENCES, CANNIBALIZATION, AND COMPETITION: EVIDENCE FROM THE PERSONAL COMPUTER INDUSTRY 1",MIS Quarterly,"Li, Bin and Li, Xinxin and Liu, Hongju",lfoppiano/grobid:0.8.1,data/pdfs/42_2/LiLiLiu2018.pdf,article,10.25300/MISQ/2018/13803,,
64,P_0000000068,68,pdf,1.0,45.0,EDITOR'S COMMENTS Continuing and Extending the MIS Quarterly Trifecta Vision,MIS Quarterly,"Burton-Jones, Andrew",lfoppiano/grobid:0.8.1,data/pdfs/45_1/BurtonJones2021.pdf,article,,,
65,P_0000000069,69,pdf,3.0,34.0,USER PARTICIPATION IN INFORMATION SYSTEMS SECURITY RISK MANAGEMENT 1,MIS Quarterly,"Spears, Janine L and Barki, Henri",lfoppiano/grobid:0.8.1,data/pdfs/34_3/SpearsBarki2010.pdf,article,,,
66,P_0000000070,70,pdf,3.0,34.0,DETECTING FAKE WEBSITES: THE CONTRIBUTION OF STATISTICAL LEARNING THEORY 1,MIS Quarterly,"Abbasi, Ahmed and Lubar, Sheldon B and Zhang, Zhu and Zimbra, David and Chen, Hsinchun and Nunamaker, Jay F",lfoppiano/grobid:0.8.1,data/pdfs/34_3/AbbasiZhangZimbraEtAl2010.pdf,article,,,
67,P_0000000071,71,pdf,2.0,15.0,A Model of Users' Perspective on Change: The Case of Information Systems Technology Implementation1,MIS Quarterly,"Joshi, Kaiash",lfoppiano/grobid:0.8.1,data/pdfs/15_2/Joshi1990.pdf,article,,,
68,P_0000000072,72,pdf,3.0,45.0,SPECIAL ISSUE: MANAGING AI FAILURES OF FAIRNESS IN AUTOMATION REQUIRE A DEEPER UNDERSTANDING OF HUMAN-ML AUGMENTATION 1,MIS Quarterly,"Teodorescu, Mike H M and Morse, Lily and Awwad, Yazeed and Kane, Gerald C",lfoppiano/grobid:0.8.1,data/pdfs/45_3/TeodorescuMorseAwwadEtAl2021.pdf,article,10.25300/MISQ/2021/16535,,
69,P_0000000073,73,pdf,4.0,28.0,INNOVATING MINDFULLY WITH INFORMATION TECHNOLOGY 1,MIS Quarterly,"Swanson, E. Burton and Ramiller, Neil C",lfoppiano/grobid:0.8.1,data/pdfs/28_4/SwansonRamiller2004.pdf,article,,,
70,P_0000000074,74,pdf,4.0,3.0,AN ANALYSIS OF THE IMPACT OF DISTRIBUTED DATA PROCESSING ON ORGANIZATIONS IN THE 1980's,MIS Quarterly,"Davis, Charles K and Wetherbe, James C",lfoppiano/grobid:0.8.1,data/pdfs/3_4/DavisWetherbe1979.pdf,article,,,
71,P_0000000075,75,pdf,3.0,45.0,CAPABILITY DEVELOPMENT THROUGH JUST-IN-TIME ACCESS TO KNOWLEDGE IN DOCUMENT REPOSITORIES: A LONGITUDINAL EXAMINATION OF TECHNICAL PROBLEM SOLVING 1,MIS Quarterly,"Subramani, Mani and Wagle, Mihir and Ray, Gautam and Gupta, Alok",lfoppiano/grobid:0.8.1,data/pdfs/45_3/SubramaniWagleRayEtAl2021.pdf,article,10.25300/MISQ/2021/15635,,
72,P_0000000076,76,pdf,1.0,12.0,"Critical Factors in the User Environment: An Experimental Study of Users, Organizations and Tasks",MIS Quarterly,"Yaverbaum, Gayle J",lfoppiano/grobid:0.8.1,data/pdfs/12_1/Yaverbaum1988.pdf,article,,,
73,P_0000000077,77,pdf,1.0,41.0,SHOW ME THE WAY TO GO HOME: AN EMPIRICAL INVESTIGATION OF RIDE-SHARING AND ALCOHOL RELATED MOTOR VEHICLE FATALITIES 1,MIS Quarterly,"Greenwood, Brad N and Wattal, Sunil",lfoppiano/grobid:0.8.1,data/pdfs/41_1/GreenwoodWattal2017.pdf,article,,,
74,P_0000000078,78,pdf,1.0,46.0,UNDERSTANDING MEDICATION NONADHERENCE FROM SOCIAL MEDIA: A SENTIMENT-ENRICHED DEEP LEARNING APPROACH 1,MIS Quarterly,"Xie, Jiaheng and Liu, Xiao and Zeng, Daniel Dajun and Fang, Xiao",lfoppiano/grobid:0.8.1,data/pdfs/46_1/XieLiuZengEtAl2022.pdf,article,10.25300/MISQ/2022/15336,,
75,P_0000000079,79,pdf,2.0,32.0,TRANSFORMATIONAL TECHNOLOGIES AND THE CREATION OF NEW WORK PRACTICES: MAKING IMPLICIT KNOWLEDGE EXPLICIT IN TASK-BASED OFFSHORING 1,MIS Quarterly,"Leonardi, Paul M and Bailey, Diane E and Pinsonneault, Alan",lfoppiano/grobid:0.8.1,data/pdfs/32_2/LeonardiBailey2006.pdf,article,,,
76,P_0000000080,80,pdf,2.0,31.0,DEVELOPING HEALTH INFORMATION SYSTEMS IN DEVELOPING COUNTRIES: THE FLEXIBLE STANDARDS STRATEGY 1,MIS Quarterly,"Braa, Jørn and Hanseth, Ole and Heywood, Arthur and Mohammed, Woinshet and Shaw, Vincent",lfoppiano/grobid:0.8.1,data/pdfs/31_2/BraaHansethHeywoodEtAl2007.pdf,article,,,
77,P_0000000081,81,pdf,4.0,34.0,THE OTHER SIDE OF ACCEPTANCE: STUDYING THE DIRECT AND INDIRECT EFFECTS OF EMOTIONS ON INFORMATION TECHNOLOGY USE 1,MIS Quarterly,"Beaudry, Anne and Molson, John and Pinsonneault, Alain",lfoppiano/grobid:0.8.1,data/pdfs/34_4/BeaudryPinsonneault2010.pdf,article,,,
78,P_0000000082,82,pdf,2.0,42.0,INFORMATION SPILLOVER AND SEMI-COLLABORATIVE NETWORKS IN INSURER FRAUD DETECTION 1,MIS Quarterly,"Menon, Nirup M and Cheng, Nault",lfoppiano/grobid:0.8.1,data/pdfs/42_2/Menon2018.pdf,article,10.25300/MISQ/2018/14433,,
79,P_0000000083,83,pdf,4.0,11.0,Price and Value of Decision Support Systems,MIS Quarterly,"Pieptea, Dan R and Anderson, Evan",lfoppiano/grobid:0.8.1,data/pdfs/11_4/PiepteaAnderson1987.pdf,article,,,
80,P_0000000084,84,pdf,2.0,41.0,CREATING HIGH-VALUE REAL-WORLD IMPACT THROUGH SYSTEMATIC PROGRAMS OF RESEARCH 1,MIS Quarterly,"Nunamaker, Jay F and Twyman, Nathan W and Giboney, Justin Scott and Briggs, Robert O",lfoppiano/grobid:0.8.1,data/pdfs/41_2/NunamakerJrTwymanGiboneyEtAl2017.pdf,article,,,
81,P_0000000085,85,pdf,1.0,45.0,FROM REPRESENTATION TO MEDIATION: A NEW AGENDA FOR CONCEPTUAL MODELING RESEARCH IN A DIGITAL WORLD 1,MIS Quarterly,"Recker, Jan and Lukyanenko, Roman and Jabbari, Mohammad and Samuel, Binny M and Castellanos, Arturo",lfoppiano/grobid:0.8.1,data/pdfs/45_1/ReckerLukyanenkoJabbariEtAl2021.pdf,article,10.25300/MISQ/2021/16027,,
82,P_0000000086,86,pdf,4.0,33.0,COMMUNITY LEARNING IN INFORMATION TECHNOLOGY INNOVATION 1,MIS Quarterly,"Wang, Ping and Ramiller, Neil C",lfoppiano/grobid:0.8.1,data/pdfs/33_4/WangRamiller2009.pdf,article,,,
