ID,orig_ID,orig_source,url,pages,number,volume,year,title,journal,author,doi,ENTRYTYPE,language,metadata_source,dblp_key
C_000015,000015,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1771968,203--207,3,29,2020,Information systems in the age of pandemics - COVID-19 and beyond,European Journal of Information Systems,"Ågerfalk, Pär J and Conboy, Kieran and Myers, Michael D",10.1080/0960085X.2020.1771968,article,,,
C_000016,000016,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000486,80--92,1,13,2004,Action-oriented conceptual modelling,European Journal of Information Systems,"Ågerfalk, Pär J and Eriksson, Owen",10.1057/PALGRAVE.EJIS.3000486,article,,,
C_000017,000017,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000607,4--8,1,15,2006,"Reflecting on action in language, organisations and information systems",European Journal of Information Systems,"Ågerfalk, Pär J and Goldkuhl, Göran and Fitzgerald, Brian and Bannon, Liam",10.1057/PALGRAVE.EJIS.3000607,article,,,
C_000018,000018,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1743051,109--113,2,29,2020,Artefactual and empirical contributions in information systems research,European Journal of Information Systems,"Ågerfalk, Pär J. and Karlsson, Fredrik",10.1080/0960085X.2020.1743051,article,,,
C_000019,000019,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1435230,570--599,5,27,2018,"""How does tech make you feel?"" a review and examination of negative affective responses to technology use",European Journal of Information Systems,"Agogo, David and Hess, Traci J.",10.1080/0960085X.2018.1435230,article,,,
C_000020,000020,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000417,20--34,1,11,2002,"Women in the information technology profession - a literature review, synthesis and research agenda",European Journal of Information Systems,"Ahuja, M K",10.1057/PALGRAVE.EJIS.3000417,article,,,
C_000021,000021,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000418,35--46,1,11,2002,Vicious and virtuous cycles in ERP implementation - a case study of interrelations between critical success factors,European Journal of Information Systems,"Akkermans, H and van Helden, K",10.1057/PALGRAVE.EJIS.3000418,article,,,
C_000022,000022,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.21,359--376,3,19,2010,Developing a unified framework of the business model concept,European Journal of Information Systems,"Al-Debei, Mutaz M and Avison, David",10.1057/EJIS.2010.21,article,,,
C_000023,000023,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000406,216--226,4,10,2001,ERP software implementation - an integrative framework,European Journal of Information Systems,"Al-Mudimigh, A and Zairi, M and Al-Mashari, M",10.1057/PALGRAVE.EJIS.3000406,article,,,
C_000024,000024,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000432,223--234,3,11,2002,The development of two tools for measuring the easiness and usefulness of transactional Web sites,European Journal of Information Systems,"Aladwani, A M",10.1057/PALGRAVE.EJIS.3000432,article,,,
C_000025,000025,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000348,125--126,2,9,2000,Software process improvement - Concepts and practices,European Journal of Information Systems,"Alexander, Ian",10.1057/PALGRAVE.EJIS.3000348,article,,,
C_000026,000026,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000350,127--128,2,9,2000,An introduction to qualitative research,European Journal of Information Systems,"Alexander, Ian",10.1057/PALGRAVE.EJIS.3000350,article,,,
C_000027,000027,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000403,181--181,3,10,2001,"Managing Industrial Knowledge; Creation, Transfer and Utilization",European Journal of Information Systems,"Alexander, Ian",10.1057/PALGRAVE.EJIS.3000403,article,,,
C_000028,000028,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000387,176--177,3,10,2001,Handbook of Action Research Participative Inquiry and Practice,European Journal of Information Systems,"Alexander, Ian",10.1057/PALGRAVE.EJIS.3000387,article,,,
C_000029,000029,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000440,73--74,1,12,2003,Knowledge Management Systems,European Journal of Information Systems,"Alexander, Ian",10.1057/PALGRAVE.EJIS.3000440,article,,,
C_000030,000030,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000457,163--164,2,12,2003,Visualizing Argumentation - Software Tools for Collaborative and Educational Sense-making,European Journal of Information Systems,"Alexander, Ian",10.1057/PALGRAVE.EJIS.3000457,article,,,
C_000031,000031,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000469,247--248,3,12,2003,Designing Collaborative Systems. A Practical Guide to Ethnography,European Journal of Information Systems,"Alexander, Ian",10.1057/PALGRAVE.EJIS.3000469,article,,,
C_000032,000032,crossref,https://www.tandfonline.com/doi/full/10.1057/s41303-017-0057-y,661--687,6,26,2017,An empirical study on the susceptibility to social engineering in social networking sites - the case of Facebook,European Journal of Information Systems,"Algarni, Abdullah and Xu, Yue and Chan, Taizan",10.1057/S41303-017-0057-Y,article,,,
C_000033,000033,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2013.8,418--432,4,23,2014,Information sharing and interoperability - the case of major incident management,European Journal of Information Systems,"Allen, David K and Karanasios, Stan and Norman, Alistair",10.1057/EJIS.2013.8,article,,,
C_000034,000034,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.6,257--272,3,19,2010,How well do shopbots represent online markets? A study of shopbots' vendor coverage strategy,European Journal of Information Systems,"Allen, Gove and Wu, Jianan",10.1057/EJIS.2010.6,article,,,
C_000035,000035,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000356,67--67,1,10,2001,Oracle8i Data Warehousing,European Journal of Information Systems,"Alshawi, Sarmad",10.1057/PALGRAVE.EJIS.3000356,article,,,
C_000036,000036,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000499,173--185,3,13,2004,Possibilities for cross-fertilization between interpretive approaches and other methods for analyzing information systems,European Journal of Information Systems,"Alter, Steven",10.1057/PALGRAVE.EJIS.3000499,article,,,
C_000037,000037,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.37,448--469,5,17,2008,Defining information systems as work systems - implications for the IS field,European Journal of Information Systems,"Alter, Steven",10.1057/EJIS.2008.37,article,,,
C_000038,000038,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.39,619--636,6,22,2013,The pursuit of trust inad hocvirtual teams - how much electronic portrayal is too much?,European Journal of Information Systems,"Altschuller, Shoshana and Benbunan-Fich, Raquel",10.1057/EJIS.2012.39,article,,,
C_000039,000039,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1808540,704--730,6,29,2020,Effects of structural and trait competitiveness stimulated by points and leaderboards on user engagement and performance growth - A natural experiment with gamification in an informal learning environment,European Journal of Information Systems,"Amo, Laura and Liao, Ruochen and Kishore, Rajiv and Rao, Hejamadi R.",10.1080/0960085X.2020.1808540,article,,,
C_000040,000040,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000599,9--25,1,15,2006,Activity-based design,European Journal of Information Systems,"Andersen, Peter Bøgh",10.1057/PALGRAVE.EJIS.3000599,article,,,
C_000041,000041,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2015.21,364--390,4,25,2016,How users perceive and respond to security messages - a NeuroIS research agenda and empirical study,European Journal of Information Systems,"Brinton Anderson, Bonnie and Vance, Anthony and Kirwan, C Brock and Eargle, David and Jenkins, Jeffrey L",10.1057/EJIS.2015.21,article,,,
C_000042,000042,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1425658,124--126,1,27,2018,Thanks to Reviewers,European Journal of Information Systems,,10.1080/0960085X.2018.1425658,article,,,
C_000043,000043,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2019.1565656,114--118,1,28,2019,Thanks to Reviewers,European Journal of Information Systems,,10.1080/0960085X.2019.1565656,article,,,
C_000044,000044,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.49,134--152,2,19,2010,Competing pressures of risk and absorptive capacity potential on commitment and information sharing in global supply chains,European Journal of Information Systems,"Arnold, Vicky and Benford, Tanya and Hampton, Clark and Sutton, Steve G",10.1057/EJIS.2009.49,article,,,
C_000045,000045,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000509,247--259,4,13,2004,"Decision support systems evolution - framework, case study and research agenda",European Journal of Information Systems,"Arnott, David",10.1057/PALGRAVE.EJIS.3000509,article,,,
C_000046,000046,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000476,297--308,4,12,2003,Assessing the benefits from e-business transformation through effective enterprise management,European Journal of Information Systems,"Ash, Colin G and Burn, Janice M",10.1057/PALGRAVE.EJIS.3000476,article,,,
C_000047,000047,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.33,352--370,4,17,2008,Improving the impact of IT development projects - the benefits realization capability model,European Journal of Information Systems,"Ashurst, Colin and Doherty, Neil F and Peppard, Joe",10.1057/EJIS.2008.33,article,,,
C_000048,000048,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000359,104--123,2,9,2000,The ‘Soft Information Systems and Technologies Methodology' (SISTeM) - an actor network contingency approach to integrated development,European Journal of Information Systems,"Atkinson, C J",10.1057/PALGRAVE.EJIS.3000359,article,,,
C_000049,000049,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2014.44,29--46,1,25,2016,How to get the most from a business intelligence application during the post implementation phase? Deep structure transformation at a U.K. retail bank,European Journal of Information Systems,"Audzeyeva, Alena and Hudson, Robert",10.1057/EJIS.2014.44,article,,,
C_000050,000050,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000474,229--230,3,12,2003,Is IS an intellectual subject?,European Journal of Information Systems,"Avison, David E",10.1057/PALGRAVE.EJIS.3000474,article,,,
C_000051,000051,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000625,241--243,3,15,2006,"An opportunity for editors of I.S. journals to relate their experiences and offer advice. The editorial view of David Avison Guy Fitzgerald and Philip Powell, Editors - of the Information Systems Journal - Second in a series",European Journal of Information Systems,"Avison, David and Fitzgerald, Guy and Powell, Philip",10.1057/PALGRAVE.EJIS.3000625,article,,,
C_000052,000052,crossref,https://www.tandfonline.com/doi/full/10.1057/s41303-016-0022-1,260--273,3,26,2017,A narrative approach to publishing information systems research - inspiration from the French New Novel tradition,European Journal of Information Systems,"Avison, David and Malaurent, Julien and Eynaud, Philippe",10.1057/S41303-016-0022-1,article,,,
C_000053,000053,crossref,https://www.tandfonline.com/doi/full/10.1057/s41303-017-0051-4,240--247,3,26,2017,Alternative genres in information systems research,European Journal of Information Systems,"Avital, Michel and Mathiassen, Lars and Schultze, Ulrike",10.1057/S41303-017-0051-4,article,,,
C_000054,000054,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.14,264--278,3,17,2008,Enacting computer workaround practices within a medication dispensing system,European Journal of Information Systems,"Azad, Bijan and King, Nelson",10.1057/EJIS.2008.14,article,,,
C_000055,000055,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.48,358--372,4,21,2012,Institutionalized computer workaround practices in a Mediterranean country - an examination of two organizations,European Journal of Information Systems,"Azad, Bijan and King, Nelson",10.1057/EJIS.2011.48,article,,,
C_000056,000056,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.32,578--591,6,18,2009,"Evaluation of RFID applications for logistics - a framework for identifying, forecasting and assessing benefits",European Journal of Information Systems,"Baars, Henning and Gille, Daniel and Strüker, Jens",10.1057/EJIS.2009.32,article,,,
C_000057,000057,crossref,https://www.tandfonline.com/doi/full/10.1057/s41303-017-0060-3,189--206,2,27,2018,ERP prototype with built-in task and process support,European Journal of Information Systems,"Babaian, Tamara and Xu, Jennifer and Lucas, Wendy",10.1057/S41303-017-0060-3,article,,,
C_000058,000058,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000349,126--127,2,9,2000,Process improvement and organisational learning - The role of collaboration technologies,European Journal of Information Systems,"Bacon, C James",10.1057/PALGRAVE.EJIS.3000349,article,,,
C_000059,000059,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2021.1890530,342--355,3,30,2021,Accounting for social media effects to improve the accuracy of infection models - combatting the COVID-19 pandemic and infodemic,European Journal of Information Systems,"Bae, Sujin and (Christine) Sung, Eunyoung and Kwon, Ohbyung",10.1080/0960085X.2021.1890530,article,,,
C_000060,000060,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000453,142--158,2,12,2003,Modeling use of enterprise resource planning systems - a path analytic study,European Journal of Information Systems,"Bagchi, Shantanu and Kanungo, Shivraj and Dasgupta, Subhasish",10.1057/PALGRAVE.EJIS.3000453,article,,,
C_000061,000061,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2013.12,4--22,1,24,2015,Associating consumer perceived value with business models for digital services,European Journal of Information Systems,"Baird, Aaron and Raghu, T S",10.1057/EJIS.2013.12,article,,,
C_000062,000062,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1718007,238--259,3,29,2020,Digital transformation and the new logics of business process management,European Journal of Information Systems,"Baiyere, Abayomi and Salmela, Hannu and Tapanainen, Tommi",10.1080/0960085X.2020.1718007,article,,,
C_000063,000063,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1803775,425--451,4,30,2021,"Ownership and governance, scope, and empowerment: how does context affect enterprise systems implementation in organisations in the Arab World?",European Journal of Information Systems,"Bala, Hillol and Hossain, Mohammad Mobashar and Bhagwatwar, Akshay and Feng, Xuan",10.1080/0960085X.2020.1803775,article,eng,,
C_000064,000064,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000372,15--24,1,10,2001,Outsourcing information systems - drawing lessons from a banking case study,European Journal of Information Systems,"Baldwin, L P and Irani, Z and Love, P E D",10.1057/PALGRAVE.EJIS.3000372,article,,,
C_000065,000065,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000546,347--360,4,14,2005,Factors and measures of business process modelling - model building through a multiple case study,European Journal of Information Systems,"Bandara, Wasana and Gable, Guy G and Rosemann, Michael",10.1057/PALGRAVE.EJIS.3000546,article,,,
C_000066,000066,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.9,153--167,2,19,2010,Evaluating cross-organizational impacts of information technology - an empirical analysis,European Journal of Information Systems,"Banker, Rajiv D and Chang, Hsihui and Kao, Yi-Ching",10.1057/EJIS.2010.9,article,,,
C_000067,000067,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2014.41,624--644,6,24,2015,The role of privacy assurance mechanisms in building trust and the moderating role of privacy concern,European Journal of Information Systems,"Bansal, Gaurav and Zahedi, Fatemeh ‘Mariam’ and Gefen, David",10.1057/EJIS.2014.41,article,,,
C_000068,000068,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1816146,591--622,6,30,2021,Exposing patterns of adult solicitor behaviour - towards a theory of control within the cybersexual abuse of youth,European Journal of Information Systems,"Barber, Connie S and Bettez, Silvia Cristina",10.1080/0960085X.2020.1816146,article,,,
C_000069,000069,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2014.10,374--390,4,24,2015,Five-factor model personality traits as predictors of perceived and actual usage of technology,European Journal of Information Systems,"Barnett, Tim and Pearson, Allison W and Pearson, Rodney and Kellermanns, Franz W",10.1057/EJIS.2014.10,article,,,
C_000070,000070,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000487,65--79,1,13,2004,Electronic trading and the process of globalization in traditional futures exchanges - a temporal perspective,European Journal of Information Systems,"Barrett, Michael and Scott, Susan",10.1057/PALGRAVE.EJIS.3000487,article,,,
C_000071,000071,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1762127,369--387,4,29,2020,Enabling collaboration and innovation in Denver's smart city through a living lab - a social capital perspective,European Journal of Information Systems,"Bartelt, Valerie L. and Urbaczewski, Andrew and Mueller, Andrew G. and Sarker, Suprateek",10.1080/0960085X.2020.1762127,article,,,
C_000072,000072,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.3,112--124,2,17,2008,A multiple narrative approach to information systems failure - a successful system that failed,European Journal of Information Systems,"Bartis, Eszter and Mitev, Nathalie",10.1057/EJIS.2008.3,article,,,
C_000073,000073,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.18,477--489,4,20,2011,Enabling a Kleinian integration of interpretivist and socio-critical IS research - the contribution of Dooyeweerd's philosophy,European Journal of Information Systems,"Basden, Andrew",10.1057/EJIS.2011.18,article,,,
C_000074,000074,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000488,1--2,1,13,2004,An Editor's Values,European Journal of Information Systems,"Baskerville, Richard",10.1057/PALGRAVE.EJIS.3000488,article,,,
C_000075,000075,crossref,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000622,113--115,2,15,2006,Artful planning,European Journal of Information Systems,"Baskerville, Richard L",10.1057/PALGRAVE.EJIS.3000622,article,,,
C_000076,000076,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.7,156--157,2,17,2008,For better or worse - how we apply journal ranking lists,European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2008.7,article,,,
C_000077,000077,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.45,441--443,5,17,2008,What design science is not,European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2008.45,article,,,
C_000078,000078,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.1,1--3,1,17,2008,Changing the challenge - measure what makes you better and be better at what you measure,European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2008.1,article,,,
C_000079,000079,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.20,179--181,3,17,2008,"Strategies, systems, and technologies",European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2008.20,article,,,
C_000080,000080,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.36,321--323,4,17,2008,"Research quality, project failure, and privacy threats - spitting, yelling, and cussing",European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2008.36,article,,,
C_000081,000081,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.54,694--694,6,17,2008,Introduction to the Opinion Paper - Bryant's ‘The future of information systems',European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2008.54,article,,,
C_000082,000082,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.42,523--525,6,18,2009,Preparing for evidence-based management,European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2009.42,article,,,
C_000083,000083,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.3,1--3,1,18,2009,The EJIS editorial organisation and submissions,European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2009.3,article,,,
C_000084,000084,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.2,1--4,1,19,2010,Third-degree conflicts - information warfare,European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2010.2,article,,,
C_000085,000085,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.8,251--254,3,20,2011,Individual information systems as a research arena,European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2011.8,article,,,
C_000086,000086,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.22,375--377,4,20,2011,Information design,European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2011.22,article,,,
C_000087,000087,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.46,587--591,6,21,2012,Reviving the IT in the IS,European Journal of Information Systems,"Baskerville, Richard",10.1057/EJIS.2012.46,article,,,
C_000088,000088,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2017.1395545,140--153,2,27,2018,Aesthetics in design science research,European Journal of Information Systems,"Baskerville, Richard L. and Kaul, Mala and Storey, Veda C.",10.1080/0960085X.2017.1395545,article,,,
C_000089,000089,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.56,11--15,1,20,2011,A response to the design-oriented information systems research memorandum,European Journal of Information Systems,"Baskerville, Richard and Lyytinen, Kalle and Sambamurthy, Vallabh and Straub, Detmar",10.1057/EJIS.2010.56,article,,,
C_000090,000090,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2015.12,209--230,3,25,2016,Achieving dynamic capabilities with cloud computing - an empirical investigation,European Journal of Information Systems,"Battleson, Douglas A and West, Barry C and Kim, Jongwoo and Ramesh, Balasubramaniam and Robinson, Pamela S",10.1057/EJIS.2015.12,article,,,
C_000091,000091,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1475876,654--669,6,27,2018,"Feedback, task performance, and interface preferences",European Journal of Information Systems,"Bellman, Steven and Murray, Kyle B.",10.1080/0960085X.2018.1475876,article,,,
C_000092,000092,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1512945,256--271,3,28,2019,An affordance lens for wearable information systems,European Journal of Information Systems,"Benbunan-Fich, Raquel",10.1080/0960085X.2018.1512945,article,,,
C_000093,000093,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1814989,323--328,4,29,2020,IT-enabled innovation in the public sector - introduction to the special issue,European Journal of Information Systems,"Benbunan-Fich, Raquel and Desouza, Kevin C. and Andersen, Kim Normann",10.1080/0960085X.2020.1814989,article,,,
C_000094,000094,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.14,664--679,6,21,2012,"Information technology, the organizational capability of proactive corporate environmental strategy and firm performance - a resource-based analysis",European Journal of Information Systems,"Benitez-Amado, Jose and Walczuch, Rita M",10.1057/EJIS.2012.14,article,,,
C_000095,000095,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.14,542--559,5,20,2011,"Is traditional, open-source, or on-demand first choice? Developing an AHP-based framework for the comparison of different software models in office suites selection",European Journal of Information Systems,"Benlian, Alexander",10.1057/EJIS.2011.14,article,,,
C_000096,000096,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1742587,190--202,2,29,2020,Detection of early warning signals for overruns in IS projects - linguistic analysis of business case language,European Journal of Information Systems,"Benschop, Nick and Hilhorst, Cokky A. R. and Nuijten, Arno L. P. and Keil, Mark",10.1080/0960085X.2020.1742587,article,,,
C_000097,000097,crossref,https://www.tandfonline.com/doi/full/10.1080/0960085X.2019.1673972,663--680,6,28,2019,How quickly do we learn conceptual models?,European Journal of Information Systems,"Bera, Palash and Poels, Geert",10.1080/0960085X.2019.1673972,article,,,
C_000098,000098,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.47,21--34,1,19,2010,"Dressage, control, and enterprise systems - the case of NASA's Full Cost initiative",European Journal of Information Systems,"Berente, Nicholas and Gal, Uri and Yoo, Youngjin",10.1057/EJIS.2009.47,article,,,
C_000099,000099,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.27,377--377,3,19,2010,"Erratum - Dressage, control, and enterprise systems - the case of NASA's Full Cost initiative",European Journal of Information Systems,"Berente, Nicholas and Gal, Uri and Yoo, Youngjin",10.1057/EJIS.2010.27,article,,,
C_000100,000100,crossref,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.18,235--248,3,18,2009,"Factors considered when outsourcing an IS system - an empirical examination of the impacts of organizational size, strategy and the object of a decision",European Journal of Information Systems,"Berg, Bjarne and Stylianou, Antonis C",10.1057/EJIS.2009.18,article,,,
C_000101,000101,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000351,128--128,2,9,2000,Beyond the productivity paradox,European Journal of Information Systems,"Berghout, Egon",10.1057/PALGRAVE.EJIS.3000351,article,,,
C_000102,000102,crossref,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000367,205--205,3,9,2000,Information technology standards and standardization - A global perspective,European Journal of Information Systems,"Berghout, Egon",10.1057/PALGRAVE.EJIS.3000367,article,,,
