ID,ENTRYTYPE,author,journal,title,year,volume,number,url,dblp_key,doi,file,grobid-version,note,pages,language,cited_by
000047,article,"Smith, L. Douglas and Janson, Marius A.",Journal of Management Information Systems,Integration of Computer Graphics and Statistical Procedures for Decision Support Systems,1986,3,2,http://www.jmis-web.org/articles/887,https://dblp.org/rec/journals/jmis/SmithJ86,,,,,,,
000048,article,"Weber, E. Sue",Journal of Management Information Systems,"Systems to Think With - A Response to ""A Vision for Decision Support Systems""",1986,2,4,http://www.jmis-web.org/articles/1013,https://dblp.org/rec/journals/jmis/Weber86,,,,,,,
000049,article,"Alavi, Maryam and Weiss, Ira R.",Journal of Management Information Systems,Managing the Risks Associated with End-User Computing,1986,2,3,http://www.jmis-web.org/articles/19,https://dblp.org/rec/journals/jmis/AlaviW86,,,,,,,
000050,article,"Bender, Donald H.",Journal of Management Information Systems,Financial Impact of Information Processing,1986,3,2,http://www.jmis-web.org/articles/88,https://dblp.org/rec/journals/jmis/Bender86,,,,,,,
000051,article,"Goslar, Martin D.",Journal of Management Information Systems,Capability Criteria for Marketing Decision Support Systems,1986,3,1,http://www.jmis-web.org/articles/373,https://dblp.org/rec/journals/jmis/Goslar86,,,,,,,
000052,article,"Goul, Michael and Shane, Barry and Tonge, Fred M.",Journal of Management Information Systems,Using a Knowledge-Based Decision Support System in Strategic Planning Decisions - An Empirical Study,1986,2,4,http://www.jmis-web.org/articles/374,https://dblp.org/rec/journals/jmis/GoulST86,,,,,,,
000053,article,"Green, Gary I. and Hughes, Cary T.",Journal of Management Information Systems,Effects of Decision Support Systems Training and Cognitive Style on Decision Process Attributes,1986,3,2,http://www.jmis-web.org/articles/378,https://dblp.org/rec/journals/jmis/GreenH86,,,,,,,
000054,article,"Klein, Gary",Journal of Management Information Systems,Developing Model Strings for Model Managers,1986,3,2,http://www.jmis-web.org/articles/545,https://dblp.org/rec/journals/jmis/Klein86,,,,,,,
000055,article,"McIntyre, Scott C. and Konsynski, Benn R. and Nunamaker Jr., Jay F.",Journal of Management Information Systems,Automating Planning Environments - Knowledge Integration and Model Scripting,1986,2,4,http://www.jmis-web.org/articles/678,https://dblp.org/rec/journals/jmis/McIntyreKN86,,,,,,,
000056,article,"Rozenshtein, David and Minsky, Naftaly H.",Journal of Management Information Systems,Controlling the Use and Evolution of Database Systems - A Prolog-based Approach,1986,3,1,http://www.jmis-web.org/articles/840,https://dblp.org/rec/journals/jmis/RozenshteinM86,,,,,,,
000057,article,"Stohr, Edward A.",Journal of Management Information Systems,Decision Support and Knowledge-Based Systems - A Special Issue,1986,2,4,http://www.jmis-web.org/articles/906,https://dblp.org/rec/journals/jmis/Stohr86,,,,,,,
000058,article,"Swanson, E. Burton",Journal of Management Information Systems,A Note on Information Attributes,1986,2,3,http://www.jmis-web.org/articles/918,https://dblp.org/rec/journals/jmis/Swanson86,,,,,,,
000059,article,"Cheney, Paul H. and Mann, Robert I. and Guha, Subo",Journal of Management Information Systems,Organizational Factors Affecting the Success of End-User Computing,1986,3,1,http://www.jmis-web.org/articles/176,https://dblp.org/rec/journals/jmis/CheneyMG86,,,,,,,
000060,article,"Helms, Glenn L. and Weiss, Ira R.",Journal of Management Information Systems,The Cost of Internally Developed Applications - Analysis of Problems and Cost Control Methods,1986,3,2,http://www.jmis-web.org/articles/413,https://dblp.org/rec/journals/jmis/HelmsW86,,,,,,,
000061,article,"Kochen, Manfred",Journal of Management Information Systems,Are MIS Frameworks Premature?,1986,2,3,http://www.jmis-web.org/articles/549,https://dblp.org/rec/journals/jmis/Kochen86,,,,,,,
000062,article,"Lee, Ronald M. and Widmeyer, George R.",Journal of Management Information Systems,Shopping in the Electronic Marketplace,1986,2,4,http://www.jmis-web.org/articles/596,https://dblp.org/rec/journals/jmis/LeeW86,,,,,,,
000063,article,"Lenard, Melanie L.",Journal of Management Information Systems,Representing Models as Data,1986,2,4,http://www.jmis-web.org/articles/610,https://dblp.org/rec/journals/jmis/Lenard86,,,,,,,
000064,article,"Venkatraman, N.",Journal of Management Information Systems,Research on MIS Planning - Some Guidelines from Strategic Planning Research,1986,2,3,http://www.jmis-web.org/articles/983,https://dblp.org/rec/journals/jmis/Venkatraman86,,,,,,,
000065,article,"Zwass, Vladimir",Journal of Management Information Systems,Editorial Introduction,1986,3,1,http://www.jmis-web.org/articles/1083,https://dblp.org/rec/journals/jmis/Zwass86,,,,,,,
000066,article,"Zwass, Vladimir",Journal of Management Information Systems,Editorial Introduction,1986,3,2,http://www.jmis-web.org/articles/1082,https://dblp.org/rec/journals/jmis/Zwass86a,,,,,,,
000067,article,"Zwass, Vladimir",Journal of Management Information Systems,Editorial Introduction,1986,2,3,http://www.jmis-web.org/articles/1077,https://dblp.org/rec/journals/jmis/Zwass86b,,,,,,,
000068,article,"Zwass, Vladimir",Journal of Management Information Systems,From the Editor-in-Chief,1986,2,4,http://www.jmis-web.org/articles/1084,https://dblp.org/rec/journals/jmis/Zwass86c,,,,,,,
000069,article,"Pyburn, Philip J.",Journal of Management Information Systems,Managing Personal Computer Use - The Role of Corporate Management Information Systems,1987,3,3,http://www.jmis-web.org/articles/790,https://dblp.org/rec/journals/jmis/Pyburn87,,,,,,,
000070,article,"Henderson, John C. and Rockart, John F. and Sifonis, John G.",Journal of Management Information Systems,Integrating Management Support Systems into Strategic Information Systems Planning,1987,4,1,http://www.jmis-web.org/articles/417,https://dblp.org/rec/journals/jmis/HendersonRS87,,,,,,,
000071,article,"Hogue, Jack T.",Journal of Management Information Systems,A Framework for the Examination of Management Involvement in Decision Support Systems,1987,4,1,http://www.jmis-web.org/articles/431,https://dblp.org/rec/journals/jmis/Hogue87,,,,,,,
000072,article,"Lucas Jr., Henry C. and Palley, Michael A.",Journal of Management Information Systems,"Plant Management, the Locus of Decision Making, and the Information Services Department",1987,3,3,http://www.jmis-web.org/articles/643,https://dblp.org/rec/journals/jmis/LucasP87,,,,,,,
000073,article,"Murray, Thomas J. and Tanniru, Mohan",Journal of Management Information Systems,A Framework for Selecting between Knowledge-based and Traditional Systems Design,1987,4,1,http://www.jmis-web.org/articles/708,https://dblp.org/rec/journals/jmis/MurrayT87,,,,,,,
000074,article,"Paradice, David B. and Courtney Jr., James F.",Journal of Management Information Systems,Causal and Non-causal Relationships and Dynamic Model Construction in a Managerial Advisory System,1987,3,4,http://www.jmis-web.org/articles/756,https://dblp.org/rec/journals/jmis/ParadiceC87,,,,,,,
000075,article,"Shane, Barry and Fry, Mitchel and Toro, Reuben",Journal of Management Information Systems,The Design of an Investment Portfolio Selection Decision Support System Using Two Expert Systems and a Consulting System,1987,3,4,http://www.jmis-web.org/articles/870,https://dblp.org/rec/journals/jmis/ShaneFT87,,,,,,,
000076,article,"Watson, Hugh J. and Carr, Houston H.",Journal of Management Information Systems,Organizing for Decision Support System Support - The End-User Services Alternative,1987,4,1,http://www.jmis-web.org/articles/1006,https://dblp.org/rec/journals/jmis/WatsonC87,,,,,,,
000077,article,"Agmon, Nachman and Ahituv, Niv",Journal of Management Information Systems,Assessing Data Reliability in an Information System,1987,4,2,http://www.jmis-web.org/articles/12,https://dblp.org/rec/journals/jmis/Ahituv87,,,,,,,
000078,article,"Chen, Tsung Teng and Konsynski, Benn R. and Nunamaker Jr., Jay F.",Journal of Management Information Systems,Knowledge Management in Organizational Planning,1987,3,4,http://www.jmis-web.org/articles/30,https://dblp.org/rec/journals/jmis/ChenKN87,,,,,,,
000079,article,"Christodoulakis, Stavros and Velissaropoulos, Theodora",Journal of Management Information Systems,Issues in the Design of a Distributed Testbed for Multimedia Information Systems (MINOS),1987,4,2,http://www.jmis-web.org/articles/192,https://dblp.org/rec/journals/jmis/ChristodoulakisV87,,,,,,,
000080,article,"Dhar, Vasant",Journal of Management Information Systems,On the Plausibility and Scope of Expert Systems in Management,1987,4,1,http://www.jmis-web.org/articles/295,https://dblp.org/rec/journals/jmis/Dhar87,,,,,,,
000081,article,"Liang, Ting-Ping and Jones, Christopher V.",Journal of Management Information Systems,Design of a Self-evolving Decision Support System,1987,4,1,http://www.jmis-web.org/articles/956,https://dblp.org/rec/journals/jmis/LiangJ87,,,,,,,
000082,article,"Nunamaker Jr., Jay F. and Konsynski, Benn R.",Journal of Management Information Systems,Facilitating Group Creativity - Experience with a Group Decision Support System,1987,3,4,http://www.jmis-web.org/articles/728,https://dblp.org/rec/journals/jmis/NunamakerK87,,,,,,,
000083,article,"Adam, Nabil R.",Journal of Management Information Systems,Special Issue - Database Management,1987,4,2,http://www.jmis-web.org/articles/5,https://dblp.org/rec/journals/jmis/Adam87,,,,,,,
000084,article,"Barrett, Stephanie S.",Journal of Management Information Systems,Strategic Alternatives and Inter-organizational System Implementations - An Overview,1987,3,3,http://www.jmis-web.org/articles/72,https://dblp.org/rec/journals/jmis/Barrett87,,,,,,,
000085,article,"Jenster, Per V.",Journal of Management Information Systems,Firm Performance and Monitoring of Critical Success Factors in Different Strategic Contexts,1987,3,3,http://www.jmis-web.org/articles/478,https://dblp.org/rec/journals/jmis/Jenster87,,,,,,,
000086,article,"Karimi, Jahangir",Journal of Management Information Systems,An Automated Software Design Methodology Using CAPO,1987,3,3,http://www.jmis-web.org/articles/507,https://dblp.org/rec/journals/jmis/Karimi87,,,,,,,
000087,article,"March, Salvatore T. and Carlis, John V.",Journal of Management Information Systems,On the Interdependencies between Record Structure and Access Path Design,1987,4,2,http://www.jmis-web.org/articles/664,https://dblp.org/rec/journals/jmis/MarchC87,,,,,,,
000088,article,"Stohr, Edward A.",Journal of Management Information Systems,Special Issue - Decision Support and Knowledge-Based Systems,1987,3,4,http://www.jmis-web.org/articles/907,https://dblp.org/rec/journals/jmis/Stohr87,,,,,,,
000089,article,"Bhargava, Bharat K.",Journal of Management Information Systems,Transaction Processing and Consistency Control of Replicated Copies during Failures in Distributed Databases,1987,4,2,http://www.jmis-web.org/articles/94,https://dblp.org/rec/journals/jmis/Bhargava87,,,,,,,
000090,article,"Croker, Albert",Journal of Management Information Systems,Improvements in Database Concurrency Control with Locking,1987,4,2,http://www.jmis-web.org/articles/244,https://dblp.org/rec/journals/jmis/Croker87,,,,,,,
000091,article,"Davidson, Susan B. and Winkler, Mark M.",Journal of Management Information Systems,A Performance Comparison of Optimistic versus Conservative Strategies during Partition Failures in Distributed Databases,1987,4,2,http://www.jmis-web.org/articles/256,https://dblp.org/rec/journals/jmis/DavidsonW87,,,,,,,
000092,article,"Harrison, Warren and Adrangi, Bahram",Journal of Management Information Systems,The Role of Programming Language in Estimating Software Development Costs,1987,3,3,http://www.jmis-web.org/articles/408,https://dblp.org/rec/journals/jmis/HarrisonA87,,,,,,,
000093,article,"Kandt, Kirk",Journal of Management Information Systems,A Tool to Support Competitive Argumentation,1987,3,4,http://www.jmis-web.org/articles/501,https://dblp.org/rec/journals/jmis/Kandt87,,,,,,,
000094,article,"Paddock, Charles E. and Swanson, Neil E.",Journal of Management Information Systems,Open versus Closed Minds - The Effect of Dogmatism on an Analyst's Problem-solving Behavior,1987,3,3,http://www.jmis-web.org/articles/752,https://dblp.org/rec/journals/jmis/PaddockS87,,,,,,,
000095,article,"Zhang, Wen-Ran",Journal of Management Information Systems,POOL - A Semantic Model for Approximate Reasoning and Its Application in Decision Support,1987,3,4,http://www.jmis-web.org/articles/1026,https://dblp.org/rec/journals/jmis/Zhang87,,,,,,,
000096,article,"Zwass, Vladimir",Journal of Management Information Systems,Editorial Introduction,1987,4,1,http://www.jmis-web.org/articles/1087,https://dblp.org/rec/journals/jmis/Zwass87,,,,,,,
000097,article,"Zwass, Vladimir",Journal of Management Information Systems,From the Editor-in-Chief,1987,4,2,http://www.jmis-web.org/articles/1086,https://dblp.org/rec/journals/jmis/Zwass87a,,,,,,,
000098,article,"Zwass, Vladimir",Journal of Management Information Systems,Editorial Introduction,1987,3,3,http://www.jmis-web.org/articles/1081,https://dblp.org/rec/journals/jmis/Zwass87b,,,,,,,
000099,article,"Baroudi, Jack J. and Orlikowski, Wanda J.",Journal of Management Information Systems,A Short-Form Measure of User Information Satisfaction - A Psychometric Evaluation and Notes on Use,1988,4,4,http://www.jmis-web.org/articles/71,https://dblp.org/rec/journals/jmis/BaroudiO88,,,,,,,
000100,article,"Karimi, Jahangir",Journal of Management Information Systems,Strategic Planning for Information Systems - Requirements and Information Engineering Methods,1988,4,4,http://www.jmis-web.org/articles/508,https://dblp.org/rec/journals/jmis/Karimi88,,,,,,,
000101,article,"Szewczak, Edward J.",Journal of Management Information Systems,Exploratory Results of a Factor Analysis of Strategic Information - Implications for Strategic Systems Planning,1988,5,2,http://www.jmis-web.org/articles/920,https://dblp.org/rec/journals/jmis/Szewczak88,,,,,,,
000102,article,"Nunamaker Jr., Jay F. and Konsynski, Benn R. and Chen, Minder and Vinze, Ajay S. and King, David R. and Heltne, Mari M.",Journal of Management Information Systems,Knowledge-based Systems Support for Information Centers,1988,5,1,http://www.jmis-web.org/articles/733,https://dblp.org/rec/journals/jmis/NunamakerKCVKH88,,,,,,,
000103,article,"Targowski, Andrew S.",Journal of Management Information Systems,Systems Planning for the Enterprise-wide Information Management Complex - The Architectural Approach,1988,5,2,http://www.jmis-web.org/articles/934,https://dblp.org/rec/journals/jmis/Targowski88,,,,,,,
000104,article,"Veroy, Boris and Zwass, Vladimir",Journal of Management Information Systems,Embedding a Point-to-Point Network in the Expansion of Infrastructure for Information Systems,1988,4,3,http://www.jmis-web.org/articles/984,https://dblp.org/rec/journals/jmis/VeroyZ88,,,,,,,
000105,article,"Clemons, Eric K. and Row, Michael C.",Journal of Management Information Systems,McKesson Drug Company - A Case Study of Economost - A Strategic Information System,1988,5,1,http://www.jmis-web.org/articles/220,https://dblp.org/rec/journals/jmis/ClemonsR88,,,,,,,
000106,article,"Couger, J. Daniel and McIntyre, Scott C.",Journal of Management Information Systems,Motivation Norms of Knowledge Engineers Compared to Those of Software Engineers,1988,4,3,http://www.jmis-web.org/articles/240,https://dblp.org/rec/journals/jmis/CougerM88,,,,,,,
000107,article,"Kasper, George M. and Morris, Andrew H.",Journal of Management Information Systems,The Effect of Presentation Media on Recipient Performance in Text-based Information Systems,1988,4,4,http://www.jmis-web.org/articles/517,https://dblp.org/rec/journals/jmis/KasperM88,,,,,,,
000108,article,"Madnick, Stuart E. and Wang, Richard Y.",Journal of Management Information Systems,Evolution towards Strategic Applications of Databases through Composite Information Systems,1988,5,2,http://www.jmis-web.org/articles/648,https://dblp.org/rec/journals/jmis/MadnickW88,,,,,,,
000109,article,"Sauter, Vicki L. and Schofer, Joseph L.",Journal of Management Information Systems,Evolutionary Development of Decision Support Systems - Important Issues for Early Phases of Design,1988,4,4,http://www.jmis-web.org/articles/858,https://dblp.org/rec/journals/jmis/SauterS88,,,,,,,
000110,article,"Straub, Detmar W. and Beauclair, Renée A.",Journal of Management Information Systems,Current and Future Uses of the Group Decision Support System Technology - Report on a Recent Empirical Study,1988,5,1,http://www.jmis-web.org/articles/909,https://dblp.org/rec/journals/jmis/StraubB88,,,,,,,
000111,article,"Weber, E. Sue and Konsynski, Benn R.",Journal of Management Information Systems,Problem Management - Neglected Elements in Decision Support Systems,1988,4,3,http://www.jmis-web.org/articles/1014,https://dblp.org/rec/journals/jmis/WeberK88,,,,,,,
000112,article,"Zaki, Ahmed S. and Hoffman, Richard C.",Journal of Management Information Systems,Information Type and its Impact on Information Dissemination,1988,5,2,http://www.jmis-web.org/articles/1057,https://dblp.org/rec/journals/jmis/ZakiH88,,,,,,,
000113,article,"Eom, Hyun B. and Lee, Sang M. and Snyder, Charles A. and Ford, F. Nelson",Journal of Management Information Systems,A Multiple Criteria Decision Support System for Global Financial Planning,1988,4,3,http://www.jmis-web.org/articles/322,https://dblp.org/rec/journals/jmis/EomLSF88,,,,,,,
000114,article,"Konsynski, Benn R.",Journal of Management Information Systems,Special Issue - Decision Support and Knowledge-based Systems,1988,5,1,http://www.jmis-web.org/articles/556,https://dblp.org/rec/journals/jmis/Konsynski88,,,,,,,
000115,article,"Kopcso, David P. and Pipino, Leo and Rybolt, William",Journal of Management Information Systems,A Comparison of the Manipulation of Certainty Factors by Individuals and Expert System Shells,1988,5,1,http://www.jmis-web.org/articles/558,https://dblp.org/rec/journals/jmis/KopcsoPR88,,,,,,,
000116,article,"Magal, Simha R. and Carr, Houston H.",Journal of Management Information Systems,"An Investigation of the Effects of Age, Size, and Hardware Option on the Critical Success Factors Applicable to Information Centers",1988,4,4,http://www.jmis-web.org/articles/650,https://dblp.org/rec/journals/jmis/MagalC88,,,,,,,
000117,article,"McIntyre, Scott C. and Higgins, Lexis F.",Journal of Management Information Systems,Object-oriented Systems Analysis and Design - Methodology and Application,1988,5,1,http://www.jmis-web.org/articles/677,https://dblp.org/rec/journals/jmis/McIntyreH88,,,,,,,
000118,article,"Silver, Mark S.",Journal of Management Information Systems,User Perceptions of Decision Support System Restrictiveness - An Experiment,1988,5,1,http://www.jmis-web.org/articles/881,https://dblp.org/rec/journals/jmis/Silver88,,,,,,,
