cluster,ID,title,author,language,abstract,pages,number,volume,year,journal,doi,ENTRYTYPE,fulltext,cited_by,url,__orig_index
6,001318,Context is king! Considering particularism in research design and reporting,"Davison, Robert M and Martinsons, Maris G",eng,"We aim to raise awareness of context by examining its role in empirical research. We apply the dichotomy of universalism and particularism, and discuss the interaction of theory and culture in order to consider the scope of validity for research findings and conclusions. We illustrate our arguments by referencing three cases, each of which has contextual inadequacies. We aim to discourage the conduct of research, and acceptance of papers, that falsely implies universalism, relies on convenient samples or ignores indigenous constructs. We offer specific prescriptions for authors, editors and reviewers to help ensure that both the research context and scope of validity are adequately communicated and understood.",241--249,3,31,2016,Journal of Information Technology,10.1057/JIT.2015.19,article,,,,1317
7,000635,Internet Censorship Circumvention Technology Use in Human Rights Organizations: An Exploratory Analysis,"Maitland, Carleen F and Thomas (Trey), Herschel F and Tchouakeu, Louis-Marie Ngamassi",eng,"Using an organizational informatics approach, this study explores the implications of human rights organizations’ use of censorship circumvention technologies. Through qualitative analyses of data collected through in-depth interviews, the research examines the factors influencing the use of circumvention technologies and the organizational effects of their use. The outcomes include a revised model of censorship circumvention technology use as well as a new model situating human rights organizations and their audiences in bidirectional information flows. The research provides recommendations for practice as well as insight for organizational informatics and information systems security research in the areas of protective technologies, awareness, detection, and physical security.",285--300,4,27,2012,Journal of Information Technology,10.1057/JIT.2012.20,article,,4,,634
7,001697,Internet Censorship Circumvention Technology Use in Human Rights Organizations: An Exploratory Analysis,"Maitland, Carleen F and Thomas (Trey), Herschel F and Tchouakeu, Louis-Marie Ngamassi",eng,"Using an organizational informatics approach, this study explores the implications of human rights organizations’ use of censorship circumvention technologies. Through qualitative analyses of data collected through in-depth interviews, the research examines the factors influencing the use of circumvention technologies and the organizational effects of their use. The outcomes include a revised model of censorship circumvention technology use as well as a new model situating human rights organizations and their audiences in bidirectional information flows. The research provides recommendations for practice as well as insight for organizational informatics and information systems security research in the areas of protective technologies, awareness, detection, and physical security.",285--300,4,27,2012,Journal of Information Technology,10.1057/JIT.2012.20,article,,,,1696
8,000347,In Celebration of Diversity in Information Systems Research,"Galliers, Robert D",eng,,299--301,4,26,2011,Journal of Information Technology,10.1057/JIT.2011.28,article,,9,,346
8,001409,In Celebration of Diversity in Information Systems Research,"Galliers, Robert D",eng,,299--301,4,26,2011,Journal of Information Technology,10.1057/JIT.2011.28,article,,,,1408
9,000602,E-Leadership through Strategic Alignment: An Empirical Study of Small- and Medium-sized Enterprises in the Digital Age,"Li, Weizi and Liu, Kecheng and Belitski, Maksim and Ghobadian, Abby and O'Regan, Nicholas",eng,"Small- and medium-sized enterprises (SMEs) play an important role in the European economy. A critical challenge faced by SME leaders, as a consequence of the continuing digital technology revolution, is how to optimally align business strategy with digital technology to fully leverage the potential offered by these technologies in pursuit of longevity and growth. There is a paucity of empirical research examining how e-leadership in SMEs drives successful alignment between business strategy and digital technology fostering longevity and growth. To address this gap, in this paper we develop an empirically derived e-leadership model. Initially we develop a theoretical model of e-leadership drawing on strategic alignment theory. This provides a theoretical foundation on how SMEs can harness digital technology in support of their business strategy enabling sustainable growth. An in-depth empirical study was undertaken interviewing 42 successful European SME leaders to validate, advance and substantiate our theoretically driven model. The outcome of the two stage process – inductive development of a theoretically driven e-leadership model and deductive advancement to develop a complete model through in-depth interviews with successful European SME leaders – is an e-leadership model with specific constructs fostering effective strategic alignment. The resulting diagnostic model enables SME decision makers to exercise effective e-leadership by creating productive alignment between business strategy and digital technology improving longevity and growth prospects.",185--206,2,31,2016,Journal of Information Technology,10.1057/JIT.2016.10,article,,103,,601
9,001664,E-Leadership through Strategic Alignment: An Empirical Study of Small- and Medium-sized Enterprises in the Digital Age,"Li, Weizi and Liu, Kecheng and Belitski, Maksim and Ghobadian, Abby and O'Regan, Nicholas",eng,"Small- and medium-sized enterprises (SMEs) play an important role in the European economy. A critical challenge faced by SME leaders, as a consequence of the continuing digital technology revolution, is how to optimally align business strategy with digital technology to fully leverage the potential offered by these technologies in pursuit of longevity and growth. There is a paucity of empirical research examining how e-leadership in SMEs drives successful alignment between business strategy and digital technology fostering longevity and growth. To address this gap, in this paper we develop an empirically derived e-leadership model. Initially we develop a theoretical model of e-leadership drawing on strategic alignment theory. This provides a theoretical foundation on how SMEs can harness digital technology in support of their business strategy enabling sustainable growth. An in-depth empirical study was undertaken interviewing 42 successful European SME leaders to validate, advance and substantiate our theoretically driven model. The outcome of the two stage process – inductive development of a theoretically driven e-leadership model and deductive advancement to develop a complete model through in-depth interviews with successful European SME leaders – is an e-leadership model with specific constructs fostering effective strategic alignment. The resulting diagnostic model enables SME decision makers to exercise effective e-leadership by creating productive alignment between business strategy and digital technology improving longevity and growth prospects.",185--206,2,31,2016,Journal of Information Technology,10.1057/JIT.2016.10,article,,,,1663
10,000380,The chief executive officer and the chief information officer: the strategic partnership,"Gupta, Yash P",eng,,128--139,3-4,6,1991,Journal of Information Technology,10.1057/JIT.1991.28,article,,13,,379
10,001442,The chief executive officer and the chief information officer: the strategic partnership,"Gupta, Yash P",eng,,128--139,3-4,6,1991,Journal of Information Technology,10.1057/JIT.1991.28,article,,,https://link.springer.com/article/10.1057/jit.1991.28,1441
10,002085,The Chief Executive Officer and the Chief Information Officer: The Strategic Partnership,"Gupta, Yash P.",eng,"Information technology (IT) has become a strategic resource for many firms today. Coordination of this resource requires strong leadership and cooperation within the firm. The relationship of the Chief Executive Officer (CEO) and the Chief Information Officer (CIO) is crucial for the effective, successful utilization of IT for competitive advantage. This paper first explores the CIO position, giving reasons for its development, tracing its evolution, and pinpointing certain responsibilities associated with the position. The paper then highlights the CIO's concerns and identifies the future implications for the CIO. The second portion of the paper takes the CEO's perspective towards IT and the CIO's position. Special attention is directed towards describing the CEO's perspective on the CIO's qualifications, addressing the problem of overblown CEO expectations for the CIO position, and discussing ‘old-line’ CEOs’ attitudes towards IT and the CIO position. Also addressed is the exploration of the common CEO perception of the CIO as an ‘empire builder’ and an analysis of the CEO's perspective on the future need for a CIO position. Finally the paper focuses on developing this ‘strategic partnership’ between the CIO and the CEO. Suggestions are provided for the CIO and the CEO to help achieve this ideal partnership. Although these suggestions are not all conclusive, they are critical to the ‘partnership’.",128--139,3-4,6,1991,Journal of Information Technology,10.1177/0268396291006003-404,article,https://journals.sagepub.com/doi/pdf/10.1177/0268396291006003-404,,,2084
11,000903,Evaluation of information systems: IS development in the Processing Company,"Symons, Veronica",eng,,194--204,4,5,1990,Journal of Information Technology,10.1057/JIT.1990.43,article,,,https://link.springer.com/article/10.1057/jit.1990.43,902
11,001959,Evaluation of Information Systems: Is Development in the Processing Company,"Symons, Veronica",eng,"Information systems (IS) are centrally important to the modern form of organization, but their impacts are not yet well understood. IS development is, in general, grounded in a quasi-scientific ‘formal-rationalism’, oriented chiefly towards technical aspects; yet the accompanying difficulties in implementation are due for the most part to ‘people problems’. In defining an IS as a computer system embedded in an organization, this paper argues that information systems are not purely technical systems, but also social systems. Consequently, work in this area necessitates an interactionist approach, taking the effects of information technology to be a product of neither the technical nor social aspects alone, but of their interaction. Evaluation is shaped, similarly, by the interaction of technique with social process: it is a multi-stage activity running through IS development. The history of IS development in the Processing Company illustrates these views and highlights the dysfunctionality of the formal-rational perspective.",194--204,4,5,1990,Journal of Information Technology,10.1177/026839629000500404,article,https://journals.sagepub.com/doi/pdf/10.1177/026839629000500404,,,1958
12,000945,Information Technology and Further Education,"Vincent, A T",eng,,16--21,2,1,1986,Journal of Information Technology,10.1057/JIT.1986.17,article,,,https://link.springer.com/article/10.1057/jit.1986.17,944
12,002089,Information Technology and Further Education,"Vincent, A. T.",eng,,16--21,2,1,1986,Journal of Information Technology,10.1177/026839628600100204,article,https://journals.sagepub.com/doi/pdf/10.1177/026839628600100204,,,2088
13,000303,The Rise and Decline of the Ethics Methodology of Systems Implementation: Lessons for IS Research,"Elbanna, Amany and Newman, Mike",eng,"Professor Mumford has contributed significantly to the information system (IS) field. Among her achievements and pioneering thinking is the development of an integrated methodology for systems implementation named Effective Technical and Human Implementation of Computer Systems (ETHICS) that incorporates job design as part of the systems planning and implementation effort. This study questions why ETHICS initially rose in popularity and then declined over the years. To answer this question, we apply Latour's (1999) five-loop framework to describe the formation of science. The findings reveal that Mumford held and aligned many heterogeneous actors and resources that together contributed to the shaping of ETHICS. As the content of ETHICS was shaped by the intertwining of many elements, when some of these elements later changed and undermined their previous alignment, the content of ETHICS was not reshaped, and hence it lost its status and declined. The paper ends by drawing more general lessons for IS research.",124--136,2,28,2013,Journal of Information Technology,10.1057/JIT.2013.7,article,,4,,302
13,001365,The Rise and Decline of the Ethics Methodology of Systems Implementation: Lessons for IS Research,"Elbanna, Amany and Newman, Mike",eng,"Professor Mumford has contributed significantly to the information system (IS) field. Among her achievements and pioneering thinking is the development of an integrated methodology for systems implementation named Effective Technical and Human Implementation of Computer Systems (ETHICS) that incorporates job design as part of the systems planning and implementation effort. This study questions why ETHICS initially rose in popularity and then declined over the years. To answer this question, we apply Latour's (1999) five-loop framework to describe the formation of science. The findings reveal that Mumford held and aligned many heterogeneous actors and resources that together contributed to the shaping of ETHICS. As the content of ETHICS was shaped by the intertwining of many elements, when some of these elements later changed and undermined their previous alignment, the content of ETHICS was not reshaped, and hence it lost its status and declined. The paper ends by drawing more general lessons for IS research.",124--136,2,28,2013,Journal of Information Technology,10.1057/JIT.2013.7,article,,,,1364
14,000258,International Multifoods – Case A,"Desanctis, Gerardine and Price, Robert M",,,175--184,3,16,2001,Journal of Information Technology,10.1080/02683960110063636,article,,1,,257
14,001320,International Multifoods – Case A,"Desanctis, Gerardine and Price, Robert M",,,175--184,3,16,2001,Journal of Information Technology,10.1080/02683960110063636,article,,,,1319
15,000259,International Multifoods – Case B,"Desanctis, Gerardine and Price, Robert M.",eng,,185--189,3,16,2001,Journal of Information Technology,10.1080/02683960110063645,article,http://journals.sagepub.com/doi/pdf/10.1080/02683960110063645,1,,258
15,001321,International Multifoods – Case B,"Desanctis, Gerardine and Price, Robert M.",eng,"The International Multifoods company (IMC) confronted a series of crises in the 1990s that are described in this case. The Renaissance information system, which was intended to bring enormous cash flow to IMC's subsidiary, Vending Services of America (VSA), was behind schedule and over budget. Furthermore, VSA was experiencing serious managerial problems. IMC had cash flow problems that were reaching crisis levels due to, among other things, economic volatility in Venezuela where IMC had a major food business. IMC struggled with organization structure issues and was pressed by its investors to reorganize. As Renaissance-related and other problems brewed within VSA, the CEO of IMC resigned, and an interim CEO had to step in and somehow move the company out of the crises at hand.",185--189,3,16,2001,Journal of Information Technology,10.1080/02683960110063645,article,https://journals.sagepub.com/doi/pdf/10.1080/02683960110063645,,,1320
16,000318,Commentary on Davison and Martinsons' ‘Context is King! Considering particularism in research design and reporting’,"Fernández, Walter D.",eng,,265--266,3,31,2016,Journal of Information Technology,10.1057/S41265-016-0004-8,article,,6,,317
16,001380,Commentary on Davison and Martinsons' ‘Context is King! Considering particularism in research design and reporting’,"Fernández, Walter D.",eng,,265--266,3,31,2016,Journal of Information Technology,10.1057/S41265-016-0004-8,article,,,,1379
17,000892,Transaction streams: theory and examples related to confidence in internet-based electronic commerce,"Subirana, Brian and Carvajal, Patricia",,,3--16,1,15,2000,Journal of Information Technology,10.1080/026839600344366,article,,,,891
17,002157,Transaction Streams: Theory and Examples Related to Confidence in Internet-Based Electronic Commerce,"Subirana, Brian and Carvajal, Patricia",eng,"This paper analyses how transactions related to the exchange of goods and services are being performed on the Internet. The adoption of electronic markets in an industry has a disintermediation potential because it can create a direct link between the producer and the consumer (without the need for the intermediation role of distributors). Electronic markets lower the searches cost allowing customers to choose between more providers. This ultimately reduces both the costs for the customer and the profits for the producer. In this paper it is contended that electronic markets on the Internet have the opposite effect, resulting in an increase in intermediators. It introduces transaction streams which model how transactions are being conducted and helps explain the types of new intermediators that are appearing on the Internet. The mechanisms by which companies are exploring ways of extending transaction streams are also described. To illustrate the model, the paper briefly analyses transaction streams in the insurance industry and provides examples related to confidence in electronic commerce.",3--16,1,15,2000,Journal of Information Technology,10.1177/026839620001500102,article,https://journals.sagepub.com/doi/pdf/10.1177/026839620001500102,,,2156
18,000248,Information Strategies in Public Administration,"Davies, Anee",eng,,195--195,3,8,1993,Journal of Information Technology,10.1057/JIT.1993.26,article,,0,,247
18,001310,Information Strategies in Public Administration,"Davies, Anee",eng,,195--195,3,8,1993,Journal of Information Technology,10.1057/JIT.1993.26,article,,,https://link.springer.com/article/10.1057/jit.1993.26,1309
19,000524,The SIMA: a practical approach to information technology management,"Klompé, Rick and Pothuizen, Leon",,,121--129,2,12,1997,Journal of Information Technology,10.1080/026839697345134,article,,0,,523
19,001586,The SIMA: a practical approach to information technology management,"Klompé, Rick and Pothuizen, Leon",,,121--129,2,12,1997,Journal of Information Technology,10.1080/026839697345134,article,,,,1585
19,001896,The SIMA: A Practical Approach to Information Technology Management,"Klompé, Rick and Pothuizen, Leon",eng,"The management of information technology (IT) must be organized efficiently and most of all effectively in order to support the organization's business processes optimally. The IT department must focus more on its customers and the services provided to support their business processes, thus enabling customers to gain competitive advantages from IT. Therefore the IT department should be treated as a separate business unit with its own characteristic services and business processes. The complexity of the IT infrastructure must be reduced by breaking it down into pieces according to the type of function its components perform. Each part must be treated as a separate unit, with services, relations and responsibilities in its own right. All this requires a major reorganization of the IT department. This paper presents the first results in the development of a practical method for organizing the IT management function and for effecting the inevitable organizational changes.",121--129,2,12,1997,Journal of Information Technology,10.1177/026839629701200204,article,https://journals.sagepub.com/doi/pdf/10.1177/026839629701200204,,,1895
20,000147,An Introduction to Integrated Project Support Environments,"Brown, Alan W",eng,,194--204,3,3,1988,Journal of Information Technology,10.1057/JIT.1988.35,article,,0,,146
20,001209,An Introduction to Integrated Project Support Environments,"Brown, Alan W",eng,,194--204,3,3,1988,Journal of Information Technology,10.1057/JIT.1988.35,article,,,https://link.springer.com/article/10.1057/jit.1988.35,1208
20,002440,An Introduction to Integrated Project Support Environments,"Brown, Alan W.",eng,"In the last few years the rapidly expanding application of computer technology has brought the problems of software production increasingly to the fore, and it is widely accepted that current software development techniques are unable to produce high quality software at the rate required to keep pace with this. To try to improve this imbalance, the field of software engineering has been advanced as a possible solution, attempting to apply the formal methods of an engineering discipline to software design and implementation. One of the most promising areas to be developed in this field is that of integrated project support environments (IPSEs), which attempt to spread the focus of attention during software development from the coding stage to embrace the whole development cycle, from initial requirements specification through to operational maintenance. These environments hope to improve production efficiency and quality by providing a complete set of support tools to help with each stage of software development, and to supply the necessary tool integration to ensure a smooth transition of use between these tools. This paper provides an introduction to IPSEs through analysing the motivation for providing integrated support for the production of software, and describing something of the evolution of environments for software development. This provides the context for describing current and future research trends in this area.",194--204,3,3,1988,Journal of Information Technology,10.1177/026839628800300308,article,https://journals.sagepub.com/doi/pdf/10.1177/026839628800300308,,,2439
21,000617,The profit impact of IT investment,"Lubbe, Sam and Parker, Gary and Hoard, Andrew",eng,,44--51,1,10,1995,Journal of Information Technology,10.1057/JIT.1995.6,article,,7,,616
21,001679,The profit impact of IT investment,"Lubbe, Sam and Parker, Gary and Hoard, Andrew",eng,,44--51,1,10,1995,Journal of Information Technology,10.1057/JIT.1995.6,article,,,https://link.springer.com/article/10.1057/jit.1995.6,1678
21,001945,The Profit Impact of IT Investment,"Lubbe, Sam and Parker, Gary and Hoard, Andrew",eng,Two models were used to study the relationships between profitability and the level of information technology (IT) among long-term life insurance companies. The first compared the computerization index (CI) with profitability ratios. The second used the operating expense ratio (profitability measure) and the IT expense ratio to measure the level of IT capital intensity. The results of the present study showed a positive correlation between the CI and the financial ratios and the most profitable firms are more likely to spend a higher proportion of their non-interest operating expenses on IT.,44--51,1,10,1995,Journal of Information Technology,10.1177/026839629501000106,article,https://journals.sagepub.com/doi/pdf/10.1177/026839629501000106,,,1944
22,000116,Implementing interorganizational IT systems: lessons from a call centre project,"Boddy, David",,,29--37,1,15,2000,Journal of Information Technology,10.1080/026839600344384,article,,6,,115
22,001178,Implementing interorganizational IT systems: lessons from a call centre project,"Boddy, David",,,29--37,1,15,2000,Journal of Information Technology,10.1080/026839600344384,article,,,,1177
22,002353,Implementing Interorganizational it Systems: Lessons from a Call Centre Project,"Boddy, David",eng,"The growing power of computer-telephony integration (CTI) systems is encouraging many companies to create call centres. These deal with a growing range of business processes and, in doing so, can be used to challenge established organizational arrangements. The range of human and management issues that need to be dealt with has yet to become clear. Some insights into these are offered from a study of one call centre over 2 years, from shortly before its physical introduction to the present day. These empirical observations are set within the wider literature on organizational change and information technology (IT), particularly the processual and integrationist perspectives. The paper uses the evidence of the case to elaborate the integrationist model so that it reflects the areas of human action more fully. It concludes by outlining the implications of this perspective for managers seeking to build effective call centres or other forms of interorganizational IT system.",29--37,1,15,2000,Journal of Information Technology,10.1177/026839620001500104,article,https://journals.sagepub.com/doi/pdf/10.1177/026839620001500104,,,2352
23,000882,Information technology and organization design,"Stebbins, Michael W and Sena, James A and Shani, A B",eng,,101--113,2,10,1995,Journal of Information Technology,10.1057/JIT.1995.12,article,,,https://link.springer.com/article/10.1057/jit.1995.12,881
23,001937,Information Technology and Organization Design,"Stebbins, Michael W. and Sena, James A. and Shani, A. B. (Rami)",eng,"This paper pursues the growing importance of information technology within the field of organization design. We propose a new macrotheory model, examine the leading approaches to organization design regarding their treatment of IT innovations and propose an eclectic design process that incorporates IT during redesign projects. The implications for emerging organizational forms are also explored.",101--113,2,10,1995,Journal of Information Technology,10.1177/026839629501000203,article,https://journals.sagepub.com/doi/pdf/10.1177/026839629501000203,,,1936
24,000373,Audit Commission Management Papers Number 7. Preparing an Information Technology Strategy: Making IT Happen,"Griffiths, Catherine",eng,,179--179,3,5,1990,Journal of Information Technology,10.1057/JIT.1990.39,article,,0,,372
24,001435,Audit Commission Management Papers Number 7. Preparing an Information Technology Strategy: Making IT Happen,"Griffiths, Catherine",eng,,179--179,3,5,1990,Journal of Information Technology,10.1057/JIT.1990.39,article,,,https://link.springer.com/article/10.1057/jit.1990.39,1434
25,000421,IT and the UK Newspaper Industry,"Holloway, Henry",eng,,135--150,3,2,1987,Journal of Information Technology,10.1057/JIT.1987.26,article,,1,,420
25,001483,IT and the UK Newspaper Industry,"Holloway, Henry",eng,,135--150,3,2,1987,Journal of Information Technology,10.1057/JIT.1987.26,article,,,https://link.springer.com/article/10.1057/jit.1987.26,1482
25,002196,IT and the UK Newspaper Industry,"Holloway, Henry",eng,,135--150,3,2,1987,Journal of Information Technology,10.1177/026839628700200306,article,https://journals.sagepub.com/doi/pdf/10.1177/026839628700200306,,,2195
26,000422,Information Technology and Company Policy: Electronic Publishing,"Holloway, Henry",eng,,180--187,4,2,1987,Journal of Information Technology,10.1057/JIT.1987.33,article,,1,,421
26,001484,Information Technology and Company Policy: Electronic Publishing,"Holloway, Henry",eng,,180--187,4,2,1987,Journal of Information Technology,10.1057/JIT.1987.33,article,,,https://link.springer.com/article/10.1057/jit.1987.33,1483
26,002463,Information Technology and Company Policy: Electronic Publishing,"Holloway, Henry",eng,,180--187,4,2,1987,Journal of Information Technology,10.1177/026839628700200404,article,https://journals.sagepub.com/doi/pdf/10.1177/026839628700200404,,,2462
27,000707,Working with Formal Methods,"Nicholls, John",eng,,67--71,2,2,1987,Journal of Information Technology,10.1057/JIT.1987.13,article,,,https://link.springer.com/article/10.1057/jit.1987.13,706
27,002235,Working with Formal Methods,"Nicholls, John",eng,,67--71,2,2,1987,Journal of Information Technology,10.1177/026839628700200203,article,https://journals.sagepub.com/doi/pdf/10.1177/026839628700200203,,,2234
28,000417,Computer decision support for capital budgeting: some empirical findings of practice,"Ho, Simon and Pike, Richard",,,119--128,2,11,1996,Journal of Information Technology,10.1080/026839696345333,article,,2,,416
28,001479,Computer decision support for capital budgeting: some empirical findings of practice,"Ho, Simon and Pike, Richard",,,119--128,2,11,1996,Journal of Information Technology,10.1080/026839696345333,article,,,,1478
28,002122,Computer Decision Support for Capital Budgeting: Some Empirical Findings of Practice,"Ho, Simon and Pike, Richard",eng,"While recent surveys suggest that capital budgeting systems in business organizations continue to become more formalized and sophisticated, a constraint on the use of sophisticated capital budgeting techniques seems to be the degree of support provided by firms’ capital budgeting information systems (CABIS). This paper, based on a survey of 146 large firms, outlines the current status of CABIS and their usage pattern. It was found that although two-thirds of sample firms have specific computer application systems for capital budgeting, most CABIS are relatively unsophisticated and less than adequate in providing the information and decision support capabilities required to use sophisticated capital budgeting techniques effectively. In particular, the barrier and problems encountered in the use of probabilistic risk analysis were explored. Implications of these findings are discussed.",119--128,2,11,1996,Journal of Information Technology,10.1177/026839629601100203,article,https://journals.sagepub.com/doi/pdf/10.1177/026839629601100203,,,2121
29,000810,Are general managers well prepared to manage IT? The role of IT in general MBA programmes in Australia,"Sauer, Chris and Sharma, Rajeev and Potter, Barbara",,,261--276,4,12,1997,Journal of Information Technology,10.1080/026839697344991,article,,,,809
29,001837,Are General Managers Well Prepared to Manage It? the Role of it in General MBA Programmes in Australia,"Sauer, Chris and Sharma, Rajeev and Potter, Barbara",eng,"This paper reports on the results from a survey of the provision of information technology (IT) course units in general MBA programmes in Australia. The results establish a baseline for future studies. They show widespread penetration of IT courses in general MBAs, but the amount and type of content they provide is only sufficient to give students a partial preparation for the general management task with respect to IT. There is an internal expectation gap between what IT academics view as core and the time and space available in the Master of Business Administration (MBA) curriculum. There is an external expectation gap between the issues currently of concern to business and the topics taught. At present the gap is widest in respect of business managers’ concerns about information infrastructure and organizational learning. The evidence suggests that neither expectation gap will decline over the next 5 years and may increase. We conclude that there is a need for increased provision in the curriculum. Recommendations are made for two core courses, with more attention to be given to topics of current concern to business managers.",261--276,4,12,1997,Journal of Information Technology,10.1177/026839629701200403,article,https://journals.sagepub.com/doi/pdf/10.1177/026839629701200403,,,1836
30,000783,"Tomorrow's systems, today's choices","Rich, Martin",eng,,245--246,3,9,1994,Journal of Information Technology,10.1057/JIT.1994.24,article,,,https://link.springer.com/article/10.1057/jit.1994.24,782
30,002041,"Tomorrow's Systems, Today's Choices","Rich, Martin",eng,,245--246,3,9,1994,Journal of Information Technology,10.1177/026839629400900308,article,https://journals.sagepub.com/doi/pdf/10.1177/026839629400900308,,,2040
31,000356,"Pluralism is not about me, it is about Us","Germonprez, Matt",eng,,304--305,4,26,2011,Journal of Information Technology,10.1057/JIT.2011.23,article,,0,,355
31,001418,"Pluralism is not about me, it is about Us","Germonprez, Matt",eng,,304--305,4,26,2011,Journal of Information Technology,10.1057/JIT.2011.23,article,,,,1417
32,000381,"Offshoring, is Employment and the is Discipline: Additional Considerations","Gupta, Amar",eng,,378--379,4,25,2010,Journal of Information Technology,10.1057/JIT.2010.37,article,,2,,380
32,001443,"Offshoring, is Employment and the is Discipline: Additional Considerations","Gupta, Amar",eng,,378--379,4,25,2010,Journal of Information Technology,10.1057/JIT.2010.37,article,,,,1442
33,000550,The Use of History in is Research An Opportunity Missed?,"Land, Frank",eng,"The article is shaped by two regularly repeated cliches. The first is History is bunk, Henry Ford's well known saying has two Implications: (1) that what purports to be history Is more often than not inaccurate If not a downright lie, and (2) that we have nothing to learn from history as modern innovations make the past Irrelevant. The second cliche is We will heed the lessons we have learned from past disasters, How often do we hear that claim with respect to information systems (IS) failures? Again there are two implications: (1) that history repeats Itself, and that If we learn how prior mistakes were made we can avoid the same mistakes being repeated, and (2) that we have the capability to analyse the past with sufficient accuracy that we can Identify all the problems that led to the mistakes being made. In this article, I will argue that the historiography of IS is Important to understanding IS and Its evolution through time, and that understanding even the most transformative, revolutionary, Innovations benefits from the study of the historical context. Henry Ford's viewpoint Is far too prevalent, and In my view damaging to IS research. The argument will be supported by a number of examples.",385--394,4,25,2010,Journal of Information Technology,10.1057/JIT.2010.22,article,,11,,549
